Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,1097,12,12,7,0,51,1
1,0,30308,51,51,6,0,2,27168
1,0,56857,121,121,2,1,22,54575
0,0,763,9,9,1,0,52,5
0,0,703218,18,18,8,0,36,701626
1,0,5286,79,79,2,1,75,4336
1,0,93861,98,98,2,1,32,92599
0,0,716461,47,47,6,0,38,713525
0,0,581462,111,111,5,0,4,578019
0,0,212280,147,147,8,0,10,211864
0,0,38881,132,132,2,1,86,36347
0,0,297517,78,78,6,0,14,294389
1,0,81368,20,20,2,1,22,80808
1,0,720,140,140,8,0,92,1
0,0,742903,101,101,2,1,23,741965
1,0,28960,1,1,2,1,31,27503
0,0,429068,82,82,6,0,25,425925
1,0,118859,96,96,2,1,9,115842
0,0,9728,40,40,6,0,67,6585
0,0,12029,45,45,8,0,69,11478
0,0,315827,125,125,6,0,15,312663
1,0,4234,75,75,2,1,73,3116
0,0,99546,109,109,2,1,12,97369
1,0,32123,57,57,2,1,10,29739
0,0,929052,123,123,2,1,31,925927
1,0,4123,88,88,5,0,76,1628
0,0,116617,54,54,6,0,13,113450
0,0,8113,63,63,2,1,70,5945
1,0,4229,137,137,6,0,89,1371
1,0,33235,6,6,8,0,9,30782
0,0,1206,15,15,8,0,53,1
0,0,767496,94,94,2,1,29,766105
1,0,53098,126,126,2,1,34,49949
1,0,99066,112,112,2,1,1,97825
0,0,318588,152,152,6,0,14,315535
0,0,1289,10,10,8,0,49,3
1,0,546,142,142,8,0,94,1
1,0,383983,4,4,2,1,46,383429
0,0,213521,148,148,2,1,10,212382
1,0,57661,42,42,2,1,41,55166
1,0,74545,150,150,2,1,8,72053
0,0,8781,26,26,2,1,59,5653
0,0,599,0,0,7,0,58,3
1,0,81855,145,145,6,0,10,78709
1,0,341238,27,27,2,1,4,338959
0,0,227216,76,76,8,0,43,225387
0,0,5181,104,104,2,1,79,4192
1,0,99079,52,52,2,1,2,97820
1,0,35758,5,5,7,0,9,35156
1,0,46653,85,85,2,1,38,44743
0,0,521345,23,23,6,0,1,518232
1,1,54155,56,56,6,0,10,50976
1,0,48145,2,2,4,0,30,47690
0,0,1771,19,19,8,0,55,5
0,0,9252,127,127,8,0,85,7177
1,0,1005,17,17,8,0,54,1
0,0,573456,46,46,2,1,3,572590
0,0,632799,49,49,6,0,19,629461
0,0,1017672,48,48,2,1,34,1015075
1,0,1291,13,13,8,0,56,11
1,0,55385,129,129,6,0,0,52233
0,0,6751,105,105,2,1,79,5450
1,0,3425,118,118,2,1,84,855
0,0,765509,36,36,6,0,22,762384
0,0,750258,8,8,7,0,38,748432
1,0,153763,102,102,5,0,21,151067
0,0,307836,151,151,8,0,14,304756
1,0,13944,61,61,5,0,44,11467
1,0,43791,69,69,6,0,9,40663
0,0,100486,53,53,2,1,13,98009
1,0,1126783,131,131,5,0,39,1124243
1,0,4790,124,124,6,0,63,1644
0,0,304,128,128,7,0,64,2
1,0,30678,114,114,7,0,9,29548
0,0,642289,107,107,6,0,8,639173
1,0,40231,110,110,7,0,82,38468
1,0,704,14,14,3,0,57,18
0,0,694715,134,134,2,1,26,691713
1,0,33620,84,84,6,0,38,30504
1,0,5807,130,130,2,1,26,3882
0,0,762911,103,103,2,1,26,760413
0,0,100844,32,32,7,0,12,99663
1,0,506465,70,70,2,1,19,504186
0,0,559272,80,80,6,0,40,556483
1,0,4270,35,35,5,0,42,1799
0,0,824374,62,62,2,1,26,822413
0,0,672501,86,86,2,1,24,670264
1,0,484,139,139,8,0,91,2
1,0,7065,67,67,2,1,72,6076
0,0,506906,99,99,0,0,14,503742
1,0,96937,120,120,2,1,30,96035
1,0,1651,93,93,2,1,62,830
0,0,302755,59,59,8,0,14,301802
0,0,1330,11,11,8,0,50,2
0,0,492209,22,22,2,1,1,489726
0,0,704396,16,16,8,0,36,703461
1,0,7840,66,66,2,1,16,6842
1,0,24175,37,37,6,0,47,21059
0,0,1482,106,106,2,1,80,1
0,0,3560,30,30,2,1,65,861
1,0,40333,119,119,6,0,84,37199
1,0,6322,44,44,6,0,15,3197
0,0,673825,81,81,2,1,26,670661
0,0,201983,146,146,2,1,10,197949
0,0,232598,154,154,2,1,3,230508
1,0,52289,83,83,6,0,38,48939
0,0,789292,95,95,2,1,29,788021
0,0,714709,100,100,2,1,26,711560
0,0,1815,92,92,2,1,78,1
1,0,11460,143,143,7,0,95,9091
0,0,772874,149,149,6,0,28,769737
1,0,341160,155,155,2,1,3,338881
0,0,135805,156,156,6,0,5,132644
0,0,326955,31,31,6,0,18,323962
1,0,2735,77,77,2,1,74,246
1,0,4884,50,50,2,1,46,1753
0,0,562767,58,58,6,0,6,559651
0,0,676357,28,28,2,1,23,675068
1,0,11360,90,90,6,0,77,8184
0,0,1011,7,7,8,0,48,1
0,0,7732,64,64,6,0,71,4595
0,0,696,115,115,7,0,83,1
1,0,552643,117,117,2,1,20,550361
0,0,225838,91,91,6,0,17,222980
1,0,5115,55,55,5,0,38,2545
0,0,296392,24,24,6,0,15,293633
1,0,36371,141,141,2,1,93,34218
0,0,220362,116,116,5,0,18,217744
0,0,532553,153,153,2,1,14,531252
1,0,34862,87,87,1,0,28,34431
0,0,638513,71,71,2,1,7,636579
0,0,685611,68,68,2,1,17,683131
1,0,40751,41,41,2,1,68,38379
1,0,5438,138,138,7,0,90,3198
1,0,8449,122,122,6,0,45,5315
1,0,37772,135,135,6,0,11,34755
0,0,11809,38,38,2,1,66,9641
0,0,8362,133,133,2,1,87,5834
1,0,96112,113,113,6,0,1,92984
1,0,6579,65,65,2,1,16,5257
1,0,16287,34,34,2,1,60,13156
1,0,371763,3,3,9,1,45,371065
1,0,3141,89,89,7,0,61,982
1,0,5564,39,39,2,1,36,2433
0,0,567659,25,25,1,0,33,567123
0,0,634208,29,29,8,0,39,633441
0,0,673601,73,73,2,1,27,670680
