Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,1169344,41,41,44,1,26,1158920
1,7614,2,0,60,0,2,1030
1,609988,158,158,10,1,124,605538
0,1211309,163,163,49,1,132,1200861
1,71128,81,81,45,1,18,60752
1,18759,152,152,107,3,76,8548
1,52109,55,55,5,1,62,41772
1,64484,127,127,30,2,97,55971
0,424181,138,138,10,1,67,413739
0,225503,223,223,8,1,116,215040
0,1026196,141,141,49,3,36,1015775
0,330111,109,109,15,1,74,322282
1,458221,50,50,10,1,110,447770
0,685626,119,119,30,1,83,675331
0,18045,174,174,110,1,68,7588
1,108909,130,130,27,1,52,98518
1,47512,124,124,29,1,15,39092
0,775910,131,131,33,1,92,765552
1,22103,171,171,33,1,54,14689
0,332104,168,168,33,1,54,321641
1,7780,8,8,63,2,123,2
1,11317,86,86,30,3,41,5433
0,573981,159,159,10,1,124,563530
1,459416,61,61,34,1,139,449073
1,5380,25,25,75,3,27,2
1,214744,9,9,38,3,39,206012
1,31572,75,75,36,1,25,21127
1,63253,175,175,111,1,78,52823
0,286931,192,192,51,1,97,283691
0,149649,115,115,23,2,26,143326
1,14171,180,180,34,2,61,4392
1,11492,32,32,78,1,58,5925
1,26884,60,60,16,1,53,16478
1,45907,207,207,50,2,17,38978
0,13390,161,161,70,1,125,2987
0,193120,185,185,23,2,96,183374
0,9732,193,193,116,1,19,1
1,1233807,178,178,46,3,136,1224493
1,62951,94,94,53,1,87,52593
1,970184,186,186,46,1,85,959784
1,138304,216,216,13,1,51,127910
1,13701,153,153,108,1,81,3220
0,689245,14,14,29,1,15,678794
1,5595,6,6,62,2,137,1
0,213628,100,100,52,1,129,203258
0,24168,112,112,98,3,23,13795
1,31191,121,121,35,1,55,20812
0,3034,91,91,95,2,88,2
1,347060,220,220,34,2,139,339083
1,127990,150,150,53,3,122,117557
1,390898,219,219,34,1,74,380639
1,60872,208,208,50,1,22,50520
1,225073,35,35,27,1,40,217409
0,842551,213,213,35,1,6,832124
0,475972,77,77,2,2,84,470489
1,534898,113,113,33,2,103,529028
1,59093,69,69,29,1,66,53591
0,2345983,166,166,50,1,22,2335691
0,33876,201,201,121,1,72,23431
0,2017022,4,4,48,2,101,2011656
0,796435,42,42,32,3,135,786038
0,908777,38,38,37,1,102,898398
0,1020605,202,202,48,3,20,1014285
1,25728,93,93,55,3,40,21774
0,13163,65,65,87,1,50,2601
0,789447,214,214,35,3,113,779023
0,7954,194,194,117,2,69,2
0,743366,12,12,28,3,93,733188
0,1028641,19,19,40,1,100,1018586
1,69531,218,218,13,1,51,59128
0,5243,68,68,88,1,47,2
0,9826,22,22,74,2,114,2831
1,12411,133,133,102,3,3,1858
0,6482,3,3,61,2,69,3
1,78813,198,198,51,1,140,72588
1,12312,197,197,51,2,7,7990
1,40663,199,199,120,1,125,30197
1,51361,101,101,27,1,40,40991
0,288082,210,210,50,1,94,277652
0,328819,64,64,30,1,71,318764
1,127475,172,172,54,1,90,117093
1,32850,188,188,9,1,100,28143
0,207695,52,52,15,1,111,204667
1,36235,217,217,13,1,52,25871
0,11147,33,33,79,2,117,4143
0,1351353,155,155,46,3,136,1340908
0,30892,74,74,22,1,124,20468
