Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,99,7608,41,1,89,6745
0,115,326018,97,1,22,323649
0,16,476915,37,1,3,476025
1,72,114401,60,1,59,112584
0,92,2332647,195,1,54,2330257
1,140,80177,230,1,13,78453
1,93,8014,80,1,10,5234
1,62,557,86,1,105,3
1,73,74182,14,1,21,73355
1,51,346408,201,0,60,346178
0,79,921959,61,1,35,919047
0,9,1129891,141,1,42,1128836
0,12,2216,40,1,88,1884
1,77,40192,221,1,63,38090
1,123,612,68,1,43,103
0,136,929,170,1,128,3
1,121,9109,148,1,27,6119
1,121,35665,146,1,27,33647
0,35,223303,151,1,24,221369
1,88,30441,191,1,131,27628
0,76,1639600,194,1,53,1637255
1,7,67398,219,1,52,66466
0,65,122795,35,1,8,121053
0,9,1121147,211,1,42,1120731
1,132,216652,229,1,26,216302
1,72,53404,239,1,37,53066
1,16,20561,115,1,40,20007
1,8,215357,59,1,25,214062
0,105,543960,132,1,6,542011
1,89,23503,234,1,5,21764
1,77,56787,222,1,63,55507
0,87,857583,104,1,32,854629
0,35,615828,182,1,24,612868
0,24,3521,171,1,84,564
0,114,640889,119,1,14,638082
1,13,119855,177,1,7,118959
0,110,202126,73,0,57,201683
0,37,157631,180,0,50,157230
0,46,218,150,0,122,3
0,63,578507,183,1,24,577500
0,103,835,4,1,87,1
1,60,12423,123,1,25,10753
1,140,100170,26,1,13,98553
1,21,74123,118,1,58,73479
1,61,17384,120,1,114,15111
1,16,395,197,1,85,3
0,96,1415811,19,0,46,1415230
0,133,229154,238,1,7,227562
1,25,47729,117,1,58,46503
1,10,10942,196,1,30,10619
1,71,45868,107,1,45,44981
0,137,10805,101,1,111,10074
0,121,706956,36,1,27,704473
0,129,4265,62,0,99,3411
1,99,8105,56,1,96,5802
0,19,1034156,71,1,38,1031220
0,70,1842055,205,1,49,1840004
1,22,7838,212,1,134,7741
1,17,4117,6,1,64,2168
0,117,1411,1,0,71,1097
0,73,51751,102,1,21,49106
1,1,2184398,82,1,54,2181870
1,21,76293,27,1,58,74227
1,113,28437,215,1,54,25624
0,22,1399795,23,1,46,1397420
1,60,6985,78,1,102,4031
1,30,46358,87,1,15,44298
0,109,1122061,140,1,42,1121249
1,58,57738,223,1,63,56893
0,123,11717,172,1,129,11061
0,108,629366,204,1,46,627348
1,130,34648,28,1,37,31775
1,92,41471,152,1,54,39177
1,134,42976,227,1,39,42014
0,33,2400,162,1,125,211
0,42,3058,134,1,119,647
1,26,71748,32,0,52,71398
0,120,202086,210,0,56,201577
0,85,368350,48,1,56,367493
1,58,83691,192,1,2,83233
1,128,33312,76,1,38,32212
0,90,1050263,154,1,47,1049748
0,55,358301,168,1,56,355485
1,8,23148,135,1,41,20869
1,130,1686,2,1,74,1
0,40,1381,98,1,109,2
0,94,1130987,142,0,42,1130442
1,132,33975,34,1,26,32362
1,84,47107,231,1,13,46339
1,119,25397,147,1,27,23602
0,7,2035,125,1,117,1445
1,79,254233,176,1,35,251879
1,49,282,113,0,83,1
0,4,270124,225,1,53,267929
0,45,3364,166,1,127,1112
0,3,8634,57,1,97,6310
0,44,6051,105,1,82,3256
0,63,88109,216,1,24,87465
0,45,794,8,1,65,3
1,119,36817,145,1,27,35931
1,34,2248,20,0,76,1520
0,76,903359,156,1,53,902475
0,3,513917,236,1,5,513297
1,52,24472,184,1,14,23342
1,140,46075,232,1,13,44094
1,32,4117,224,1,47,1346
1,116,1991,174,1,130,321
1,26,7580,83,1,103,6150
0,1,281858,149,1,54,279111
0,54,581031,237,0,19,580762
0,57,783875,66,1,29,783721
0,48,228,17,1,73,1
0,139,6341,58,1,98,3546
1,135,28634,137,1,17,28311
0,124,392192,100,1,28,389835
1,59,2270,55,0,95,1968
1,23,17833,30,0,46,17345
0,72,609376,203,1,11,606950
1,15,2735,213,1,135,1362
0,108,1444050,22,1,46,1442287
0,20,922,9,1,66,412
0,81,481120,103,1,0,478592
0,39,215,5,1,116,3
1,67,2208,139,1,120,1
1,93,15743,202,1,31,15195
0,2,4959,95,1,108,2632
1,38,38673,85,1,104,38134
0,1,317768,188,1,54,315381
0,7,781276,163,1,30,779186
1,52,46181,179,1,14,45609
0,19,703894,109,1,22,701207
0,94,2011553,3,0,51,2010699
1,0,4564,44,1,91,2810
1,102,1066,0,0,68,947
0,64,3052,53,1,94,605
0,3,498493,235,1,5,497942
0,75,6017,218,1,137,3066
1,131,4965,122,1,115,2173
0,91,585603,185,1,12,583600
0,115,805,63,0,80,2
