Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
0,1097,13,7,51,1
1,30308,54,6,2,27168
1,81368,21,2,22,80808
0,763,10,1,52,5
0,703218,19,8,36,701626
1,5286,83,2,75,4336
1,93861,101,2,32,92599
0,716461,50,6,38,713525
0,581462,113,5,4,578019
0,213521,149,2,10,212382
0,38881,134,2,86,36347
0,302755,63,8,14,301802
1,83014,123,8,22,81473
1,720,142,8,92,1
0,666404,22,8,24,665952
1,30302,0,2,31,29316
1,5807,132,2,26,3882
1,118859,99,2,9,115842
0,9728,43,6,67,6585
0,12029,48,8,69,11478
1,6579,70,2,16,5257
1,4234,79,2,73,3116
0,100844,35,7,12,99663
1,32123,61,2,10,29739
0,929052,125,2,31,925927
1,4123,91,5,76,1628
0,297517,82,6,14,294389
0,8113,67,2,70,5945
1,4229,139,6,89,1371
1,33235,7,8,9,30782
0,1206,16,8,53,1
0,789292,98,2,29,788021
1,53098,128,2,34,49949
1,99066,114,2,1,97825
0,506906,102,0,14,503742
0,1289,11,8,49,3
1,546,144,8,94,1
1,383983,5,2,46,383429
1,37772,137,6,11,34755
1,57661,45,2,41,55166
1,74545,151,2,8,72053
0,8781,28,2,59,5653
0,599,1,7,58,3
1,81855,147,6,10,78709
1,341238,29,2,4,338959
0,227216,80,8,43,225387
0,5181,106,2,79,4192
1,99079,55,2,2,97820
1,35758,6,7,9,35156
1,46653,89,2,38,44743
0,521345,25,6,1,518232
1,54155,60,6,10,50976
1,96937,122,2,30,96035
0,1771,20,8,55,5
0,9252,129,8,85,7177
1,1005,18,8,54,1
0,573456,49,2,3,572590
1,552643,119,2,20,550361
0,1017672,51,2,34,1015075
1,1291,14,8,56,11
1,55385,131,6,0,52233
0,6751,107,2,79,5450
1,3425,120,2,84,855
1,68231,100,6,23,65097
0,750258,9,7,38,748432
1,201286,39,2,21,199007
0,313484,153,6,14,310344
1,13944,65,5,44,11467
1,43791,74,6,9,40663
0,116617,57,6,13,113450
1,1126783,133,5,39,1124243
1,4790,126,6,63,1644
0,304,130,7,64,2
1,30678,116,7,9,29548
0,642289,109,6,8,639173
1,40231,112,7,82,38468
1,704,15,3,57,18
0,701522,73,2,26,698580
1,33620,88,6,38,30504
0,673825,85,2,26,670661
0,782421,66,2,26,781378
0,100486,56,2,13,98009
0,632799,52,6,19,629461
0,559272,84,6,40,556483
1,4270,38,5,42,1799
0,673601,77,2,27,670680
0,429068,86,6,25,425925
1,484,141,8,91,2
1,7065,72,2,72,6076
0,532553,154,2,14,531252
1,28960,2,2,31,27503
1,1651,96,2,62,830
0,307836,152,8,14,304756
0,1330,12,8,50,2
0,492209,24,2,1,489726
0,704396,17,8,36,703461
0,225838,94,6,17,222980
1,24175,40,6,47,21059
0,1482,108,2,80,1
0,3560,33,2,65,861
1,40333,121,6,84,37199
0,296392,26,6,15,293633
0,694715,136,2,26,691713
0,212280,148,8,10,211864
0,232598,155,2,3,230508
1,52289,87,6,38,48939
0,796646,64,2,29,794730
0,762911,105,2,26,760413
0,1815,95,2,78,1
1,11460,145,7,95,9091
0,767496,97,2,29,766105
1,341160,156,2,3,338881
0,135805,157,6,5,132644
0,458580,59,2,18,455587
1,2735,81,2,74,246
1,4884,53,2,46,1753
0,562767,62,6,6,559651
0,720169,30,6,23,717008
1,11360,93,6,77,8184
0,1011,8,8,48,1
0,7732,69,6,71,4595
0,696,117,7,83,1
1,153763,104,5,21,151067
0,329442,68,7,17,326975
1,5115,58,5,38,2545
0,315827,127,6,15,312663
1,36371,143,2,93,34218
0,326955,34,6,18,323962
1,6322,47,6,15,3197
0,772874,150,6,28,769737
0,638513,75,2,7,636579
0,220362,118,5,18,217744
1,40751,44,2,68,38379
1,5438,140,7,90,3198
1,8449,124,6,45,5315
0,99546,111,2,12,97369
0,11809,41,2,66,9641
0,8362,135,2,87,5834
1,96112,115,6,1,92984
1,7840,71,2,16,6842
1,16287,37,2,60,13156
1,371763,4,9,45,371065
1,3141,92,7,61,982
1,5564,42,2,36,2433
0,567659,27,1,33,567123
0,634208,32,8,39,633441
1,34862,90,1,28,34431
0,742903,103,2,23,741965
1,11203,46,2,41,8075
0,12199,146,2,96,10430
0,631461,76,2,7,630235
1,2165,138,7,88,1
0,676357,31,2,23,675068
1,46094,78,5,37,43491
1,301337,23,2,5,298548
1,48145,3,4,30,47690
1,11508,110,5,81,8902
0,1015710,36,6,35,1014604
