Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
1,28,3818,117,1,70,2061,0
0,67,497232,49,0,1,497002,4
0,38,1220025,97,1,36,1218841,0
0,34,2356,7,1,44,188,0
1,49,553680,111,1,24,551527,0
0,16,17469,86,1,49,15220,0
0,63,551749,31,0,18,551012,4
1,64,160581,125,1,12,159610,0
1,53,2942,33,1,57,882,0
0,3,802663,58,1,29,801878,0
1,52,501852,59,1,33,499696,0
1,36,1105132,106,1,32,1103840,0
1,44,590889,95,1,15,588715,0
0,13,2355697,99,1,38,2354525,0
1,37,5081,19,1,11,2874,0
0,59,2356776,6,1,38,2355799,0
0,36,1431,21,1,51,1,0
0,17,1193345,105,1,32,1191366,0
0,43,195717,5,1,7,194815,0
1,61,395040,110,1,24,392911,0
0,69,1058918,108,1,34,1056777,0
1,10,114991,84,1,3,114542,0
1,17,161676,77,1,12,160684,0
0,35,2832,52,1,60,619,0
1,30,26356,41,1,58,24182,0
1,18,603844,96,1,15,602780,0
1,2,18169,8,1,16,16115,0
0,58,508321,32,1,2,506186,0
1,9,29015,27,1,55,27780,0
0,1,646319,102,1,13,643902,0
1,61,346367,40,1,24,344166,0
0,62,2001346,64,1,37,1998842,0
0,49,705460,50,1,24,703286,0
0,37,203063,80,1,6,200871,0
1,20,9199,104,1,67,7001,0
1,59,80858,14,1,38,80019,0
0,68,53186,22,1,0,51024,0
1,28,18788,25,1,42,16752,0
1,3,5374,107,1,68,4073,0
0,49,305003,100,1,24,302736,0
0,55,194168,88,1,18,192141,0
1,17,605835,113,1,32,604711,0
1,45,302402,43,0,12,301785,4
1,44,628874,56,1,15,628374,0
1,59,1560715,16,1,38,1558235,0
1,17,141673,126,1,12,140918,0
1,66,38921,60,1,11,36609,0
1,0,352533,109,0,40,352018,4
0,29,879776,20,1,27,877512,0
1,40,229342,92,1,27,227192,0
1,3,6731,34,1,29,4560,0
1,44,628270,36,1,15,627785,0
0,25,875271,70,0,32,874933,2
1,5,53693,57,1,30,52560,0
1,62,1092022,122,1,37,1090076,0
0,40,122127,119,1,71,120202,0
1,67,32651,26,1,54,31587,0
0,55,573072,93,1,18,571858,0
0,4,10034,9,1,45,9492,0
1,19,64228,74,1,22,62066,0
1,48,238993,66,1,25,236726,0
0,38,479217,78,1,14,477172,0
0,13,606833,35,1,38,604902,0
1,52,356850,23,0,41,356083,4
0,49,6331,18,1,50,3935,0
1,15,69895,4,1,22,67685,0
1,11,27802,123,1,73,25553,0
1,53,521,0,0,52,3,4
0,40,149082,120,1,71,147823,0
0,55,551317,82,1,19,549344,0
1,10,85717,38,1,3,84713,0
0,46,12912,3,0,43,12295,1
1,14,116089,75,0,2,115388,4
0,20,5373,103,1,66,3175,0
0,55,399746,91,1,19,397836,0
0,18,551038,37,1,15,548948,0
1,40,258202,87,1,27,255983,0
1,54,7513,2,1,26,7115,0
0,38,522056,129,1,14,520707,0
0,56,560632,53,1,18,560198,0
1,46,8796,42,1,4,6766,0
0,18,242101,44,0,17,241769,3
0,61,742170,79,1,24,739927,0
0,2,13846,12,1,46,12761,0
1,62,886828,76,1,37,884852,0
0,36,656983,69,1,32,654773,0
1,65,29812,132,1,28,28472,0
0,6,24063,89,1,65,21859,0
1,26,569,73,0,62,3,4
0,17,510087,17,1,32,508918,0
1,24,20468,94,1,5,18309,0
0,28,47761,116,1,70,45575,0
1,62,2179419,98,1,37,2176948,0
0,41,143770,130,1,8,141896,0
0,27,395811,47,1,21,393328,0
1,6,17708,29,1,56,16425,0
1,33,107570,30,1,10,105642,0
1,7,216636,67,1,25,214564,0
1,23,5239,48,1,59,3059,0
1,50,2117,24,1,53,3,0
1,2,45873,85,1,64,43711,0
0,32,843337,63,1,23,841178,0
0,12,630544,13,1,19,630077,0
1,62,61722,124,1,37,61057,0
0,12,414917,90,1,19,412986,0
1,22,9794,121,1,72,7884,0
0,42,630340,39,1,20,629867,0
0,56,576256,1,1,18,575726,0
1,17,8315,11,1,32,7779,0
0,33,640806,112,1,10,638620,0
0,12,808511,72,1,19,806334,0
1,13,45587,118,1,71,43530,0
1,22,7341,15,1,47,5542,0
1,21,591642,55,0,15,591283,4
0,39,28251,115,1,69,27310,0
1,57,15656,46,1,1,13635,0
0,12,495949,81,1,19,493973,0
0,26,2323,65,1,61,1850,0
0,8,12118,51,1,48,9896,0
0,23,2747,83,1,63,2046,0
0,38,1428134,62,1,36,1426182,0
0,51,2001160,71,1,35,1999253,0
1,59,967593,54,1,38,965515,0
0,31,1157244,28,0,31,1157023,3
1,7,292285,128,1,25,290090,0
1,27,131468,101,1,39,129252,0
0,60,429,127,1,74,1,0
0,40,461012,68,0,10,460530,3
0,49,804175,45,1,24,801998,0
0,46,1718373,10,1,36,1716442,0
0,54,111044,131,1,9,109113,0
0,17,853635,114,1,32,852247,0
1,47,1375094,61,1,36,1372983,0
