Entity_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,0,3,12909,145,145,0,113,10807,1,1
0,0,125,6110,102,101,0,101,3849,1,0
1,0,39,457048,91,90,1,9,454787,0,0
0,0,137,478833,231,231,0,6,476677,1,0
0,0,93,16869,155,155,0,116,14662,1,0
0,0,15,4025,166,166,0,16,1761,1,1
1,0,13,20192,203,203,1,29,18165,0,1
0,0,125,3770,52,51,0,89,732,2,1
1,0,21,828777,111,110,1,48,827212,0,1
1,0,41,9061,57,56,1,74,6806,0,1
0,0,40,2776,158,158,0,117,509,1,0
1,0,29,211189,119,119,1,34,209180,0,1
1,0,47,7765,30,29,1,43,5519,0,1
0,0,1,3747,25,24,0,72,1363,1,1
0,0,54,555948,172,172,0,20,553549,1,0
0,0,70,487264,97,96,0,17,485114,1,0
0,0,7,763294,176,176,0,26,761027,1,0
0,0,37,1178466,118,118,0,44,1176085,1,0
1,0,35,53359,117,117,1,40,52601,0,1
1,0,24,96434,222,222,1,5,94266,0,1
1,0,23,45480,197,197,1,122,43330,0,1
1,0,40,609383,80,79,1,20,607077,0,0
1,0,2,5633,13,12,1,62,4134,0,0
1,0,113,813661,182,182,1,38,811541,0,0
0,0,57,243718,99,98,0,19,243449,3,0
0,0,88,480713,38,37,0,4,478230,1,0
1,0,67,114439,9,8,1,3,112868,0,1
0,0,62,14957,65,64,0,76,12933,1,0
1,0,28,356577,109,108,1,53,354673,0,0
0,0,20,371476,173,173,0,18,369323,1,0
1,0,55,50723,123,123,1,106,48507,0,1
0,0,98,611448,113,113,0,10,610807,2,0
0,0,30,56175,86,85,0,5,53914,1,1
1,0,86,1621,66,65,1,95,2,0,1
0,0,130,4679,116,116,0,40,2307,1,1
0,0,125,11646,126,126,0,107,9286,1,1
0,0,20,45278,103,102,0,18,42840,1,0
0,0,1,47037,178,178,0,120,44773,1,1
0,0,123,487691,31,30,0,18,485538,1,0
0,0,132,477337,11,10,0,9,476408,3,0
0,0,51,828692,195,195,0,49,827244,1,1
1,0,89,909033,33,32,1,40,906619,0,0
0,0,92,1062,4,3,0,71,1,3,0
0,0,61,15153,209,209,0,30,12949,1,1
