Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,301826,244,2,0,31,299487
1,0,32772,96,1,1,4,29866
1,0,373899,27,2,0,5,371611
0,0,736453,77,3,0,23,733583
1,1,190552,78,2,0,21,188093
1,0,1516533,41,2,0,32,1514173
0,0,476728,160,2,0,15,474101
1,0,54199,30,2,0,58,51578
1,0,988200,208,2,0,23,985546
1,0,1062895,235,2,0,31,1060310
0,0,246580,85,2,0,19,243767
0,0,758419,43,2,0,22,756089
0,0,488327,204,3,0,23,485541
0,0,322020,238,1,1,19,319249
0,0,33755,25,2,0,44,30969
0,0,355891,246,2,0,6,353552
1,0,993191,42,2,0,32,990858
1,0,1150558,194,1,1,23,1147775
0,0,1152306,223,2,0,24,1149583
0,0,1161129,167,2,0,32,1158613
1,0,32977,217,1,1,85,30248
1,0,33431,24,2,0,55,30843
0,0,184674,4,2,0,12,182293
1,0,1757922,190,2,0,32,1755496
0,0,553480,175,3,0,1,550610
0,0,16153,28,2,0,56,13502
1,0,292921,247,2,0,6,290183
0,0,256062,180,2,0,5,253732
0,0,25495,48,2,0,61,22811
1,0,8691,197,2,0,78,6085
1,0,180436,214,2,0,11,177890
1,0,15222,213,2,0,82,12538
0,0,867065,115,2,0,23,864531
1,0,1966199,102,2,0,31,1963551
0,0,557682,143,2,0,15,555076
0,0,1024944,234,2,0,31,1022305
0,0,519004,253,2,0,7,516413
0,0,1176004,166,2,0,32,1173581
1,0,156435,32,3,0,19,153649
1,0,447956,178,2,0,24,445458
0,0,735391,127,2,0,31,733043
0,0,1102343,227,2,0,24,1099539
0,0,1314205,88,2,0,32,1311887
1,0,1034195,210,2,0,23,1031508
1,0,650434,37,3,0,14,647633
1,0,1800605,107,2,0,31,1797939
1,0,125132,79,2,0,4,122370
0,0,17633,20,1,1,53,14982
0,0,4209,120,2,0,69,1423
0,0,187941,233,2,0,5,185287
0,0,1065877,200,2,0,26,1063010
0,0,432191,134,2,0,16,429708
0,0,536061,258,2,0,15,533287
1,0,568671,174,2,0,32,566338
0,0,1123469,222,1,1,24,1120611
0,0,443238,158,2,0,15,440629
0,0,422008,202,2,0,17,419294
1,0,86749,153,1,1,3,84020
1,0,50888,152,2,0,20,48174
0,0,107074,256,1,1,2,104540
0,0,622377,39,2,0,31,620053
0,0,404953,162,2,0,15,402317
1,0,352788,251,2,0,18,350182
0,0,185153,22,2,0,27,182502
0,0,389747,165,1,1,15,387120
0,0,309384,109,2,0,5,306937
1,0,585607,80,2,0,6,583331
0,0,7162,18,2,0,51,4697
0,0,378614,164,2,0,15,375975
1,0,23290,219,2,0,50,20606
0,0,9867,58,2,0,63,7462
0,0,473501,203,3,0,23,470631
0,0,1713823,6,2,0,30,1711409
0,0,381075,239,2,0,16,378301
