Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,1713823,9,9,28,2,86,1711409,0
1,32772,99,99,4,1,116,29866,1
0,373899,30,30,5,2,26,371611,1
0,721934,77,77,23,2,34,719244,1
0,428427,90,90,20,3,83,425755,0
0,1516533,45,45,30,2,62,1514173,1
0,465591,162,162,15,2,112,462814,0
0,54199,33,33,56,2,46,51578,1
1,952113,117,117,23,1,39,949273,1
0,1024944,233,233,29,2,85,1022305,0
1,199898,37,37,19,1,93,197364,1
0,404584,119,119,21,2,92,402206,0
0,473501,202,202,23,3,122,470631,0
0,246580,89,89,19,2,4,243767,0
0,33755,28,28,42,2,56,30969,0
0,355891,244,244,6,2,116,353552,0
0,993191,46,46,30,2,62,990858,1
1,1100880,194,194,23,1,39,1098211,1
1,1123469,221,221,24,1,94,1120611,0
0,1161129,167,167,30,2,111,1158613,0
1,32977,216,216,83,1,114,30248,1
0,33431,27,27,53,2,98,30843,1
0,184674,6,6,12,2,95,182293,0
0,1757922,188,188,30,2,33,1755496,1
0,553480,174,174,1,3,66,550610,0
0,16153,31,31,54,2,46,13502,0
0,292921,245,245,6,2,119,290183,1
0,256062,179,179,5,2,121,253732,0
0,25495,52,52,59,2,98,22811,0
0,8691,195,195,76,2,29,6085,1
0,180436,213,213,11,2,44,177890,1
0,15222,212,212,80,2,6,12538,1
0,849988,205,205,23,2,80,847319,0
0,1966199,104,104,29,2,40,1963551,1
0,546874,143,143,15,2,105,544250,0
1,1014233,135,135,29,1,28,1011738,0
0,519004,251,251,7,2,75,516413,0
0,1176004,166,166,30,2,104,1173581,0
0,82609,138,138,19,3,42,79808,1
1,316755,120,120,24,1,94,314314,0
0,622377,43,43,29,2,8,620053,0
0,483376,98,98,24,2,107,480707,1
0,1314205,92,92,30,2,111,1311887,0
0,1015945,209,209,23,2,72,1013150,1
0,204433,65,65,14,2,45,201761,1
0,1800605,109,109,29,2,74,1797939,1
0,125132,83,83,4,2,47,122370,1
1,17633,23,23,51,1,65,14982,0
0,4209,122,122,67,2,68,1423,0
0,187941,232,232,5,2,37,185287,0
0,1035713,60,60,25,2,50,1032837,0
0,425184,136,136,16,2,54,422410,0
0,513629,257,257,15,3,82,510834,0
0,568671,173,173,30,2,2,566338,1
0,1115182,220,220,24,2,78,1112378,0
1,432436,159,159,15,1,62,429818,0
0,218715,57,57,17,2,71,215884,1
1,86749,153,153,3,1,69,84020,1
1,396102,72,72,19,1,93,393418,0
1,107074,254,254,2,1,73,104540,0
0,602587,44,44,29,2,85,600077,0
1,389747,164,164,15,1,126,387120,0
0,422008,200,200,17,2,32,419294,0
0,1065877,198,198,25,2,110,1063010,0
0,378614,163,163,15,2,87,375975,0
0,309384,111,111,5,2,121,306937,0
0,585607,84,84,6,2,119,583331,1
0,7162,21,21,49,2,46,4697,0
0,650434,41,41,14,3,38,647633,1
0,23290,218,218,48,2,74,20606,1
0,9867,63,63,61,2,98,7462,0
1,442799,201,201,23,1,48,439932,1
0,1695278,8,8,28,2,41,1692543,1
0,700388,16,16,15,2,106,697620,0
0,14845,49,49,58,3,51,11996,0
0,8092,214,214,81,2,43,5759,0
1,13979,197,197,78,1,0,11352,1
0,1045611,208,208,23,3,72,1042786,0
0,15062,88,88,64,2,46,12438,0
0,1061168,113,113,23,4,72,1059124,0
0,8115,172,172,47,3,45,5269,1
0,379418,170,170,32,2,52,376740,1
0,2047179,185,185,29,2,81,2044399,1
0,585177,204,204,23,3,22,582301,0
0,475012,142,142,7,2,113,472298,0
0,1324430,91,91,30,2,62,1322082,0
0,1096585,235,235,29,2,101,1093946,1
1,9580,196,196,77,1,38,6749,1
0,50888,152,152,20,2,52,48174,1
0,1062895,234,234,29,2,85,1060310,1
0,758419,47,47,21,2,21,756089,0
0,12594,151,151,74,2,46,9967,0
0,9089,217,217,83,2,23,6579,1
1,45075,125,125,70,1,25,42286,0
1,1578209,101,101,28,1,109,1575672,1
0,1828534,108,108,29,2,85,1825916,0
0,466038,177,177,24,2,65,463714,0
0,1865809,106,106,29,2,74,1862957,0
0,139709,253,253,1,2,90,138117,0
1,290907,118,118,21,1,17,288478,0
0,1171520,40,40,27,2,7,1169280,1
0,2060220,184,184,29,2,101,2057611,1
0,800723,165,165,22,2,3,798375,0
0,12158,12,12,41,2,55,9363,1
0,21771,86,86,62,2,46,19363,0
0,488327,203,203,23,3,22,485541,0
0,454333,158,158,15,2,106,451748,0
0,262330,243,243,6,2,83,259847,0
0,568854,259,259,15,2,105,566233,0
0,16377,145,145,72,2,46,13513,1
0,180486,36,36,19,2,42,177754,1
0,1596686,186,186,29,2,40,1594209,0
0,301826,242,242,29,2,89,299487,0
0,736453,81,81,23,3,72,733583,0
0,1129346,169,169,30,2,62,1126764,1
0,20976,59,59,44,2,8,18310,0
0,5331,150,150,73,2,98,2932,0
0,629809,114,114,13,3,5,627020,1
0,1825289,187,187,30,2,62,1822929,0
1,590672,258,258,15,1,62,588504,0
0,6553,121,121,66,2,63,4166,1
0,1152306,222,222,24,2,115,1149583,0
0,13678,156,156,3,2,15,10931,1
0,468388,70,70,6,3,80,465485,0
1,476059,149,149,5,1,103,473501,0
1,1152001,180,180,28,1,109,1149578,1
0,1007699,206,206,23,2,72,1005114,1
0,1147282,168,168,30,2,62,1144757,1
0,696919,75,75,23,2,22,694046,0
0,1156973,236,236,29,2,30,1154469,0
0,221070,141,141,9,2,85,218443,1
0,463778,82,82,16,2,35,460986,0
0,11062,5,5,37,2,36,8450,0
0,1553361,182,182,28,2,41,1550629,1
0,280853,66,66,23,2,127,278046,0
0,546370,48,48,8,2,95,543824,0
0,399549,238,238,16,2,54,396772,0
0,57145,58,58,44,3,91,54284,0
0,817323,80,80,23,2,72,814468,0
1,408107,18,18,5,1,23,405750,0
0,60414,227,227,85,2,12,57859,1
0,988200,207,207,23,2,34,985546,1
0,7898,11,11,40,2,64,5274,1
0,245264,50,50,0,2,2,242583,0
0,4732,124,124,69,2,98,2051,0
0,21506,61,61,60,2,98,18858,0
0,23129,127,127,71,3,98,20358,1
0,428401,71,71,18,2,76,425663,0
0,950785,133,133,29,2,40,948302,1
0,34218,62,62,60,2,98,31414,0
0,2102129,103,103,29,2,101,2099463,1
0,15093,157,157,19,3,128,12226,0
0,1251196,181,181,28,2,120,1248512,0
0,352788,249,249,18,2,110,350182,1
0,565683,140,140,6,2,116,563344,1
