Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1713823,9,9,2,0,86,28,1711409,0
1,0,32772,99,99,1,1,116,4,29866,1
0,0,373899,30,30,2,0,26,5,371611,1
0,0,721934,77,77,2,0,34,23,719244,1
0,0,428427,90,90,3,0,83,20,425755,0
0,0,1516533,45,45,2,0,62,30,1514173,1
0,0,465591,162,162,2,0,112,15,462814,0
0,0,54199,33,33,2,0,46,56,51578,1
1,0,952113,117,117,1,1,39,23,949273,1
0,0,1062895,234,234,2,0,85,29,1060310,1
1,0,199898,37,37,1,1,93,19,197364,1
0,0,404584,119,119,2,0,92,21,402206,0
0,0,473501,203,203,3,0,122,23,470631,0
0,0,246580,89,89,2,0,4,19,243767,0
0,0,33755,28,28,2,0,56,42,30969,0
0,0,355891,244,244,2,0,116,6,353552,0
0,0,993191,46,46,2,0,62,30,990858,1
1,0,1100880,195,195,1,1,39,23,1098211,1
1,0,1123469,222,222,1,1,94,24,1120611,0
0,0,1161129,167,167,2,0,111,30,1158613,0
1,0,32977,217,217,1,1,114,83,30248,1
0,0,33431,27,27,2,0,98,53,30843,1
0,0,184674,6,6,2,0,95,12,182293,0
0,0,1757922,189,189,2,0,33,30,1755496,1
0,0,553480,174,174,3,0,66,1,550610,0
0,0,16153,31,31,2,0,46,54,13502,0
0,0,292921,245,245,2,0,119,6,290183,1
0,0,256062,179,179,2,0,121,5,253732,0
0,0,25495,52,52,2,0,98,59,22811,0
0,0,8691,196,196,2,0,29,76,6085,1
0,0,180436,214,214,2,0,44,11,177890,1
0,0,15222,213,213,2,0,6,80,12538,1
0,0,849988,206,206,2,0,80,23,847319,0
0,0,1966199,104,104,2,0,40,29,1963551,1
0,0,546874,143,143,2,0,105,15,544250,0
1,0,1014233,135,135,1,1,28,29,1011738,0
0,0,519004,251,251,2,0,75,7,516413,0
0,0,1176004,166,166,2,0,104,30,1173581,0
0,0,82609,138,138,3,0,42,19,79808,1
1,0,316755,120,120,1,1,94,24,314314,0
0,0,622377,43,43,2,0,8,29,620053,0
0,0,483376,98,98,2,0,107,24,480707,1
0,0,1314205,92,92,2,0,111,30,1311887,0
0,0,1015945,210,210,2,0,72,23,1013150,1
0,0,204433,65,65,2,0,45,14,201761,1
0,0,1800605,109,109,2,0,74,29,1797939,1
0,0,125132,83,83,2,0,47,4,122370,1
1,0,17633,23,23,1,1,65,51,14982,0
0,0,4209,122,122,2,0,68,67,1423,0
0,0,187941,233,233,2,0,37,5,185287,0
0,0,1035713,60,60,2,0,50,25,1032837,0
0,0,425184,136,136,2,0,54,16,422410,0
0,0,513629,257,257,3,0,82,15,510834,0
0,0,568671,173,173,2,0,2,30,566338,1
0,0,1115182,221,221,2,0,78,24,1112378,0
1,0,432436,159,159,1,1,62,15,429818,0
0,0,218715,57,57,2,0,71,17,215884,1
1,0,86749,153,153,1,1,69,3,84020,1
1,0,396102,72,72,1,1,93,19,393418,0
1,0,107074,254,254,1,1,73,2,104540,0
0,0,602587,44,44,2,0,85,29,600077,0
1,0,389747,164,164,1,1,126,15,387120,0
0,0,422008,201,201,2,0,32,17,419294,0
0,0,1065877,199,199,2,0,110,25,1063010,0
0,0,378614,163,163,2,0,87,15,375975,0
0,0,309384,111,111,2,0,121,5,306937,0
0,0,585607,84,84,2,0,119,6,583331,1
0,0,7162,21,21,2,0,46,49,4697,0
0,0,650434,41,41,3,0,38,14,647633,1
0,0,23290,219,219,2,0,74,48,20606,1
0,0,9867,63,63,2,0,98,61,7462,0
1,0,442799,202,202,1,1,48,23,439932,1
0,0,1695278,8,8,2,0,41,28,1692543,1
0,0,700388,16,16,2,0,106,15,697620,0
0,0,14845,49,49,3,0,51,58,11996,0
0,0,8092,215,215,2,0,43,81,5759,0
1,0,13979,198,198,1,1,0,78,11352,1
0,0,1045611,209,209,3,0,72,23,1042786,0
0,0,15062,88,88,2,0,46,64,12438,0
0,0,1061168,113,113,4,0,72,23,1059124,0
0,0,8115,172,172,3,0,45,47,5269,1
0,0,379418,170,170,2,0,52,32,376740,1
0,0,2047179,185,185,2,0,81,29,2044399,1
0,0,585177,205,205,3,0,22,23,582301,0
0,0,475012,142,142,2,0,113,7,472298,0
0,0,1324430,91,91,2,0,62,30,1322082,0
0,0,1156973,236,236,2,0,30,29,1154469,0
1,0,9580,197,197,1,1,38,77,6749,1
0,0,50888,152,152,2,0,52,20,48174,1
0,0,1096585,235,235,2,0,101,29,1093946,1
0,0,758419,47,47,2,0,21,21,756089,0
0,0,12594,151,151,2,0,46,74,9967,0
0,0,9089,218,218,2,0,23,83,6579,1
1,0,45075,125,125,1,1,25,70,42286,0
1,0,1578209,101,101,1,1,109,28,1575672,1
0,0,1828534,108,108,2,0,85,29,1825916,0
0,0,466038,177,177,2,0,65,24,463714,0
0,0,1865809,106,106,2,0,74,29,1862957,0
0,0,139709,253,253,2,0,90,1,138117,0
1,0,290907,118,118,1,1,17,21,288478,0
0,0,1171520,40,40,2,0,7,27,1169280,1
0,0,2060220,184,184,2,0,101,29,2057611,1
0,0,800723,165,165,2,0,3,22,798375,0
0,0,12158,12,12,2,0,55,41,9363,1
0,0,21771,86,86,2,0,46,62,19363,0
0,0,488327,204,204,3,0,22,23,485541,0
0,0,454333,158,158,2,0,106,15,451748,0
0,0,262330,243,243,2,0,83,6,259847,0
0,0,568854,259,259,2,0,105,15,566233,0
0,0,16377,145,145,2,0,46,72,13513,1
0,0,180486,36,36,2,0,42,19,177754,1
1,0,1633076,187,187,1,1,28,29,1630521,0
0,0,301826,242,242,2,0,89,29,299487,0
0,0,736453,81,81,3,0,72,23,733583,0
0,0,1129346,169,169,2,0,62,30,1126764,1
0,0,20976,59,59,2,0,8,44,18310,0
0,0,5331,150,150,2,0,98,73,2932,0
0,0,629809,114,114,3,0,5,13,627020,1
0,0,1825289,188,188,2,0,62,30,1822929,0
