Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1330,9,9,9,0,66,51,2,0
0,0,30308,48,48,7,0,9,2,27168,1
1,0,56857,120,120,2,1,17,22,54575,1
0,0,1097,10,10,8,0,55,52,1,0
1,0,5564,34,34,2,1,34,36,2433,1
1,0,5286,76,76,2,1,27,75,4336,1
1,0,929052,122,122,2,1,85,31,925927,0
0,0,52289,81,81,7,0,8,38,48939,1
0,0,581462,110,110,6,0,22,4,578019,0
0,0,212280,147,147,9,0,29,10,211864,0
1,0,38881,130,130,2,1,59,86,36347,0
0,0,297517,75,75,7,0,86,14,294389,0
1,0,81368,19,19,2,1,83,22,80808,1
0,0,720,140,140,9,0,25,92,1,1
1,0,742903,100,100,2,1,77,23,741965,0
1,0,28960,0,0,2,1,85,31,27503,1
0,0,429068,80,80,7,0,84,25,425925,0
1,0,118859,95,95,2,1,34,9,115842,1
1,0,69438,35,35,2,1,61,67,67273,0
0,0,6138,37,37,8,0,72,69,5206,0
0,0,315827,124,124,7,0,79,15,312663,0
0,0,639,65,65,9,0,67,73,1,1
1,0,99546,108,108,2,1,25,12,97369,0
1,0,32123,55,55,2,1,51,10,29739,1
0,0,48514,137,137,7,0,51,31,47612,1
0,0,4123,86,86,6,0,2,76,1628,1
0,0,116617,51,51,7,0,43,13,113450,0
0,0,541,43,43,3,0,1,70,26,0
0,0,4229,136,136,7,0,52,89,1371,1
0,0,33235,5,5,9,0,78,9,30782,1
0,0,763,7,7,1,0,23,53,5,0
1,0,767496,93,93,2,1,9,29,766105,0
0,0,567659,24,24,1,0,16,33,567123,0
1,0,99066,111,111,2,1,82,1,97825,1
0,0,318588,152,152,7,0,42,14,315535,0
0,0,1011,6,6,9,0,37,49,1,0
0,0,546,142,142,9,0,64,94,1,1
1,0,4884,47,47,2,1,72,47,1753,1
1,0,213521,148,148,2,1,51,10,212382,0
1,0,11203,39,39,2,1,57,42,8075,1
1,0,74545,150,150,2,1,69,8,72053,1
0,0,2066,18,18,9,0,84,59,3,1
0,0,704,12,12,4,0,14,58,18,1
0,0,81855,145,145,7,0,12,10,78709,1
1,0,341238,26,26,2,1,73,4,338959,1
1,0,306062,90,90,2,1,51,43,305283,0
1,0,5181,103,103,2,1,87,79,4192,0
1,0,99079,49,49,2,1,3,2,97820,1
0,0,35758,4,4,8,0,78,9,35156,1
0,0,33620,82,82,7,0,69,38,30504,1
0,0,521345,22,22,7,0,56,1,518232,0
0,1,54155,54,54,7,0,37,10,50976,1
0,0,48145,1,1,5,0,19,30,47690,1
0,0,1005,15,15,9,0,65,55,1,1
0,0,9252,126,126,9,0,80,85,7177,0
0,0,1242,14,14,8,0,33,54,3,0
1,0,573456,41,41,2,1,29,3,572590,0
0,0,632799,45,45,7,0,70,19,629461,0
1,0,53098,125,125,2,1,22,34,49949,1
0,0,1771,17,17,9,0,15,56,5,0
0,0,55385,128,128,7,0,54,0,52233,1
1,0,6751,104,104,2,1,89,79,5450,0
1,0,3425,117,117,2,1,68,84,855,1
0,0,765509,31,31,7,0,76,22,762384,0
0,0,716461,42,42,7,0,51,38,713525,0
0,0,153763,101,101,6,0,53,21,151067,1
0,0,307836,151,151,9,0,42,14,304756,0
0,0,227216,73,73,9,0,70,44,225387,0
0,0,43791,67,67,7,0,78,9,40663,1
1,0,100486,50,50,2,1,44,13,98009,0
0,0,975350,133,133,6,0,75,40,972864,1
1,0,1651,92,92,2,1,12,63,830,1
0,0,4790,123,123,7,0,18,64,1644,1
0,0,30678,113,113,8,0,41,9,29548,1
0,0,642289,106,106,7,0,48,8,639173,0
0,0,40231,109,109,8,0,13,82,38468,1
0,0,1291,11,11,9,0,91,57,11,1
1,0,694715,132,132,2,1,32,26,691713,0
