Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,101,7608,42,1,91,6745,5,1
1,18,391707,124,1,22,391090,5,1
1,15,476915,37,1,3,476025,5,0
0,52,346408,207,0,62,346178,4,1
1,145,216862,125,1,56,214952,5,0
1,145,80177,231,1,13,78453,5,1
1,95,8014,86,1,10,5234,5,1
1,64,557,93,1,107,3,5,1
0,18,12665,70,0,22,11931,1,1
0,88,346850,206,0,62,346512,2,1
1,102,890682,192,1,37,889150,5,0
0,96,1130987,147,0,43,1130442,1,0
1,11,2216,41,1,90,1884,5,0
1,79,56787,224,1,65,55507,5,1
0,57,45867,21,0,45,45670,2,1
1,140,929,175,1,130,3,5,0
1,122,25397,152,1,28,23602,5,1
1,122,36817,150,1,28,35931,5,1
1,65,578507,187,1,25,577500,5,0
1,90,30441,198,1,133,27628,5,1
1,78,1839347,131,1,54,1836461,5,0
0,26,71748,34,0,53,71398,0,1
1,67,122795,35,1,8,121053,5,0
1,112,1122061,145,1,43,1121249,5,0
1,134,752571,47,1,27,750136,5,0
1,130,33312,81,1,39,32212,5,1
1,7,17807,29,1,42,16818,5,1
1,51,17424,191,1,27,14611,5,1
1,108,543960,137,1,6,542011,5,0
1,91,23503,235,1,5,21764,5,1
1,59,57738,225,1,65,56893,5,1
0,30,870832,53,0,33,869711,2,0
1,61,12423,127,1,26,10753,5,1
1,23,3521,176,1,86,564,5,0
1,117,640889,122,1,14,638082,5,0
1,12,119855,182,1,7,118959,5,1
1,106,351059,65,1,59,348930,5,0
1,141,4441,71,1,52,1115,5,1
0,47,218,155,0,124,3,1,0
1,35,615828,186,1,25,612868,5,0
1,105,835,4,1,89,1,5,0
1,7,71222,128,1,26,69540,5,1
1,145,100170,26,1,13,98553,5,1
1,20,76293,27,1,60,74227,5,1
1,63,17384,123,1,116,15111,5,1
1,15,395,203,1,87,3,5,1
1,111,1444050,22,1,47,1442287,5,0
1,137,229154,239,1,7,227562,5,0
1,24,64517,121,1,60,64071,5,1
0,135,747484,168,0,31,746714,0,0
1,109,58454,114,1,46,55821,5,1
1,142,10805,108,1,113,10074,5,0
1,122,805101,143,1,28,802591,5,0
0,131,4265,67,0,101,3411,2,0
1,101,8105,60,1,98,5802,5,1
1,138,42976,229,1,40,42014,5,1
0,37,157631,185,0,51,157230,2,0
1,21,7838,217,1,136,7741,5,1
1,46,794,8,1,67,3,5,0
0,103,1231,13,0,74,899,1,1
1,75,74182,14,1,21,73355,5,1
1,94,2332647,201,1,55,2330257,5,0
1,74,114401,64,1,61,112584,5,1
1,94,41471,157,1,55,39177,5,1
0,98,1415811,19,0,47,1415230,1,0
1,61,6985,84,1,104,4031,5,1
1,30,46358,94,1,15,44298,5,1
1,8,1129891,146,1,43,1128836,5,0
1,15,535,6,1,66,1,5,0
1,125,11717,177,1,131,11061,5,0
1,111,1338938,195,1,47,1337487,5,0
0,136,36096,30,0,38,35452,1,1
1,1,56420,158,1,55,55923,5,1
1,15,20561,119,1,41,20007,5,1
1,33,2400,167,1,127,211,5,0
1,42,3058,139,1,121,647,5,0
1,78,33980,165,1,54,31590,5,1
1,56,358301,173,1,58,355485,5,0
0,113,202126,78,0,59,201683,2,0
1,59,83691,199,1,2,83233,5,1
1,18,1034156,75,1,39,1031220,5,0
1,128,393196,83,1,49,390821,5,1
1,87,368350,50,1,58,367493,5,0
1,124,66037,96,1,43,63011,5,1
1,38,877,16,1,77,2,5,0
1,40,1381,105,1,111,2,5,0
1,124,1153652,148,1,43,1152030,5,0
1,134,45746,31,1,27,45168,5,1
1,86,47107,232,1,13,46339,5,1
1,123,35665,151,1,28,33647,5,1
1,6,2035,129,1,119,1445,5,0
1,81,921959,66,1,36,919047,5,0
0,50,282,117,0,85,1,2,1
1,78,903359,161,1,54,902475,5,0
1,46,3364,171,1,129,1112,5,0
1,3,8634,61,1,99,6310,5,0
1,45,6051,111,1,84,3256,5,0
1,35,223303,156,1,25,221369,5,0
1,10,147,10,1,68,1,5,0
1,123,706956,36,1,28,704473,5,0
1,27,15156,24,1,79,14362,5,1
1,78,944659,162,1,54,941918,5,1
1,3,513917,237,1,5,513297,5,0
1,53,24472,188,1,14,23342,5,1
1,145,46075,233,1,13,44094,5,1
1,92,1050263,159,1,48,1049748,5,0
1,119,1991,179,1,132,321,5,1
1,26,7580,89,1,105,6150,5,1
1,1,317768,194,1,55,315381,5,0
0,55,581031,238,0,19,580762,2,0
1,9,10942,202,1,31,10619,5,1
1,41,929,17,1,75,492,5,0
1,144,6341,62,1,100,3546,5,0
1,139,28634,142,1,17,28311,5,1
1,126,751195,190,1,29,748829,5,0
0,60,2270,59,0,97,1968,0,1
1,111,629366,210,1,47,627348,5,0
1,74,609376,209,1,11,606950,5,0
1,14,2735,218,1,137,1362,5,1
1,32,4117,226,1,48,1346,5,1
1,36,6226,11,1,69,4295,5,0
1,83,481120,109,1,0,478592,5,0
1,39,215,5,1,118,3,5,0
1,69,2208,144,1,122,1,5,1
1,89,857583,110,1,33,854629,5,0
1,2,4959,102,1,110,2632,5,0
1,38,38673,92,1,106,38134,5,1
1,1,2184398,88,1,55,2181870,5,1
1,6,821170,101,1,31,818471,5,0
1,53,46181,184,1,14,45609,5,1
1,143,699100,73,1,23,696140,5,0
0,84,2029693,140,0,52,2028950,3,0
1,0,4564,45,1,93,2810,5,1
