Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,493953,88,88,2,14,493609,0
1,9446,82,82,2,39,7647,0
0,5255,74,74,3,20,2763,0
0,287968,36,36,0,14,286817,0
1,2113129,4,4,2,18,2112008,1
1,456990,39,39,2,5,456034,0
1,524283,29,29,2,6,523744,0
1,446968,57,57,2,18,445976,0
1,389254,85,85,2,10,388238,1
0,415,78,78,3,38,74,0
1,34900,84,84,2,41,34403,0
0,1568049,34,34,3,18,1567459,1
1,806760,71,71,2,12,805210,0
1,752839,24,24,2,18,752246,1
1,1050401,92,92,2,17,1050087,1
1,435956,9,9,2,4,435030,1
1,796791,68,68,2,13,795304,0
1,57693,64,64,2,11,56791,1
1,1786875,48,48,2,17,1786159,1
1,776048,26,26,2,12,775092,0
1,155295,91,91,2,42,154171,0
0,14817,16,16,4,26,14209,0
1,74492,21,21,2,3,73803,0
1,1037381,93,93,2,17,1036476,1
1,1751697,6,6,1,17,1751281,0
1,318778,37,37,2,14,318386,0
1,1078009,0,0,2,14,1077569,1
1,994934,13,13,2,13,993237,0
0,556441,28,28,0,6,555500,0
1,1575106,49,49,2,17,1574483,0
1,810033,67,67,2,13,808633,0
1,1226536,44,44,2,18,1225625,1
0,415202,8,8,0,4,414870,0
1,520133,89,89,2,14,519183,1
0,579,46,46,4,32,1,1
1,1605890,80,80,2,17,1605162,0
1,1285729,43,43,2,18,1284860,1
1,767190,27,27,2,12,766081,0
1,145136,60,60,2,7,143469,1
0,6256,14,14,3,24,4343,1
1,3678,42,42,2,30,1996,1
0,434997,7,7,0,4,434554,1
0,457660,40,40,0,5,457121,0
1,26464,55,55,2,34,24623,1
0,43740,65,65,0,2,43105,0
0,623355,25,25,0,6,622414,1
1,310242,38,38,2,14,309811,0
0,409340,95,95,0,18,408633,0
0,14261,90,90,3,21,11517,1
0,292232,50,50,0,4,291777,0
1,1643722,32,32,2,18,1642802,1
1,84542,20,20,2,28,84111,1
0,2665,12,12,3,23,1541,1
1,1180888,79,79,2,16,1179752,1
0,309976,53,53,3,15,309383,0
0,598,61,61,4,35,2,1
0,876723,52,52,0,14,875551,0
1,1445532,22,22,2,18,1444765,1
1,829655,3,3,2,17,828978,1
1,1493,83,83,2,40,471,1
1,1115404,70,70,2,18,1114712,1
1,2418,11,11,2,22,715,1
1,447558,87,87,2,14,447142,1
0,1735953,73,73,0,16,1735636,0
1,1067748,81,81,2,14,1067248,0
0,2026309,10,10,0,18,2025506,1
1,483,19,19,2,28,1,1
0,1735532,72,72,3,16,1734645,0
1,647282,5,5,2,18,646296,1
1,787501,69,69,2,13,786539,0
0,18905,63,63,3,37,17574,1
1,703062,66,66,2,17,702091,0
1,1021876,56,56,2,17,1021316,0
1,3924,62,62,2,36,2239,1
1,302448,35,35,2,14,301999,0
1,796821,76,76,2,12,795886,0
1,15756,45,45,2,31,14755,1
1,232541,30,30,2,0,231249,0
0,459577,77,77,3,15,458618,0
0,747945,59,59,3,9,745645,0
1,156954,97,97,2,1,155782,0
1,479784,86,86,2,10,478387,1
0,12112,18,18,0,27,11726,0
0,3821,15,15,3,25,1521,1
1,1680779,33,33,2,18,1680060,0
0,11816,47,47,3,33,9516,1
1,571767,75,75,2,18,570709,1
1,1658775,31,31,2,18,1658077,1
1,1430208,23,23,2,18,1429318,0
1,1217,96,96,2,43,24,0
1,75990,1,1,2,8,74263,1
0,828817,2,2,0,17,828224,1
1,408301,94,94,2,18,407363,0
1,1000,41,41,2,29,2,0
1,571876,58,58,2,5,570902,0
1,2307,51,51,2,19,1621,1
1,322283,54,54,2,15,321357,0
0,11716,17,17,0,27,11321,0
