Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
1,0,1037760,369,369,4,22,1037092
0,0,18293,404,404,3,95,17649
0,0,7200,136,136,4,45,6637
0,0,55025,359,359,4,83,54438
0,0,1457890,91,91,4,28,1457246
1,0,487260,204,204,4,23,486679
0,0,1995197,221,221,4,27,1994529
0,0,9057,388,388,4,90,8128
0,0,4555,133,133,4,64,3962
0,0,622513,27,27,4,28,621803
1,0,807166,154,154,4,22,806492
0,0,112468,401,401,1,94,111971
0,0,4870,341,341,4,78,4217
0,0,2682,268,268,4,76,1954
1,0,163066,8,8,4,8,162521
0,0,1955674,333,333,4,28,1955171
0,0,735451,97,97,4,28,734867
1,0,1357417,312,312,4,28,1356881
1,0,1481322,94,94,4,28,1480762
1,0,36247,73,73,4,15,35642
0,0,1187163,347,347,4,22,1186465
0,0,120884,35,35,2,14,120498
1,0,1921473,109,109,4,28,1920904
0,0,438865,352,352,4,17,438233
0,0,308712,370,370,4,16,308044
0,0,1033564,301,301,4,18,1032920
0,0,1578872,120,120,4,28,1578312
0,0,85370,62,62,4,58,84681
0,0,17407,265,265,4,74,16820
0,0,497483,126,126,4,17,496893
1,0,1707996,29,29,4,27,1707370
1,0,6677,379,379,4,86,6162
1,0,278070,226,226,4,3,277438
0,0,1731530,337,337,4,28,1730895
0,0,477620,209,209,4,6,476973
0,0,565167,382,382,2,20,564760
0,0,10321,127,127,4,61,9749
0,0,1686468,113,113,4,28,1685914
0,0,7629,234,234,4,70,6979
0,0,1645,356,356,4,83,1004
1,0,376974,56,56,4,3,376393
0,0,767988,275,275,4,27,767290
1,0,426818,139,139,4,4,426186
1,0,39701,53,53,4,57,39237
0,0,265007,263,263,4,23,264339
1,0,782,47,47,4,54,129
1,0,1118634,321,321,4,28,1117975
1,0,30799,74,74,4,15,30158
1,0,159847,68,68,4,14,159101
0,0,694973,309,309,4,27,694383
1,0,1637787,115,115,4,28,1637185
0,0,487905,171,171,4,3,487330
1,0,356421,430,430,3,13,355831
0,0,1932015,108,108,4,28,1931470
0,0,2027,40,40,4,52,1341
0,0,1743790,336,336,4,28,1743146
0,0,515441,210,210,4,6,514617
1,0,1109679,318,318,4,28,1109041
0,0,347837,18,18,3,3,347313
0,0,250738,325,325,4,3,250097
1,0,1579,3,3,4,34,1004
0,0,570400,77,77,4,7,569783
0,0,544317,148,148,1,22,543658
0,0,52129,269,269,4,76,51491
1,0,19103,380,380,3,86,18480
0,0,4829,262,262,4,73,4128
1,0,599763,237,237,4,10,598996
0,0,430625,12,12,4,16,430509
1,0,1142859,409,409,4,27,1142287
0,0,339516,229,229,4,3,338926
1,0,1413348,213,213,4,26,1412725
1,0,1066542,405,405,4,27,1065931
0,0,15668,345,345,4,79,15015
1,0,6518,306,306,4,1,5874
1,0,26110,308,308,4,14,25487
1,0,504309,428,428,3,4,503911
1,0,610947,367,367,4,22,610288
0,0,1935320,220,220,4,27,1934724
0,0,216763,324,324,4,3,216122
1,0,588625,159,159,3,4,587969
0,0,416038,383,383,4,31,415541
1,0,463493,102,102,3,0,462885
1,0,14001,394,394,4,92,13402
0,0,276224,138,138,4,22,275592
1,0,602338,322,322,4,6,601643
1,0,1845,389,389,2,91,1489
0,0,314714,123,123,4,12,314181
0,0,1464254,90,90,4,28,1463646
1,0,1100102,407,407,4,27,1099440
0,0,444695,32,32,4,3,444042
0,0,42175,386,386,4,88,41594
0,0,9261,129,129,4,62,8539
0,0,382637,58,58,4,3,382086
1,0,35038,305,305,4,1,34388
0,0,410050,252,252,4,16,409331
1,0,13194,350,350,3,81,12661
1,0,641578,84,84,4,11,640880
1,0,320021,423,423,4,4,319437
0,0,70385,302,302,4,15,69732
0,0,2893,384,384,4,87,2228
1,0,36160,20,20,4,14,35462
1,0,628319,186,186,3,13,627354
0,0,978860,280,280,1,27,978390
0,0,288480,176,176,4,17,287506
0,0,331967,155,155,4,16,331098
0,0,467996,365,365,4,22,467418
0,0,1344856,201,201,4,21,1344239
0,1,340144,413,413,4,14,339536
0,0,218124,168,168,4,17,217234
0,0,17055,49,49,4,56,16375
1,0,1049,288,288,4,48,204
1,0,789660,153,153,4,22,789061
1,0,855201,24,24,4,27,854569
1,0,281,10,10,5,36,3
0,0,16035,343,343,4,78,15472
1,0,301818,283,283,4,14,301183
1,0,6125,11,11,4,36,5631
0,0,578960,78,78,4,7,578253
0,0,1665163,30,30,4,27,1664528
1,0,538452,147,147,4,22,537880
0,0,278450,248,248,4,16,277617
0,0,473006,258,258,4,16,472107
0,0,16573,167,167,4,66,15977
0,0,1236,125,125,4,44,691
1,0,2152710,107,107,4,28,2152117
0,0,750998,203,203,4,16,750414
1,0,497850,298,298,4,10,497083
1,0,653543,85,85,4,11,652923
1,0,698962,98,98,4,28,698387
1,0,350824,414,414,2,14,350453
1,0,584282,134,134,4,10,583626
0,0,425782,143,143,2,14,425384
0,0,1183104,327,327,4,26,1182499
0,0,160801,403,403,4,94,160181
0,0,10872,105,105,3,60,10210
1,0,412598,285,285,4,30,411981
1,0,514088,297,297,4,10,513441
1,0,667099,4,4,4,10,666332
0,0,244449,292,292,4,16,243556
0,0,223254,293,293,4,16,222562
0,0,260483,178,178,4,17,259935
0,0,1069989,196,196,4,28,1069351
1,0,198335,43,43,4,10,197730
1,0,1235855,189,189,2,28,1235211
0,0,1109266,398,398,4,23,1108595
0,0,6197,387,387,4,89,5628
1,0,38888,80,80,4,14,38181
0,0,2159962,328,328,4,27,2159390
0,0,1411596,22,22,4,28,1410949
1,0,388432,197,197,2,29,388043
0,0,70633,60,60,4,58,70109
0,0,11230,374,374,4,49,10535
1,0,673589,187,187,4,27,672981
0,0,1677970,118,118,4,28,1677395
0,0,5761,375,375,4,50,5141
0,0,1875155,223,223,4,27,1874526
1,0,311313,422,422,4,4,310645
1,0,274287,174,174,4,14,273715
0,0,433446,208,208,4,23,432955
1,0,36542,385,385,4,88,35961
0,0,541203,104,104,4,6,540331
1,0,375081,122,122,4,12,374536
1,0,1134002,408,408,4,27,1133424
0,0,1473130,89,89,4,28,1472456
0,0,1261581,326,326,3,26,1260970
1,0,1739,6,6,4,33,1236
0,0,405277,142,142,4,14,404699
1,0,1581481,218,218,4,26,1580900
1,0,2442,289,289,4,48,1612
1,1,327963,424,424,4,4,327337
0,0,1392058,310,310,4,28,1391459
0,0,253089,179,179,4,17,252442
0,0,897457,277,277,4,27,896894
1,0,358436,282,282,2,14,358038
1,0,11470,48,48,2,55,11081
1,0,371048,281,281,4,14,370350
0,0,1943209,9,9,4,28,1942577
1,0,7470,273,273,4,77,6853
1,0,76266,284,284,4,14,75574
1,0,21243,14,14,4,38,20602
1,0,605996,243,243,4,10,605367
0,0,332148,411,411,4,14,331510
0,0,844685,368,368,3,22,844098
1,0,1790185,224,224,4,27,1789544
1,0,617680,238,238,4,10,617066
0,0,59685,50,50,4,56,58891
0,0,1591262,332,332,4,27,1590720
0,0,31626,357,357,4,83,31012
0,0,67780,415,415,4,14,67067
0,0,425359,253,253,4,16,424565
0,0,281837,180,180,4,17,281250
0,0,1169771,348,348,4,22,1169145
1,0,1192370,317,317,4,28,1191744
0,0,18926,390,390,4,92,18276
1,0,2115566,26,26,4,28,2114982
1,0,1094415,320,320,4,28,1093786
1,0,1559,52,52,4,57,987
1,0,395098,42,42,4,28,394403
0,0,128464,416,416,2,14,128075
1,0,1132814,319,319,4,28,1132212
0,0,385637,21,21,3,22,384969
1,0,1348,169,169,4,67,512
0,0,567879,381,381,2,20,567310
1,0,190891,67,67,4,14,190256
1,0,3660,198,198,4,68,3085
1,0,756041,100,100,4,28,755460
0,0,1671935,119,119,3,28,1671336
1,0,3008,165,165,4,46,2760
0,0,17644,349,349,4,80,17072
0,0,393310,286,286,4,30,392783
0,0,1001979,96,96,4,28,1001410
0,0,1611491,331,331,4,27,1610868
1,0,11006,13,13,4,37,10434
0,0,1840810,111,111,4,28,1840178
1,0,1150552,316,316,4,28,1149983
1,0,377041,363,363,4,12,376496
0,0,389569,254,254,4,16,388676
0,0,1212108,313,313,4,28,1211533
0,0,1806636,338,338,4,28,1806064
0,0,7249,54,54,4,57,6641
0,0,421453,417,417,4,28,420860
0,0,410649,144,144,2,14,410251
0,0,1121,2,2,4,32,531
0,0,690105,150,150,3,22,689434
0,0,7534,344,344,2,79,7151
0,0,14571,377,377,4,50,14272
0,0,237931,290,290,4,16,237338
0,0,615493,17,17,4,28,614912
0,0,253619,172,172,4,14,252897
0,0,244194,182,182,4,17,243160
0,0,1176204,399,399,4,23,1175530
1,0,668902,151,151,4,22,668282
1,0,22995,307,307,2,14,22609
1,0,47042,81,81,4,14,46335
1,0,6670,232,232,4,69,6140
1,0,462219,364,364,4,22,461563
0,0,1079,128,128,2,62,750
1,1,1784731,334,334,4,28,1784156
1,0,1368555,311,311,4,28,1367977
1,0,170789,69,69,4,14,170208
1,0,44727,395,395,3,93,44119
0,0,917604,278,278,4,27,916954
0,0,7294,266,266,4,75,6638
0,0,9111,132,132,2,63,8734
1,0,633393,83,83,4,11,632488
0,0,2852,16,16,4,40,2211
0,0,1604078,116,116,4,28,1603452
1,0,219644,72,72,4,14,218985
1,0,873,5,5,4,35,262
0,0,462632,141,141,4,4,462006
0,0,1707,378,378,4,85,1054
0,0,555039,79,79,4,7,554104
1,0,891600,276,276,1,27,891058
1,0,522983,296,296,4,10,522417
0,0,897652,245,245,4,22,897068
0,0,445439,135,135,4,16,444747
0,0,8892,376,376,4,50,8245
0,0,407298,185,185,4,15,406639
1,0,95645,65,65,4,2,95094
1,0,296809,421,421,4,4,296102
1,0,438791,33,33,4,3,438168
0,0,296422,249,249,4,16,295724
1,0,311595,412,412,2,14,311224
0,0,22912,59,59,2,58,22523
1,0,20624,75,75,4,43,19953
0,0,262228,38,38,4,22,261515
1,0,603114,242,242,4,10,602248
0,0,610905,158,158,4,4,610333
0,0,862102,246,246,3,22,861431
1,0,9993,34,34,4,41,9376
1,0,1439745,92,92,4,28,1439215
1,0,12594,200,200,4,47,11959
0,0,367683,156,156,4,16,367096
0,0,28027,45,45,4,53,27344
0,0,406686,140,140,4,4,406078
0,0,32545,267,267,4,76,31979
0,0,11424,41,41,3,52,10828
0,0,465000,354,354,4,17,464038
