Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,12909,144,144,0,113,10807
0,6110,101,100,0,101,3849
0,457048,92,91,1,9,454787
0,478833,231,231,0,6,476677
0,16869,153,153,0,116,14662
0,552888,219,219,1,15,550654
1,20192,202,202,1,29,18165
1,3770,52,51,0,89,732
1,828777,110,109,1,48,827212
1,9061,57,56,1,74,6806
0,2776,156,156,0,117,509
1,211189,118,118,1,34,209180
1,7765,31,30,1,43,5519
1,3747,25,24,0,72,1363
0,692573,71,70,0,19,690150
1,27924,7,6,0,17,26149
0,763294,175,175,0,26,761027
0,1178466,117,117,0,44,1176085
1,53359,116,116,1,40,52601
1,96434,222,222,1,5,94266
1,45480,196,196,1,122,43330
0,604953,82,81,0,20,602554
0,5633,13,12,1,62,4134
0,813661,181,181,1,38,811541
1,4215,73,72,0,19,1969
0,480713,39,38,0,4,478230
1,114439,9,8,1,3,112868
0,14957,65,64,0,76,12933
0,356577,108,107,1,53,354673
0,45278,102,101,0,18,42840
1,50723,122,122,1,106,48507
0,562476,172,172,1,10,560179
1,56175,87,86,0,5,53914
1,1621,66,65,1,95,2
1,4679,115,115,0,40,2307
1,11646,125,125,0,107,9286
0,487264,97,96,0,17,485114
1,47037,177,177,0,120,44773
0,371476,171,171,0,18,369323
0,477337,11,10,0,9,476408
1,828692,194,194,0,49,827244
0,909033,34,33,1,40,906619
0,1062,4,3,0,71,1
1,15153,208,208,0,30,12949
1,81519,12,11,1,5,79698
1,65232,218,218,0,52,62692
0,707127,50,49,0,23,704929
1,76316,30,29,0,52,74154
0,799420,225,225,1,32,796943
1,3230,129,129,0,22,921
1,2056,51,50,0,88,2
0,4947,47,46,0,86,2638
1,441740,95,94,1,29,439797
0,2326647,18,17,0,54,2325364
0,777368,224,224,1,32,775140
1,51771,234,234,1,36,49540
1,59089,42,41,0,57,56687
1,113111,167,167,1,15,111105
1,79561,119,119,0,57,77369
0,1451239,130,130,1,52,1449053
0,1009290,46,45,0,39,1006993
1,170211,124,124,1,50,168412
1,4516,55,54,0,91,3179
0,611448,112,112,0,10,610807
1,5046,159,159,0,118,2860
0,1375691,121,121,1,46,1373202
1,4025,165,165,0,16,1761
1,224206,201,201,1,35,222371
0,689616,84,83,1,54,687517
1,372955,230,230,1,29,370655
0,1204656,197,197,1,46,1202680
1,11060,143,143,1,32,8994
1,2096,147,147,1,114,747
0,1138,6,5,0,108,2
1,8253,104,103,1,42,6340
0,1189025,188,188,1,52,1186812
0,496899,103,102,1,1,495853
1,1474,17,16,0,31,101
0,1039862,78,77,0,38,1037046
1,20107,70,69,0,51,17801
1,14203,59,58,0,33,11819
1,391932,8,7,0,59,389746
0,3932,162,162,0,119,1401
0,915393,64,63,0,34,914149
0,244454,158,158,0,19,243822
