Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,6912,14,14,0,36,4054
0,152656,70,70,0,6,149750
1,3512,40,40,0,45,570
0,2374,42,42,1,46,2
1,595601,36,36,0,12,591036
1,478366,55,55,0,14,476669
0,623307,62,62,0,4,621664
1,26175,28,28,0,20,23011
1,348754,59,59,0,21,344585
1,613086,37,37,0,12,611617
1,5459,16,16,1,37,369
1,85207,71,71,1,4,81746
1,6009,72,72,1,56,1594
0,241168,60,60,0,2,239609
0,10189,67,67,0,55,8723
1,12357,18,18,0,39,7624
1,48747,74,74,1,16,45235
0,166284,41,41,1,6,162214
0,2470,35,35,0,43,2
1,39716,25,25,0,15,38265
0,585395,46,46,0,3,582072
1,1879,4,4,0,24,2
0,685088,9,9,0,11,683411
1,187784,12,12,0,8,184617
1,3165,38,38,0,44,1
1,467386,68,68,1,11,461438
0,2326,17,17,1,38,2
0,463665,39,39,0,5,460870
0,769652,7,7,0,10,767703
0,576641,69,69,1,1,572922
0,219070,21,21,0,7,217661
1,1119042,65,65,1,19,1112740
1,14382,54,54,0,4,9970
1,31870,56,56,1,50,22712
0,574606,47,47,0,3,573398
0,2053,50,50,0,32,2
1,13981,8,8,1,17,12296
1,6974,53,53,1,49,1995
1,1537,1,1,0,26,2
1,1556,2,2,0,59,3
0,1997,6,6,0,25,1
1,17159,15,15,0,20,14314
0,2321637,26,26,1,21,2320534
1,11280,11,11,1,34,2713
1,34118,45,45,0,21,31484
0,3322,13,13,0,35,2
0,2309,34,34,0,31,3
1,5982,0,0,0,58,4234
0,4784,30,30,0,42,3
0,1419959,5,5,0,19,1418007
1,2868,29,29,0,28,1600
0,294962,44,44,0,21,292800
1,4686,64,64,0,53,1
1,24031,27,27,0,27,21731
1,513352,32,32,1,13,509741
0,4676,66,66,0,54,3
0,1271,31,31,0,29,3
0,8695,51,51,1,33,5075
0,2498,43,43,0,47,3
1,13747,23,23,1,18,12191
1,304737,75,75,1,12,299488
1,78154,48,48,0,0,73799
1,21673,58,58,0,23,20189
1,35785,3,3,0,9,34078
1,89064,49,49,0,0,84641
1,50380,10,10,0,10,48473
1,5803,63,63,0,52,896
0,4720,24,24,0,41,2
1,4039,61,61,0,51,1
0,2312,52,52,0,48,2
1,22057,57,57,0,9,19652
1,5221,33,33,0,30,2141
0,4653,19,19,1,40,1
1,72456,22,22,1,6,65872
0,2190,73,73,0,57,1
0,375450,20,20,1,22,373273
