Entity_Type,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,38,391137,85,85,1,8,389704,1
0,42,257891,48,48,0,8,256881,1
0,45,273888,84,84,0,9,272725,1
1,2,220225,37,37,1,13,218687,0
0,12,587198,69,69,0,3,585768,1
0,53,2377,103,103,0,23,1157,1
0,54,1381990,67,67,0,17,1381346,1
0,10,360740,118,118,0,9,359730,1
0,9,340298,28,28,0,8,339360,0
1,14,3259,101,101,1,34,2075,1
1,29,2882,65,65,1,22,2106,0
1,28,441837,112,112,1,2,440959,1
0,52,431585,89,89,0,8,430644,0
1,38,604409,96,96,1,8,603339,1
0,50,14514,79,79,0,31,13402,1
0,39,762518,23,23,0,17,761364,0
1,43,217615,120,120,1,6,216422,0
0,14,553985,24,24,0,3,552546,0
0,59,2612,3,3,0,19,1824,0
1,57,690506,66,66,1,16,689499,0
0,33,245389,39,39,0,13,244757,0
0,3,86161,13,13,0,26,85631,1
0,56,547086,18,18,0,11,545914,1
0,54,1253659,43,43,0,17,1252076,1
0,19,705562,22,22,0,17,704282,0
0,24,272650,49,49,0,8,271751,1
1,26,117411,119,119,1,0,116032,0
0,60,449733,1,1,0,13,448939,0
0,13,626457,20,20,0,16,625132,0
0,16,368482,27,27,0,8,367493,1
0,52,507159,92,92,0,8,506107,1
0,9,575815,95,95,0,8,574721,1
1,4,531481,17,17,1,11,530381,1
1,48,669822,42,42,1,16,668569,1
0,52,307709,75,75,0,8,306750,0
1,31,267266,50,50,1,8,266289,1
0,20,976612,61,61,0,16,975470,0
0,42,502004,91,91,0,8,500910,1
0,14,29669,78,78,0,31,28731,0
1,56,20974,80,80,1,32,19538,1
0,16,625575,98,98,0,8,624448,1
0,41,1127958,106,106,0,16,1127086,1
0,54,1798125,74,74,0,17,1796725,0
1,6,463276,59,59,1,12,461756,0
0,62,437122,86,86,0,8,436220,0
1,63,2899,108,108,1,36,1952,0
0,41,1973004,46,46,0,16,1972075,1
0,53,514925,15,15,0,11,513729,1
0,25,400165,2,2,0,14,399113,0
0,30,1027129,100,100,0,14,1026155,1
0,58,315559,117,117,0,9,315128,1
0,1,514203,113,113,0,2,514066,0
0,50,747400,60,60,0,16,746270,1
1,57,1905561,47,47,1,16,1904098,1
0,10,229688,53,53,0,9,228501,1
0,5,450224,88,88,0,8,449385,1
0,40,263994,8,8,0,14,262717,0
1,43,283947,38,38,1,13,282400,0
0,9,444750,87,87,0,8,443839,1
0,37,1855873,26,26,0,17,1854422,1
0,7,518865,114,114,0,2,517981,0
0,9,549818,99,99,0,8,548385,1
1,43,347997,34,34,1,12,346477,0
0,47,28060,81,81,0,32,27086,1
1,57,714,40,40,1,21,1,1
1,51,924009,56,56,1,14,922486,0
1,44,14110,51,51,1,29,13145,1
0,49,21643,52,52,0,30,20600,0
0,57,1564652,0,0,0,15,1564452,1
0,1,622717,35,35,0,2,621833,0
0,10,496985,115,115,0,4,495984,1
0,11,16755,12,12,0,20,15559,1
0,12,17420,32,32,0,28,16842,0
0,1,284733,111,111,0,2,283762,0
0,2,218013,31,31,0,7,216889,0
0,42,496221,90,90,0,8,495283,1
1,6,427442,57,57,1,12,425919,0
0,58,1562,19,19,0,27,393,1
0,34,514924,62,62,0,2,514307,0
0,17,19265,76,76,0,31,18156,1
0,50,1080003,105,105,0,16,1078741,1
0,36,67859,14,14,0,1,66546,0
0,18,523271,16,16,0,11,522144,1
0,45,318674,63,63,0,9,317781,1
0,55,2003523,73,73,0,16,2002453,0
0,45,235050,54,54,0,9,234100,1
0,54,1862763,25,25,0,17,1861267,1
0,24,617521,97,97,0,8,616619,1
0,48,2058209,7,7,0,17,2056686,1
1,3,64367,64,64,1,11,62844,1
0,43,25674,102,102,0,35,24613,0
0,33,493306,83,83,0,13,491759,0
0,8,317984,107,107,0,10,317091,0
0,35,1698039,4,4,0,15,1696570,1
0,42,515623,93,93,0,8,514700,1
0,45,579257,41,41,0,9,578298,1
0,28,1593162,44,44,0,15,1591861,0
0,10,212824,55,55,0,9,211883,1
0,61,1556126,72,72,0,15,1554660,1
0,16,220328,29,29,0,8,219990,1
0,45,437723,33,33,0,9,436782,1
0,27,3154,82,82,0,33,2129,0
0,22,48657,10,10,0,24,47974,1
0,62,489099,94,94,0,8,488107,1
0,15,24337,77,77,0,31,23213,0
1,21,546194,70,70,1,0,544968,1
0,10,288343,116,116,0,9,287549,1
0,0,9331,11,11,0,25,7841,0
1,57,1706820,5,5,1,16,1705558,1
0,41,1056372,104,104,0,16,1055425,1
0,54,1505678,21,21,0,17,1504257,0
0,57,1263503,71,71,0,15,1262121,0
0,59,213667,36,36,0,13,212129,0
1,23,381686,68,68,1,18,380409,1
0,46,8433,109,109,0,36,7429,0
0,42,212508,30,30,0,8,211570,1
1,6,400752,58,58,1,12,399232,0
0,41,1977944,45,45,0,16,1976967,0
0,17,197165,9,9,0,5,196203,1
0,32,319749,110,110,0,16,318496,0
0,32,1679690,6,6,0,16,1678407,0
