Gene_Type,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,38827,224,25,35924,1
1,4679,182,134,1893,0
1,308397,302,58,305485,0
1,825842,310,40,823350,0
0,502030,131,0,499289,0
1,79193,78,3,76656,1
1,2449,0,152,11,0
0,7010,290,148,4233,1
0,66235,246,41,64469,1
1,21822,317,13,18838,1
1,3014,96,66,228,1
0,77950,18,24,74987,1
1,510295,141,27,507728,1
1,847503,311,40,845194,0
1,6673,231,139,3815,0
1,181574,314,30,180063,1
1,625252,227,28,622190,0
1,1133115,269,52,1130755,1
1,60671,175,46,58218,1
1,2940,211,136,73,1
0,8383,218,137,7271,0
0,17724,292,59,14986,1
1,13435,271,144,10745,0
0,86361,187,15,83876,1
1,225780,79,27,223900,0
1,578138,100,27,576360,0
1,504140,266,2,500865,0
1,636457,212,13,635763,0
1,847195,163,35,845501,0
1,492362,28,1,490971,0
1,236472,222,3,233641,0
0,779582,202,31,776703,0
1,7188,125,121,4384,0
1,8831,111,119,6234,1
0,650247,102,27,648161,0
1,984,304,151,31,0
1,1094,24,75,159,1
0,24358,272,144,21590,0
0,1225,52,79,1,1
1,628999,143,12,626735,0
1,13990,116,16,11384,1
1,28068,64,67,25282,1
1,3158,253,93,408,1
1,2351295,263,58,2348338,0
0,9939,56,102,8926,0
0,65081,85,25,62292,1
1,9052,245,142,7148,1
0,805554,313,40,804478,0
0,782600,203,31,781197,0
1,3790,209,89,806,0
1,1721524,41,58,1718519,1
0,2010044,11,56,2009265,0
0,794113,241,33,793295,0
1,1008775,188,58,1006142,0
0,56433,247,41,54619,1
1,654938,251,27,652152,0
1,8756,145,45,5919,1
0,4216,133,47,1460,1
1,411506,58,33,408474,0
0,1137976,137,57,1133828,0
0,1204,127,87,2,0
0,8397,16,9,5578,1
0,764760,201,31,762982,0
1,976,21,74,2,1
1,587182,273,37,584897,1
1,3258,40,77,436,0
1,6116,57,103,4224,1
0,606712,236,12,603989,0
1,21218,240,26,18921,1
0,2501,84,38,102,1
1,7457,213,41,4911,1
0,490870,46,1,489493,0
1,4777,19,70,2027,1
0,26225,205,65,24447,1
1,22430,44,34,19944,1
1,15107,261,2,12237,1
1,41742,307,44,39727,1
0,663320,257,24,660522,0
0,58458,115,16,55432,1
0,1185502,69,47,1183688,0
1,644271,99,58,641242,1
1,16574,221,138,14088,1
0,3713,283,97,2106,0
1,59561,140,50,57681,1
0,3597,233,140,1834,0
1,5794,136,123,3014,0
0,655728,168,18,653962,0
0,33262,308,44,31331,1
0,791878,122,37,790079,0
