Gene_Type,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1623870,30,18,1622425,0
0,384182,75,7,382887,0
0,1885991,15,20,1884423,1
1,603942,60,16,602953,1
0,1345315,50,20,1343381,1
0,401051,46,6,400292,0
1,411951,37,15,410611,0
0,802557,79,13,801154,0
1,120630,14,3,119065,0
1,6897,4,25,5479,0
0,183296,63,4,181743,1
0,96204,71,36,95182,1
0,2001175,56,20,1999607,1
0,434782,74,7,433358,0
1,2122182,2,20,2120788,1
0,276965,35,2,276033,1
0,2077637,32,19,2076276,0
1,1662950,13,18,1661937,1
1,190053,62,12,189334,0
0,432759,20,9,431323,0
1,428550,45,6,427162,0
1,2196165,53,19,2194576,1
0,423414,19,9,422794,0
0,488962,26,2,488378,0
1,545819,23,16,544815,0
0,445437,43,20,444157,0
0,649350,3,20,647746,1
0,428424,41,7,427006,0
0,532018,81,6,530630,0
1,17774,66,24,16488,1
1,413826,42,7,412408,0
0,1356346,49,20,1354634,1
1,486119,28,17,484647,1
0,168069,0,5,166519,0
0,406516,40,7,405110,0
1,5338,44,1,4406,1
1,461547,47,6,460189,0
1,21584,9,11,19890,1
0,489416,6,2,489063,0
1,17138,17,21,16128,0
0,375903,7,2,374896,1
0,406809,78,20,405529,0
1,464293,21,9,462872,1
0,21672,11,28,20227,1
1,5370,61,23,3925,0
0,1412200,29,18,1410734,1
1,1111176,69,17,1109698,0
0,1053526,27,20,1052240,1
0,764059,24,16,762650,0
0,10843,64,33,9875,1
0,1876953,33,19,1875676,0
0,161,65,34,3,1
0,4346,58,31,2898,0
0,807440,72,14,806025,0
0,848504,1,19,847224,1
0,916885,36,16,915965,0
1,12708,12,28,11269,1
1,1720929,31,18,1719919,0
0,1673448,16,20,1672462,0
0,229325,57,8,227910,0
0,42175,59,32,40730,0
1,1613551,55,19,1612028,0
0,2133734,54,19,2133172,1
1,6645,68,35,5179,1
1,401095,22,10,399644,0
1,440871,73,7,439477,0
0,129767,80,0,128835,0
0,1142020,52,18,1140743,0
1,377047,76,7,375671,0
0,407538,25,0,407386,1
1,395492,77,7,394080,0
0,56906,8,27,55425,1
1,1461,39,30,1,0
1,1480218,10,20,1478512,1
0,2350,5,26,965,0
0,3277,18,22,1805,0
1,587224,82,6,585836,0
0,1861827,34,19,1860490,0
0,1206373,51,20,1204937,0
1,385849,48,6,384458,0
0,18574,38,29,17966,0
0,1178108,70,17,1176633,0
0,39044,67,35,37485,1
