Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1169344,41,41,1,0,26,44,1158920,0
0,7614,2,0,0,0,2,60,1030,1
0,609988,159,159,1,0,124,10,605538,1
0,1211309,163,163,1,0,132,49,1200861,0
0,71128,81,81,1,0,18,45,60752,1
1,18759,153,153,3,1,77,107,8548,1
0,52109,55,55,1,0,63,5,41772,1
0,64484,128,128,2,0,97,30,55971,1
0,424181,139,139,1,0,68,10,413739,0
0,225503,223,223,1,0,116,8,215040,0
1,1026196,142,142,3,1,36,49,1015775,0
0,26884,60,60,1,0,54,16,16478,1
0,458221,50,50,1,0,110,10,447770,1
0,685626,120,120,1,0,84,30,675331,0
0,18045,173,173,1,0,69,110,7588,0
0,108909,131,131,1,0,53,27,98518,1
0,47512,125,125,1,0,15,29,39092,1
0,775910,132,132,1,0,93,33,765552,0
0,22103,171,171,1,0,55,33,14689,1
0,332104,168,168,1,0,55,33,321641,0
0,7780,8,8,2,0,123,63,2,1
1,11317,86,86,3,1,42,30,5433,1
0,573981,160,160,1,0,124,10,563530,0
0,459416,61,61,1,0,139,34,449073,1
1,5380,25,25,3,1,27,75,2,1
1,214744,9,9,3,1,39,38,206012,1
0,31572,75,75,1,0,25,36,21127,1
0,63253,174,174,1,0,79,111,52823,1
0,286931,192,192,1,0,97,51,283691,0
1,162112,184,184,3,1,107,23,156224,0
0,14171,179,179,2,0,62,34,4392,1
0,11492,32,32,1,0,59,78,5925,1
0,252780,212,212,1,0,112,16,242332,0
0,45907,207,207,2,0,17,50,38978,1
0,13390,162,162,1,0,125,70,2987,0
0,698669,82,82,1,0,69,23,688299,0
0,9732,193,193,1,0,19,116,1,0
1,1233807,177,177,3,1,136,46,1224493,1
0,62951,94,94,1,0,88,53,52593,1
0,970184,185,185,1,0,86,46,959784,1
0,138304,216,216,1,0,52,13,127910,1
0,13701,154,154,1,0,82,108,3220,1
0,689245,14,14,1,0,15,29,678794,0
0,5595,6,6,2,0,137,62,1,1
0,213628,100,100,1,0,129,52,203258,0
1,24168,113,113,3,1,23,98,13795,0
0,31191,122,122,1,0,56,35,20812,1
0,3034,91,91,2,0,89,95,2,0
0,347060,220,220,2,0,139,34,339083,1
1,127990,151,151,3,1,122,53,117557,1
0,390898,219,219,1,0,75,34,380639,1
0,60872,208,208,1,0,22,50,50520,1
0,225073,35,35,1,0,40,27,217409,1
0,842551,213,213,1,0,6,35,832124,0
0,475972,77,77,2,0,85,2,470489,0
0,534898,114,114,2,0,103,33,529028,1
0,59093,69,69,1,0,67,29,53591,1
0,2345983,166,166,1,0,22,50,2335691,0
0,33876,201,201,1,0,73,121,23431,0
0,2017022,4,4,2,0,101,48,2011656,0
1,796435,42,42,3,1,135,32,786038,0
0,908777,38,38,1,0,102,37,898398,0
1,1020605,202,202,3,1,20,48,1014285,0
1,25728,93,93,3,1,40,55,21774,1
0,13163,65,65,1,0,51,87,2601,0
1,789447,214,214,3,1,113,35,779023,0
0,7954,194,194,2,0,70,117,2,0
1,743366,12,12,3,1,94,28,733188,0
0,1028641,19,19,1,0,100,40,1018586,0
0,69531,218,218,1,0,52,13,59128,1
0,5243,68,68,1,0,48,88,2,0
0,9826,22,22,2,0,114,74,2831,0
1,12411,134,134,3,1,3,102,1858,1
0,6482,3,3,2,0,70,61,3,0
0,78813,198,198,1,0,140,51,72588,1
0,12312,197,197,2,0,7,51,7990,1
0,40663,199,199,1,0,125,120,30197,1
0,51361,101,101,1,0,40,27,40991,1
0,288082,210,210,1,0,95,50,277652,0
0,328819,64,64,1,0,72,30,318764,0
0,127475,172,172,1,0,91,54,117093,1
0,32850,187,187,1,0,100,9,28143,1
0,207695,52,52,1,0,111,15,204667,0
0,36235,217,217,1,0,53,13,25871,1
0,11147,33,33,2,0,117,79,4143,0
1,1351353,156,156,3,1,136,46,1340908,0
0,656937,158,158,1,0,1,22,646543,0
0,745319,40,40,1,0,134,32,734937,0
0,353296,97,97,2,0,7,51,348857,1
0,7476,0,1,2,0,103,59,127,0
0,63323,188,188,1,0,9,18,53163,1
0,5481,157,157,2,0,38,109,1,0
0,5231,27,27,1,0,133,66,1,1
0,78745,63,63,1,0,1,43,68291,1
1,574518,143,143,3,1,98,12,565420,0
1,27113,195,195,3,1,138,118,16665,1
1,647211,117,117,3,1,136,46,636820,0
0,802151,13,13,1,0,115,50,791817,1
0,65194,21,21,1,0,43,0,54806,0
0,6388,124,124,1,0,128,100,323,1
1,296067,110,110,3,1,76,33,288610,0
0,62219,39,39,1,0,133,82,51870,0
0,19188,34,34,1,0,16,80,11071,1
0,34912,170,170,1,0,132,33,27714,1
0,330111,109,109,1,0,75,15,322282,0
1,595061,48,48,3,1,91,25,584655,0
1,52443,44,44,3,1,20,48,42064,1
0,5929,152,152,1,0,13,69,3,0
1,35770,43,43,3,1,64,83,25298,1
0,5956,20,20,1,0,134,73,733,0
0,586972,47,47,1,0,12,8,576509,0
0,88568,200,200,1,0,58,120,78117,1
1,13525,108,108,3,1,97,97,3143,0
0,623676,90,90,1,0,22,12,613279,0
0,11537,175,175,1,0,87,112,1098,1
0,505288,11,11,1,0,130,4,494840,0
0,39653,24,24,1,0,63,37,33702,1
0,158064,215,215,1,0,99,13,147781,1
0,54831,126,126,1,0,97,51,44338,1
0,1392969,105,105,1,0,0,49,1382515,1
0,2345195,167,167,1,0,140,51,2334792,0
0,5893,36,36,1,0,14,81,1,0
0,1174010,190,190,2,0,100,43,1168695,0
0,563694,144,144,1,0,90,26,556752,1
0,89016,119,119,1,0,14,42,78604,1
0,487135,85,85,1,0,109,38,478468,1
0,3341,191,191,2,0,92,115,3,0
0,5467,73,73,2,0,78,91,2,0
0,6015,149,149,2,0,30,28,103,1
0,6046,79,79,2,0,43,93,2,1
0,24830,102,102,1,0,40,27,14646,1
0,599807,111,111,1,0,41,18,589443,0
0,8611,118,118,1,0,50,68,3,0
