Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1169344,41,41,1,0,26,44,1158920,0
0,7614,2,0,0,0,2,60,1030,1
0,102066,45,45,1,0,126,11,91621,1
0,1211309,163,163,1,0,130,49,1200861,0
0,71128,82,82,1,0,18,45,60752,1
1,18759,152,152,3,1,77,107,8548,1
0,52109,56,56,1,0,62,5,41772,1
0,64484,128,128,2,0,96,30,55971,1
0,458221,50,50,1,0,108,10,447770,1
0,586972,47,47,1,0,12,8,576509,0
1,1026196,142,142,3,1,35,49,1015775,0
0,26884,61,61,1,0,53,16,16478,1
0,508446,160,160,1,0,67,10,497998,0
0,685626,120,120,1,0,83,30,675331,0
0,18045,173,173,1,0,68,110,7588,0
0,108909,131,131,1,0,52,27,98518,1
0,47512,125,125,1,0,15,29,39092,1
0,775910,132,132,1,0,92,33,765552,0
0,22103,171,171,1,0,54,33,14689,1
0,332104,168,168,1,0,54,33,321641,0
0,7780,8,8,2,0,121,63,2,1
1,11317,87,87,3,1,41,30,5433,1
0,609988,158,158,1,0,122,10,605538,1
0,459416,62,62,1,0,137,34,449073,1
1,5380,25,25,3,1,27,75,2,1
1,214744,9,9,3,1,38,38,206012,1
0,31572,76,76,1,0,25,36,21127,1
0,63253,174,174,1,0,79,111,52823,1
0,286931,193,193,1,0,96,51,283691,0
1,162112,185,185,3,1,105,23,156224,0
0,14171,179,179,2,0,61,34,4392,1
0,11492,32,32,1,0,58,78,5925,1
0,252780,213,213,1,0,111,16,242332,0
0,45907,208,208,2,0,17,50,38978,1
0,13390,161,161,1,0,123,70,2987,0
0,698669,83,83,1,0,68,23,688299,0
0,9732,194,194,1,0,19,116,1,0
1,1233807,177,177,3,1,134,46,1224493,1
0,62951,95,95,1,0,87,53,52593,1
0,970184,186,186,1,0,85,46,959784,1
0,158064,216,216,1,0,97,13,147781,1
0,13701,153,153,1,0,81,108,3220,1
0,689245,14,14,1,0,15,29,678794,0
0,5595,6,6,2,0,135,62,1,1
0,213628,100,100,1,0,127,52,203258,0
1,24168,113,113,3,1,23,98,13795,0
0,31191,122,122,1,0,55,35,20812,1
0,3034,92,92,2,0,88,95,2,0
0,347060,221,221,2,0,137,34,339083,1
1,127990,150,150,3,1,120,53,117557,1
0,390898,220,220,1,0,74,34,380639,1
0,60872,209,209,1,0,22,50,50520,1
0,225073,35,35,1,0,39,27,217409,1
0,842551,214,214,1,0,6,35,832124,0
0,475972,78,78,2,0,84,2,470489,0
0,534898,114,114,2,0,101,33,529028,1
0,59093,70,70,1,0,66,29,53591,1
0,2345983,166,166,1,0,22,50,2335691,0
0,33876,202,202,1,0,72,121,23431,0
0,2017022,4,4,2,0,99,48,2011656,0
1,796435,42,42,3,1,133,32,786038,0
0,908777,38,38,1,0,100,37,898398,0
1,1020605,203,203,3,1,20,48,1014285,0
1,25728,94,94,3,1,39,55,21774,1
0,13163,67,67,1,0,50,87,2601,0
1,789447,215,215,3,1,112,35,779023,0
0,7954,195,195,2,0,69,117,2,0
1,743366,12,12,3,1,93,28,733188,0
0,1028641,19,19,1,0,98,40,1018586,0
0,92838,217,217,1,0,51,13,82558,1
0,5243,69,69,1,0,47,88,2,0
0,9826,22,22,2,0,113,74,2831,0
1,12411,134,134,3,1,3,102,1858,1
0,6482,3,3,2,0,69,61,3,0
0,78813,199,199,1,0,138,51,72588,1
0,12312,198,198,2,0,7,51,7990,1
0,40663,200,200,1,0,123,120,30197,1
0,51361,101,101,1,0,39,27,40991,1
0,288082,211,211,1,0,94,50,277652,0
0,328819,66,66,1,0,71,30,318764,0
0,127475,172,172,1,0,90,54,117093,1
0,188433,129,129,1,0,122,10,178087,1
0,239506,162,162,2,0,71,15,231410,0
0,69531,219,219,1,0,51,13,59128,1
0,11147,33,33,2,0,115,79,4143,0
1,1351353,155,155,3,1,134,46,1340908,0
0,656937,157,157,1,0,1,22,646543,0
0,745319,40,40,1,0,132,32,734937,0
0,353296,97,97,2,0,7,51,348857,1
0,7476,0,1,2,0,101,59,127,0
0,63323,189,189,1,0,9,18,53163,1
0,5481,156,156,2,0,37,109,1,0
0,5231,27,27,1,0,131,66,1,1
0,78745,64,64,1,0,1,43,68291,1
0,623676,91,91,1,0,22,12,613279,0
1,27113,196,196,3,1,136,118,16665,1
1,647211,117,117,3,1,134,46,636820,0
0,802151,13,13,1,0,114,50,791817,1
0,65194,21,21,1,0,42,0,54806,0
0,6388,124,124,1,0,126,100,323,1
1,296067,110,110,3,1,76,33,288610,0
0,62219,39,39,1,0,131,82,51870,0
0,19188,34,34,1,0,16,80,11071,1
0,34912,170,170,1,0,130,33,27714,1
0,330111,109,109,1,0,74,15,322282,0
1,595061,48,48,3,1,90,25,584655,0
1,52443,44,44,3,1,20,48,42064,1
0,5929,151,151,1,0,13,69,3,0
1,35770,43,43,3,1,63,83,25298,1
0,5956,20,20,1,0,132,73,733,0
0,32850,188,188,1,0,98,9,28143,1
0,88568,201,201,1,0,57,120,78117,1
1,13525,108,108,3,1,96,97,3143,0
0,36235,218,218,1,0,52,13,25871,1
0,11537,175,175,1,0,86,112,1098,1
0,505288,11,11,1,0,128,4,494840,0
0,39653,24,24,1,0,62,37,33702,1
1,157451,65,65,3,1,104,14,147168,1
0,54831,126,126,1,0,96,51,44338,1
0,1392969,105,105,1,0,0,49,1382515,1
0,2345195,167,167,1,0,138,51,2334792,0
0,5893,36,36,1,0,14,81,1,0
0,1174010,191,191,2,0,98,43,1168695,0
0,563694,143,143,1,0,89,26,556752,1
0,89016,119,119,1,0,14,42,78604,1
0,487135,86,86,1,0,107,38,478468,1
0,3341,192,192,2,0,91,115,3,0
0,5467,74,74,2,0,78,91,2,0
0,6015,148,148,2,0,30,28,103,1
0,6046,80,80,2,0,42,93,2,1
0,24830,102,102,1,0,39,27,14646,1
0,599807,111,111,1,0,40,18,589443,0
0,8611,118,118,1,0,49,68,3,0
