Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1169344,41,1,44,1158920,0
0,7614,2,0,60,1030,1
0,609988,156,1,10,605538,1
0,1211309,161,1,49,1200861,0
0,71128,81,1,45,60752,1
1,18759,150,3,107,8548,1
0,52109,56,1,5,41772,1
0,18044,37,1,30,13358,1
0,424181,137,1,10,413739,0
0,225503,222,1,8,215040,0
1,1026196,140,3,49,1015775,0
0,330111,109,1,15,322282,0
0,458221,51,1,10,447770,1
0,328819,65,1,30,318764,0
0,18045,172,1,110,7588,0
0,83617,101,1,27,73238,1
1,743366,13,3,28,733188,0
0,775910,130,1,33,765552,0
1,796435,42,3,32,786038,0
1,296067,110,3,33,288610,0
0,7780,9,2,63,2,1
0,818767,119,1,29,810066,0
0,573981,157,1,10,563530,0
0,459416,62,1,34,449073,1
1,5380,26,3,75,2,1
1,214744,10,3,38,206012,1
0,31572,75,1,36,21127,1
0,63253,173,1,111,52823,1
0,286931,190,1,51,283691,0
0,149649,114,2,23,143326,0
0,14171,178,2,34,4392,1
0,11492,32,1,78,5925,1
0,26884,61,1,16,16478,1
0,45907,205,2,50,38978,1
0,13390,159,1,70,2987,0
0,193120,183,2,23,183374,0
0,9732,191,1,116,1,0
1,1233807,176,3,46,1224493,1
0,62951,94,1,53,52593,1
0,970184,184,1,46,959784,1
0,138304,215,1,13,127910,1
0,13701,151,1,108,3220,1
0,328850,47,1,29,318795,0
0,5595,7,2,62,1,1
0,213628,100,1,52,203258,0
1,24168,112,3,98,13795,0
0,31191,120,1,35,20812,1
0,3034,91,2,95,2,0
0,347060,219,2,34,339083,1
1,127990,148,3,53,117557,1
0,390898,218,1,34,380639,1
0,60872,206,1,50,50520,1
0,141214,129,1,27,130814,1
0,842551,211,1,35,832124,0
0,475972,77,2,2,470489,0
0,409474,179,1,33,399029,1
0,47512,123,1,29,39092,1
0,2345983,164,1,50,2335691,0
0,33876,199,1,121,23431,0
0,2017022,5,2,48,2011656,0
0,745319,40,1,32,734937,0
0,908777,38,1,37,898398,0
1,1020605,200,3,48,1014285,0
1,25728,93,3,55,21774,1
0,13163,66,1,87,2601,0
1,789447,212,3,35,779023,0
0,7954,192,2,117,2,0
0,229560,213,1,28,219184,1
0,1028641,20,1,40,1018586,0
0,69531,217,1,13,59128,1
0,5243,69,1,88,2,0
0,9826,23,2,74,2831,0
1,12411,132,3,102,1858,1
0,6482,4,2,61,3,0
0,78813,196,1,51,72588,1
0,12312,195,2,51,7990,1
0,40663,197,1,120,30197,1
0,24830,102,1,27,14646,1
0,288082,208,1,50,277652,0
0,64484,127,2,30,55971,1
0,127475,170,1,54,117093,1
0,32850,186,1,9,28143,1
0,207695,53,1,15,204667,0
0,36235,216,1,13,25871,1
0,11147,33,2,79,4143,0
1,1351353,153,3,46,1340908,0
