Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,38827,224,1,25,35924,1
1,0,4679,182,1,134,1893,0
1,0,308397,302,1,58,305485,0
1,0,825842,310,1,40,823350,0
0,0,502030,131,0,0,499289,0
1,0,79193,78,1,3,76656,1
1,0,2449,0,1,152,11,0
0,0,7010,290,0,148,4233,1
0,0,66235,246,0,41,64469,1
1,0,21822,317,1,13,18838,1
1,0,3014,96,1,66,228,1
0,0,77950,18,0,24,74987,1
1,0,510295,141,1,27,507728,1
1,0,847503,311,1,40,845194,0
1,0,6673,231,1,139,3815,0
1,0,181574,314,1,30,180063,1
1,0,625252,227,1,28,622190,0
1,0,1133115,269,1,52,1130755,1
1,0,60671,175,1,46,58218,1
1,0,2940,211,1,136,73,1
0,0,8383,218,0,137,7271,0
0,0,17724,292,0,59,14986,1
1,0,13435,271,1,144,10745,0
0,0,86361,187,0,15,83876,1
1,0,225780,79,1,27,223900,0
1,0,578138,100,1,27,576360,0
1,0,504140,266,1,2,500865,0
1,0,636457,212,1,13,635763,0
1,0,847195,163,1,35,845501,0
1,0,492362,28,1,1,490971,0
1,0,236472,222,1,3,233641,0
0,0,779582,202,0,31,776703,0
1,0,7188,125,1,121,4384,0
1,0,8831,111,1,119,6234,1
0,0,650247,102,0,27,648161,0
1,0,984,304,1,151,31,0
1,0,1094,24,1,75,159,1
0,0,24358,272,0,144,21590,0
0,0,1225,52,0,79,1,1
1,0,628999,143,1,12,626735,0
1,0,13990,116,1,16,11384,1
1,0,28068,64,1,67,25282,1
1,0,3158,253,1,93,408,1
1,0,2351295,263,1,58,2348338,0
0,0,9939,56,0,102,8926,0
0,0,65081,85,0,25,62292,1
1,0,9052,245,1,142,7148,1
0,2,805554,313,0,40,804478,0
0,0,782600,203,0,31,781197,0
1,0,3790,209,1,89,806,0
1,0,1721524,40,1,58,1718519,1
0,0,2010044,11,0,56,2009265,0
0,0,794113,241,0,33,793295,0
1,0,1008775,188,1,58,1006142,0
0,0,56433,247,0,41,54619,1
1,0,654938,251,1,27,652152,0
1,0,1032018,49,1,44,1029001,0
0,0,4216,133,0,47,1460,1
1,0,411506,58,1,33,408474,0
0,0,1137976,137,0,57,1133828,0
0,0,1204,127,0,87,2,0
0,0,8397,16,0,9,5578,1
0,0,764760,201,0,31,762982,0
1,0,976,21,1,74,2,1
1,0,587182,273,1,37,584897,1
1,0,3258,39,1,77,436,0
1,0,6116,57,1,103,4224,1
0,0,606712,236,0,12,603989,0
1,0,21218,240,1,26,18921,1
0,0,2501,84,0,38,102,1
1,0,7457,213,1,41,4911,1
0,0,490870,45,0,1,489493,0
1,0,4777,19,1,70,2027,1
0,0,26225,205,0,65,24447,1
1,0,22430,43,1,34,19944,1
1,0,15107,261,1,2,12237,1
1,0,41742,307,1,44,39727,1
0,0,663320,257,0,24,660522,0
0,0,58458,115,0,16,55432,1
0,0,1185502,69,0,47,1183688,0
1,0,644271,99,1,58,641242,1
1,0,16574,221,1,138,14088,1
0,0,3713,283,0,97,2106,0
1,0,59561,140,1,50,57681,1
0,0,3597,233,0,140,1834,0
1,0,5794,136,1,123,3014,0
0,1,655728,168,0,18,653962,0
0,0,33262,308,0,44,31331,1
0,0,791878,122,0,37,790079,0
1,0,760085,242,1,33,757590,0
0,0,169312,66,0,55,166550,0
1,0,130785,105,1,20,128263,0
1,0,122539,189,1,14,120197,1
0,0,594892,225,0,28,591674,0
0,0,571445,197,0,21,567813,0
1,0,690966,178,1,32,687994,0
1,0,9553,114,1,85,7784,0
1,0,582823,22,1,21,581135,0
0,0,1917064,172,0,56,1914173,1
1,0,25743,229,1,14,24748,1
1,0,71114,194,1,4,69705,1
0,0,103187,323,0,9,101616,0
0,0,702008,179,0,32,700188,0
1,0,585311,226,1,28,582390,0
1,0,2350211,167,1,59,2347587,0
1,0,491613,134,1,41,488857,1
1,0,12191,230,1,14,9909,1
1,0,1182,93,1,115,1,1
0,0,4231,135,0,51,1391,1
0,0,14595,65,0,67,12280,1
1,0,9360,254,1,94,6577,0
1,0,14953,301,1,53,12005,1
1,0,29749,161,1,29,26915,1
1,0,430057,184,1,33,427406,0
1,0,14455,91,1,113,11690,0
0,0,30562,278,0,18,28739,1
0,0,4524,239,0,141,2574,0
1,0,486237,25,1,47,483109,0
0,0,19758,183,0,135,17038,0
0,0,47207,81,0,112,45534,1
0,0,36437,103,0,117,35517,1
1,0,5595,68,1,107,2761,1
1,0,912033,73,1,41,909235,0
1,0,2693,280,1,96,396,0
0,0,4036,63,0,67,1289,1
1,0,93761,72,1,65,90201,1
1,0,11733,74,1,82,9154,0
1,0,706189,15,1,29,704129,0
0,0,120500,322,0,9,118605,0
1,0,26060,258,1,2,23298,1
1,0,351197,216,1,62,348939,0
0,0,8589,30,0,42,6541,1
1,0,1425113,14,1,52,1422420,0
1,0,688837,89,1,26,685982,0
0,0,54516,95,0,41,53479,1
0,0,1739,12,0,72,3,1
0,0,201879,298,0,61,200095,0
1,0,1320804,151,1,59,1318300,0
1,0,628364,101,1,27,625434,0
0,0,3779,181,0,133,1517,0
0,0,64637,150,0,65,62859,1
1,0,4799,270,1,144,2103,0
1,0,7313,234,1,140,4734,0
0,0,19476,159,0,128,17815,1
1,0,7957,142,1,126,5381,0
1,0,829858,120,1,37,827087,0
1,0,2120212,106,1,58,2117660,0
1,0,411543,243,1,31,408877,0
1,0,848494,162,1,35,847454,0
1,0,8756,145,1,45,5919,1
0,0,169188,306,0,44,166855,1
1,0,16396,293,1,149,13598,0
1,0,492103,130,1,0,489575,0
0,0,3892,44,0,54,599,1
1,0,439193,286,1,46,435576,0
1,0,570499,250,1,27,567725,0
1,0,3857,104,1,118,1095,1
1,0,924785,235,1,57,922281,1
1,0,245943,61,1,4,244298,0
1,0,556405,238,1,28,554000,1
0,0,9141,219,0,137,8410,0
1,0,981807,277,1,52,979324,1
1,0,14712,220,1,91,11650,0
1,0,2360044,13,1,59,2358530,0
1,0,11256,252,1,92,8914,1
1,0,7825,92,1,114,5795,0
0,0,9869,53,0,58,8244,1
1,0,96498,207,1,29,94816,1
1,0,83774,186,1,15,82602,1
0,0,1981,296,0,99,2,0
1,0,483389,320,1,5,481422,0
0,0,85945,309,0,16,83153,1
0,0,21702,59,0,104,18811,0
0,0,22871,4,0,25,21810,1
1,0,5339,51,1,101,2904,1
0,0,728090,36,0,30,725151,0
1,0,3210,23,1,73,616,1
0,0,258722,217,0,9,256827,0
0,0,10587,180,0,132,8119,1
1,0,145152,315,1,13,142906,1
1,0,572075,299,1,17,569139,0
1,0,58311,297,1,57,56848,1
1,0,33122,281,1,42,30594,1
1,0,690828,274,1,37,688522,0
0,0,45706,259,0,2,43370,1
1,0,588116,3,1,8,586977,0
0,0,4613,118,0,5,1626,1
0,0,12865,288,0,39,9965,1
1,0,4342,82,1,32,1385,1
1,0,15683,255,1,95,12888,0
1,0,378832,38,1,63,376718,0
1,0,39618,83,1,52,36688,1
0,0,563158,321,0,21,560651,0
0,0,467624,170,0,11,464685,0
1,0,2020967,176,1,56,2018517,0
0,0,4567,55,0,80,1604,0
1,0,24449,113,1,85,21516,0
1,0,33240,54,1,41,30436,1
1,0,197559,192,1,9,195199,1
0,0,955,155,0,88,2,1
1,0,1130391,196,1,46,1127446,0
0,0,61849,46,0,65,60071,1
1,0,1824669,165,1,58,1821786,0
1,0,21022,62,1,105,18272,1
1,0,517997,132,1,0,514713,0
1,0,2028531,265,1,58,2025571,0
1,0,4543,138,1,124,1706,1
1,0,16034,126,1,24,13233,0
0,0,1337382,268,0,52,1335682,0
0,0,1973,1,0,154,3,1
1,0,9934,88,1,49,6965,1
0,0,3158,6,0,40,342,1
1,0,648458,160,1,22,645735,0
0,0,31215,300,0,68,30121,1
1,0,1175229,146,1,49,1172704,0
0,0,2772,318,0,13,301,1
1,0,265804,200,1,10,263906,0
0,0,496864,169,0,6,494066,0
1,0,1709527,108,1,59,1707056,1
1,0,29971,144,1,45,27197,1
1,0,5025,157,1,127,2677,1
1,0,474181,191,1,4,471830,0
0,0,20670,139,0,125,18052,1
0,0,1434052,154,0,52,1432280,0
1,0,2327020,262,1,58,2324351,0
1,0,30617,149,1,66,28410,1
0,0,750304,208,0,37,747923,0
1,0,10460,77,1,111,8049,1
1,0,754760,204,1,31,752910,0
1,0,6217,319,1,13,3602,1
1,0,396132,244,1,31,393928,0
1,0,128705,206,1,29,127131,1
1,0,496021,27,1,1,493463,0
1,0,56619,316,1,13,53854,1
0,0,4421,32,0,76,3684,1
0,0,117865,210,0,2,115973,1
