Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,301826,242,242,86,2,0,31,299487,0
1,0,32772,95,95,115,1,1,4,29866,1
1,0,387675,28,28,101,1,1,5,385183,0
0,0,736453,79,79,69,3,0,23,733583,0
0,1,190552,80,80,49,2,0,21,188093,1
0,0,1516533,42,42,59,2,0,32,1514173,1
0,0,476728,160,160,104,2,0,15,474101,0
0,0,54199,31,31,45,2,0,58,51578,1
0,0,988200,208,208,34,2,0,23,985546,1
0,0,1062895,233,233,82,2,0,31,1060310,1
0,0,246580,86,86,6,2,0,19,243767,0
0,0,758419,45,45,21,2,0,22,756089,0
0,0,488327,204,204,22,3,0,23,485541,0
1,0,322020,236,236,90,1,1,19,319249,0
0,0,33755,25,25,53,2,0,44,30969,0
0,0,423886,67,67,115,2,0,6,421607,1
0,0,993191,43,43,59,2,0,32,990858,1
1,0,1150558,194,194,85,1,1,23,1147775,1
0,0,1152306,222,222,114,2,0,24,1149583,0
0,0,1161129,167,167,110,2,0,32,1158613,0
1,0,32977,216,216,113,1,1,85,30248,1
0,0,33431,24,24,95,2,0,55,30843,1
0,0,504459,247,247,109,2,0,12,501763,1
0,0,1757922,190,190,33,2,0,32,1755496,1
0,0,553480,175,175,63,3,0,1,550610,0
0,0,16153,29,29,45,2,0,56,13502,0
0,0,355891,244,244,115,2,0,6,353552,0
0,0,309384,108,108,120,2,0,5,306937,0
0,0,25495,51,51,95,2,0,61,22811,0
0,0,8691,197,197,29,2,0,78,6085,1
0,0,200907,150,150,47,2,0,11,198367,0
0,0,15222,213,213,8,2,0,82,12538,1
0,0,867065,114,114,69,2,0,23,864531,0
0,0,1966199,101,101,39,2,0,31,1963551,1
0,0,557682,142,142,104,2,0,15,555076,0
0,0,1024944,232,232,82,2,0,31,1022305,0
0,0,556640,254,254,94,2,0,7,553878,0
0,0,1176004,166,166,102,2,0,32,1173581,0
0,0,156435,33,33,82,3,0,19,153649,1
0,0,447956,178,178,62,2,0,24,445458,1
0,0,735391,126,126,71,2,0,31,733043,0
0,0,1102343,226,226,75,2,0,24,1099539,0
0,0,1314205,89,89,110,2,0,32,1311887,0
0,0,1034195,210,210,5,2,0,23,1031508,1
0,0,650434,38,38,37,3,0,14,647633,1
0,0,1800605,106,106,71,2,0,31,1797939,1
0,0,187941,231,231,36,2,0,5,185287,0
1,0,17633,20,20,62,1,1,53,14982,0
0,0,4209,119,119,65,2,0,69,1423,0
0,0,198843,125,125,76,2,0,5,196225,0
0,0,1065877,200,200,108,2,0,26,1063010,0
0,0,432191,133,133,17,2,0,16,429708,0
0,0,536061,258,258,84,2,0,15,533287,0
0,0,568671,174,174,2,2,0,32,566338,1
