Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1713823,10,10,87,2,0,28,1711409,0
1,0,32772,101,101,117,1,1,4,29866,1
0,0,373899,32,32,27,2,0,5,371611,1
0,0,721934,79,79,34,2,0,23,719244,1
0,0,428427,92,92,84,3,0,20,425755,0
0,0,1324430,93,93,62,2,0,30,1322082,0
0,0,465591,162,162,113,2,0,15,462814,0
0,0,54199,35,35,46,2,0,55,51578,1
1,0,952113,118,118,39,1,1,23,949273,1
0,0,1024944,233,233,86,2,0,29,1022305,0
1,0,199898,39,39,94,1,1,19,197364,1
0,0,404584,120,120,93,2,0,21,402206,0
0,0,473501,202,202,122,3,0,23,470631,0
0,0,246580,91,91,5,2,0,19,243767,0
0,0,33755,30,30,56,2,0,41,30969,0
0,0,355891,244,244,117,2,0,6,353552,0
0,0,602339,48,48,62,2,0,30,600009,0
1,0,1100880,194,194,39,1,1,23,1098211,1
1,0,1123469,221,221,95,1,1,24,1120611,0
0,0,1147282,168,168,62,2,0,30,1144757,1
1,0,32977,216,216,115,1,1,82,30248,1
0,0,33431,29,29,99,2,0,52,30843,1
0,0,184674,7,7,96,2,0,12,182293,0
0,0,1516533,47,47,62,2,0,30,1514173,1
0,0,553480,173,173,66,3,0,1,550610,0
0,0,16153,33,33,46,2,0,53,13502,0
0,0,292921,245,245,119,2,0,6,290183,1
0,0,256062,178,178,121,2,0,5,253732,0
0,0,25495,54,54,99,2,0,58,22811,0
0,0,8691,195,195,30,2,0,75,6085,1
0,0,180436,213,213,44,2,0,11,177890,1
0,0,15222,212,212,7,2,0,79,12538,1
0,0,849988,205,205,80,2,0,23,847319,0
0,0,1919214,107,107,74,2,0,29,1916677,1
0,0,546874,143,143,106,2,0,15,544250,0
1,0,1014233,136,136,29,1,1,29,1011738,0
0,0,519004,251,251,75,2,0,7,516413,0
0,0,1161129,167,167,112,2,0,30,1158613,0
0,0,82609,139,139,42,3,0,19,79808,1
1,0,316755,121,121,95,1,1,24,314314,0
0,0,622377,45,45,9,2,0,29,620053,0
0,0,483376,100,100,108,2,0,24,480707,1
0,0,1176004,166,166,105,2,0,30,1173581,0
0,0,1015945,209,209,72,2,0,23,1013150,1
0,0,204433,67,67,45,2,0,14,201761,1
0,0,1745786,15,15,74,2,0,29,1743231,0
0,0,125132,85,85,47,2,0,4,122370,1
1,0,17633,25,25,65,1,1,50,14982,0
0,0,4209,123,123,68,2,0,66,1423,0
0,0,187941,232,232,37,2,0,5,185287,0
0,0,1035713,62,62,50,2,0,25,1032837,0
0,0,425184,137,137,54,2,0,16,422410,0
0,0,513629,257,257,83,3,0,15,510834,0
0,0,565358,87,87,112,2,0,30,563163,1
0,0,1115182,220,220,78,2,0,24,1112378,0
1,0,432436,159,159,62,1,1,15,429818,0
0,0,218715,59,59,71,2,0,17,215884,1
1,0,86749,153,153,69,1,1,3,84020,1
1,0,396102,74,74,94,1,1,19,393418,0
1,0,107074,254,254,73,1,1,2,104540,0
0,0,602587,46,46,86,2,0,29,600077,0
1,0,389747,164,164,125,1,1,15,387120,0
0,0,422008,200,200,32,2,0,17,419294,0
0,0,1065877,198,198,111,2,0,25,1063010,0
0,0,378614,163,163,88,2,0,15,375975,0
0,0,309384,112,112,121,2,0,5,306937,0
0,0,585607,86,86,119,2,0,6,583331,1
0,0,7162,23,23,46,2,0,48,4697,0
0,0,650434,43,43,38,3,0,14,647633,1
0,0,23290,218,218,74,2,0,47,20606,1
0,0,9867,65,65,99,2,0,60,7462,0
1,0,442799,201,201,48,1,1,23,439932,1
0,0,1695278,9,9,41,2,0,28,1692543,1
0,0,700388,17,17,107,2,0,15,697620,0
0,0,14845,51,51,51,3,0,57,11996,0
0,0,8092,214,214,43,2,0,80,5759,0
1,0,13979,197,197,0,1,1,77,11352,1
0,0,1045611,208,208,72,3,0,23,1042786,0
0,0,15062,90,90,46,2,0,63,12438,0
0,0,1061168,114,114,72,4,0,23,1059124,0
0,0,8115,172,172,45,3,0,46,5269,1
0,0,10893,95,95,60,2,0,31,8359,1
0,0,1966199,106,106,40,2,0,29,1963551,1
0,0,585177,204,204,23,3,0,23,582301,0
0,0,475012,142,142,114,2,0,7,472298,0
0,0,1314205,94,94,112,2,0,30,1311887,0
0,0,1096585,235,235,102,2,0,29,1093946,1
1,0,9580,196,196,38,1,1,76,6749,1
0,0,50888,152,152,52,2,0,20,48174,1
0,0,1062895,234,234,86,2,0,29,1060310,1
0,0,758419,49,49,22,2,0,21,756089,0
0,0,12594,151,151,46,2,0,73,9967,0
0,0,9089,217,217,24,2,0,82,6579,1
1,0,45075,126,126,26,1,1,69,42286,0
1,0,1578209,103,103,110,1,1,28,1575672,1
0,0,1818146,111,111,102,2,0,29,1815771,0
0,0,466038,176,176,65,2,0,24,463714,0
0,0,1851640,109,109,81,2,0,29,1848668,0
0,0,139709,253,253,91,2,0,1,138117,0
1,0,290907,119,119,18,1,1,21,288478,0
0,0,1171520,42,42,8,2,0,27,1169280,1
0,0,2047179,184,184,81,2,0,29,2044399,1
0,0,800723,165,165,3,2,0,22,798375,0
0,0,12158,13,13,55,2,0,40,9363,1
0,0,21771,88,88,46,2,0,61,19363,0
0,0,488327,203,203,23,3,0,23,485541,0
0,0,454333,158,158,107,2,0,15,451748,0
0,0,262330,243,243,84,2,0,6,259847,0
0,0,568854,259,259,106,2,0,15,566233,0
0,0,16377,145,145,46,2,0,71,13513,1
0,0,180486,38,38,42,2,0,19,177754,1
0,0,1596686,185,185,40,2,0,29,1594209,0
0,0,301826,242,242,90,2,0,29,299487,0
0,0,736453,83,83,72,3,0,23,733583,0
0,0,1006971,2,2,82,5,0,30,1005142,0
0,0,20976,61,61,9,2,0,43,18310,0
0,0,5331,150,150,99,2,0,72,2932,0
0,0,629809,115,115,6,3,0,13,627020,1
0,0,1816759,189,189,112,2,0,30,1814429,0
1,0,590672,258,258,62,1,1,15,588504,0
0,0,6553,122,122,63,2,0,65,4166,1
0,0,1152306,222,222,116,2,0,24,1149583,0
0,0,13678,156,156,16,2,0,3,10931,1
0,0,468388,72,72,80,3,0,6,465485,0
1,0,476059,149,149,104,1,1,5,473501,0
1,0,1152001,179,179,110,1,1,28,1149578,1
0,0,1007699,206,206,72,2,0,23,1005114,1
0,0,1129346,169,169,62,2,0,30,1126764,1
0,0,696919,77,77,23,2,0,23,694046,0
0,0,1156973,236,236,31,2,0,29,1154469,0
0,0,221070,141,141,86,2,0,9,218443,1
0,0,463778,84,84,35,2,0,16,460986,0
0,0,11062,6,6,36,2,0,36,8450,0
0,0,1553361,181,181,41,2,0,28,1550629,1
0,0,280853,68,68,126,2,0,23,278046,0
0,0,546370,50,50,96,2,0,8,543824,0
0,0,399549,238,238,54,2,0,16,396772,0
0,0,57145,60,60,92,3,0,43,54284,0
0,0,817323,82,82,72,2,0,23,814468,0
1,0,408107,19,19,24,1,1,5,405750,0
0,0,60414,227,227,13,2,0,84,57859,1
0,0,988200,207,207,34,2,0,23,985546,1
0,0,7898,12,12,64,2,0,39,5274,1
0,0,245264,52,52,2,2,0,0,242583,0
0,0,4732,125,125,99,2,0,68,2051,0
0,0,21506,63,63,99,2,0,59,18858,0
0,0,23129,128,128,99,3,0,70,20358,1
0,0,428401,73,73,76,2,0,18,425663,0
0,0,950785,134,134,40,2,0,29,948302,1
0,0,34218,64,64,99,2,0,59,31414,0
1,0,2065088,104,104,29,1,1,29,2062416,0
0,0,15093,157,157,127,3,0,19,12226,0
0,0,1251196,180,180,120,2,0,28,1248512,0
0,0,352788,249,249,111,2,0,18,350182,1
0,0,565683,140,140,117,2,0,6,563344,1
0,0,10603,8,8,1,3,0,37,7772,1
0,0,212927,0,0,25,5,0,13,211077,1
0,0,1200167,193,193,34,2,0,23,1197396,0
0,0,652210,99,99,12,2,0,8,649424,0
0,0,2201057,58,58,112,2,0,30,2198634,1
0,0,4709,34,34,51,2,0,54,2067,1
0,0,119436,255,255,14,2,0,2,116878,0
0,0,14331,230,230,25,2,0,85,11776,1
1,0,1633076,186,186,29,1,1,29,1630521,0
0,0,7054,124,124,51,2,0,67,4541,0
0,0,456596,18,18,37,2,0,5,453903,1
0,0,3590,211,211,30,2,0,79,942,1
0,0,1757922,188,188,33,2,0,30,1755496,1
0,0,1984371,187,187,62,2,0,30,1981915,0
0,0,529696,175,175,66,2,0,1,526820,1
0,0,272153,69,69,72,2,0,23,269451,0
0,0,423886,70,70,117,2,0,6,421607,1
0,0,379418,170,170,52,2,0,32,376740,1
0,0,1189938,225,225,109,2,0,24,1187140,0
0,0,25731,11,11,58,3,0,38,22858,0
0,0,35248,55,55,99,2,0,58,32438,0
0,0,3982,4,4,70,2,0,34,1541,0
0,0,867065,117,117,72,2,0,23,864531,0
0,0,460231,148,148,25,2,0,13,457457,1
1,0,2113696,56,56,29,1,1,29,2111357,0
0,0,783613,81,81,34,2,0,23,780839,0
0,0,35322,191,191,63,2,0,74,32611,1
0,0,506933,22,22,72,3,0,23,504105,0
0,0,41459,219,219,108,3,0,83,38613,1
0,0,584285,174,174,22,0,0,1,581721,0
0,0,404953,161,161,88,2,0,15,402317,0
0,0,16042,113,113,51,3,0,64,13142,0
1,0,574686,147,147,93,1,1,13,571897,1
0,0,596823,98,98,118,2,0,8,594229,1
1,0,71558,154,154,77,1,1,3,69066,0
0,0,1102343,226,226,78,2,0,24,1099539,0
0,0,556640,252,252,98,2,0,7,553878,0
0,0,22835,146,146,99,2,0,71,20457,0
0,0,65602,28,28,46,2,0,51,62846,0
0,0,2171498,182,182,102,2,0,29,2169063,1
0,0,3099,89,89,51,2,0,62,313,1
0,0,2180588,57,57,57,2,0,30,2178147,1
0,0,1865809,108,108,74,2,0,29,1862957,0
0,0,2060220,183,183,102,2,0,29,2057611,1
0,0,8030,144,144,51,2,0,71,5538,1
0,0,54570,31,31,56,3,0,41,51787,1
0,0,12466,229,229,103,2,0,84,9926,1
0,0,1650945,14,14,124,2,0,29,1648582,1
0,0,1181628,224,224,78,2,0,24,1179322,0
0,0,580806,97,97,85,5,0,8,578836,1
0,0,321121,171,171,97,2,0,30,318503,0
0,0,880730,135,135,40,2,0,29,877992,1
0,0,7331,96,96,61,3,0,45,4482,1
0,0,156435,37,37,86,3,0,19,153649,1
0,0,249052,76,76,3,2,0,9,246272,1
0,0,344245,16,16,100,2,0,0,341906,1
0,0,194602,248,248,86,3,0,9,191840,1
0,0,536061,256,256,88,2,0,15,533287,0
0,0,1828534,110,110,86,2,0,29,1825916,0
0,0,450835,71,71,117,2,0,6,448496,1
0,0,14547,24,24,46,2,0,49,12235,0
0,0,417885,138,138,53,2,0,16,415123,0
0,0,237391,75,75,21,2,0,9,234584,1
0,0,7271,26,26,99,2,0,50,4884,0
0,0,1983,1,1,4,5,0,33,1,1
0,0,21057,155,155,43,2,0,3,18763,1
0,0,388287,239,239,116,2,0,16,385492,0
0,0,11601,44,44,51,2,0,56,9187,0
0,0,185153,27,27,127,2,0,26,182502,0
0,0,110238,228,228,101,3,0,84,107374,0
0,0,768058,80,80,72,2,0,23,765323,0
0,0,8573,215,215,65,2,0,81,6039,1
0,0,2099,5,5,123,5,0,35,3,1
0,0,191757,116,116,59,2,0,10,188965,1
0,0,205713,246,246,20,2,0,9,202903,1
0,0,1409461,102,102,34,3,0,28,1406588,1
0,0,775880,132,132,81,2,0,29,773208,1
0,0,12861,240,240,109,2,0,86,10087,1
0,0,735391,130,130,74,2,0,29,733043,0
0,0,1731005,190,190,8,3,0,27,1728183,0
0,0,171302,231,231,12,4,0,12,169443,0
0,0,187696,247,247,15,2,0,9,185057,1
0,0,2050620,20,20,112,2,0,30,2048281,1
0,0,17047,41,41,105,2,0,42,14579,1
0,0,222070,177,177,67,2,0,5,219359,0
0,0,1169591,223,223,108,3,0,24,1166769,0
1,0,2776,53,53,11,1,1,58,113,1
0,0,935144,133,133,86,2,0,29,932427,1
0,0,8596,127,127,51,2,0,69,5819,0
0,0,24923,66,66,19,2,0,44,22032,0
1,0,42017,199,199,49,1,1,78,39222,0
1,0,1150558,192,192,89,1,1,23,1147775,1
0,0,665447,78,78,23,3,0,23,662586,1
1,0,276688,210,210,97,1,1,24,274223,0
1,0,396615,250,250,10,1,1,18,394090,1
0,0,381075,237,237,17,2,0,16,378301,0
0,0,2102129,105,105,102,2,0,29,2099463,1
1,0,255561,21,21,39,1,1,23,253126,0
0,0,22052,241,241,8,2,0,87,19278,1
0,0,198843,129,129,79,2,0,5,196225,0
0,0,763632,131,131,74,2,0,29,761305,0
0,0,421319,160,160,125,2,0,15,418704,0
0,0,167573,40,40,28,3,0,19,164778,1
0,0,11536,36,36,51,2,0,55,9554,1
1,0,597333,3,3,10,1,1,18,595705,1
