Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position
1,7608,43,43,91,6745
1,391707,126,126,22,391090
0,476915,38,38,3,476025
1,346408,208,208,62,346178
0,216862,127,127,56,214952
1,80177,231,231,13,78453
1,8014,87,87,10,5234
1,557,94,94,107,3
1,12665,71,71,22,11931
1,346850,207,207,62,346512
0,890682,193,193,37,889150
0,1130987,148,148,43,1130442
0,2216,42,42,90,1884
1,56787,224,224,65,55507
1,45867,21,21,45,45670
0,929,176,176,130,3
1,25397,153,153,28,23602
1,36817,151,151,28,35931
0,578507,188,188,25,577500
1,30441,199,199,133,27628
0,1839347,133,133,54,1836461
1,71748,34,34,53,71398
0,122795,35,35,8,121053
0,1122061,146,146,43,1121249
0,752571,48,48,27,750136
1,33312,82,82,39,32212
1,17807,29,29,42,16818
1,17424,192,192,27,14611
0,543960,138,138,6,542011
1,23503,235,235,5,21764
1,57738,225,225,65,56893
0,870832,54,54,33,869711
1,12423,129,129,26,10753
0,3521,177,177,86,564
0,640889,124,124,14,638082
1,119855,183,183,7,118959
0,351059,66,66,59,348930
1,4441,72,72,52,1115
0,218,156,156,124,3
0,615828,187,187,25,612868
0,835,4,4,89,1
1,71222,130,130,26,69540
1,100170,26,26,13,98553
1,76293,27,27,60,74227
1,17384,125,125,116,15111
1,395,204,204,87,3
0,1444050,22,22,47,1442287
0,229154,239,239,7,227562
1,64517,123,123,60,64071
0,747484,169,169,31,746714
1,58454,116,116,46,55821
0,10805,109,109,113,10074
0,805101,144,144,28,802591
0,4265,68,68,101,3411
1,8105,61,61,98,5802
1,42976,229,229,40,42014
0,157631,186,186,51,157230
1,7838,217,217,136,7741
0,794,8,8,67,3
1,1231,13,13,74,899
1,74182,14,14,21,73355
0,2332647,202,202,55,2330257
1,114401,65,65,61,112584
1,41471,158,158,55,39177
0,1415811,19,19,47,1415230
1,6985,85,85,104,4031
1,46358,95,95,15,44298
0,1129891,147,147,43,1128836
0,535,6,6,66,1
0,11717,178,178,131,11061
0,1338938,196,196,47,1337487
1,36096,30,30,38,35452
1,56420,159,159,55,55923
1,20561,121,121,41,20007
0,2400,168,168,127,211
0,3058,140,140,121,647
1,33980,166,166,54,31590
0,358301,174,174,58,355485
0,202126,79,79,59,201683
1,83691,200,200,2,83233
0,1034156,76,76,39,1031220
1,393196,84,84,49,390821
0,368350,51,51,58,367493
1,66037,97,97,43,63011
0,877,16,16,77,2
0,1381,106,106,111,2
0,1153652,149,149,43,1152030
1,45746,31,31,27,45168
1,47107,232,232,13,46339
1,35665,152,152,28,33647
0,2035,131,131,119,1445
0,921959,67,67,36,919047
1,282,119,119,85,1
0,903359,162,162,54,902475
0,3364,172,172,129,1112
0,8634,62,62,99,6310
0,6051,113,113,84,3256
0,223303,157,157,25,221369
0,147,10,10,68,1
0,706956,36,36,28,704473
1,15156,24,24,79,14362
1,944659,163,163,54,941918
0,513917,237,237,5,513297
1,24472,189,189,14,23342
1,46075,233,233,13,44094
0,1050263,160,160,48,1049748
1,1991,180,180,132,321
1,7580,90,90,105,6150
0,317768,195,195,55,315381
0,587282,70,70,19,586959
1,10942,203,203,31,10619
0,929,17,17,75,492
0,6341,63,63,100,3546
1,28634,143,143,17,28311
0,751195,191,191,29,748829
1,2270,60,60,97,1968
0,629366,211,211,47,627348
0,609376,210,210,11,606950
1,2735,218,218,137,1362
1,4117,226,226,48,1346
0,6226,11,11,69,4295
0,481120,111,111,0,478592
0,215,5,5,118,3
1,2208,145,145,122,1
0,857583,112,112,33,854629
0,4959,103,103,110,2632
1,38673,93,93,106,38134
1,2184398,89,89,55,2181870
0,821170,102,102,31,818471
1,46181,185,185,14,45609
0,699100,74,74,23,696140
0,2029693,141,141,52,2028950
1,4564,46,46,93,2810
1,1582,12,12,71,692
0,3052,58,58,96,605
0,498493,236,236,5,497942
0,6017,222,222,139,3066
1,4965,128,128,117,2173
0,585603,190,190,12,583600
1,2706,91,91,83,1
1,89160,184,184,3,86623
0,475584,99,99,43,473026
1,101201,25,25,13,100433
1,6087,15,15,72,4936
0,1639600,201,201,54,1637255
1,1686,2,2,76,1
1,10351,179,179,132,7736
0,1399795,23,23,47,1397420
0,651190,197,197,24,650348
1,17833,32,32,47,17345
1,612,73,73,44,103
0,32383,205,205,134,29822
1,69602,86,86,4,68706
1,182518,44,44,26,180932
0,18217,120,120,115,15659
0,88109,221,221,25,87465
0,540826,37,37,17,537914
0,5666,171,171,128,3972
0,267665,227,227,54,267153
0,578251,165,165,16,576644
0,1121147,216,216,43,1120731
0,583,161,161,125,2
1,2783,39,39,81,909
1,67398,223,223,53,66466
0,453362,134,134,11,452610
0,11981,107,107,112,9216
0,935665,194,194,37,933350
1,9109,154,154,28,6119
0,228,18,18,75,1
1,2248,20,20,78,1520
1,74451,230,230,15,72187
1,3080,56,56,94,735
0,45115,206,206,135,42281
1,2190,101,101,109,1
0,922,9,9,68,412
0,521339,136,136,6,518895
0,663276,135,135,17,662509
0,783875,69,69,30,783721
0,24991,117,117,114,22313
1,1238,215,215,88,288
1,4197,150,150,123,3526
1,1066,0,0,70,947
0,1161359,96,96,54,1159086
1,63967,213,213,17,63425
0,8168,50,50,82,5343
0,1842055,212,212,50,1840004
1,40883,52,52,64,38052
1,9729,92,92,83,7402
0,17064,80,80,102,15238
0,521580,40,40,2,519241
1,207218,122,122,36,204852
0,640440,118,118,20,637990
1,957,170,170,47,103
0,504842,75,75,1,502038
1,45868,115,115,46,44981
1,18211,55,55,35,15392
1,963,78,78,19,103
0,772241,49,49,27,769332
0,1411,1,1,73,1097
0,630925,173,173,13,630173
1,35958,41,41,30,35374
1,34273,7,7,20,33176
0,617,57,57,95,1
0,478396,137,137,6,477242
0,392192,108,108,29,389835
1,28437,220,220,55,25624
0,4194,219,219,138,3232
1,16367,33,33,47,13620
1,13228,198,198,133,10472
1,1874,59,59,97,3
0,51751,110,110,21,49106
0,581031,238,238,19,580762
0,184333,77,77,57,183608
0,382722,104,104,63,380155
0,9773,228,228,140,7086
1,10829,83,83,63,8487
0,281858,155,155,55,279111
0,326018,105,105,22,323649
0,112160,88,88,18,109194
1,563,45,45,92,3
0,8610,81,81,103,7165
0,250640,175,175,9,247890
0,1020701,164,164,54,1018377
0,23344,167,167,126,21104
1,57748,53,53,64,55331
1,7904,100,100,108,5580
0,2011553,3,3,52,2010699
1,26773,114,114,46,26201
0,2033316,142,142,52,2030554
1,15743,209,209,32,15195
0,822273,214,214,28,821002
0,16756,28,28,80,15296
1,88412,98,98,43,86619
0,7310,234,234,141,4494
0,586872,181,181,8,586129
1,360854,47,47,63,358083
1,215357,64,64,26,214062
1,254233,182,182,36,251879
0,26957,139,139,120,26184
0,856711,132,132,34,855554
