Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position
1,1037760,369,369,22,1037092
0,18293,404,404,95,17649
0,7200,136,136,45,6637
0,55025,359,359,83,54438
0,1464254,88,88,28,1463646
1,487260,203,203,23,486679
0,2016292,330,330,27,2015537
0,9057,388,388,90,8128
0,4555,133,133,64,3962
0,683253,98,98,28,682675
1,807166,154,154,22,806492
0,112468,401,401,94,111971
0,4870,341,341,78,4217
0,2682,266,266,76,1954
1,163066,8,8,8,162521
0,1955674,333,333,28,1955171
1,756041,99,99,28,755460
1,1368555,310,310,28,1367977
1,1487064,92,92,28,1486369
1,36247,72,72,15,35642
0,1187163,347,347,22,1186465
0,120884,34,34,14,120498
1,1921473,108,108,28,1920904
0,438865,352,352,17,438233
0,308712,370,370,16,308044
0,1033564,300,300,18,1032920
0,1604078,116,116,28,1603452
0,85370,61,61,58,84681
0,17407,263,263,74,16820
0,497483,126,126,17,496893
0,1738968,27,27,27,1738420
1,6677,379,379,86,6162
1,278070,224,224,3,277438
0,1731530,337,337,28,1730895
0,477620,208,208,6,476973
0,565167,382,382,20,564760
0,10321,127,127,61,9749
0,1686468,112,112,28,1685914
0,7629,232,232,70,6979
0,1645,356,356,83,1004
1,376974,55,55,3,376393
1,807869,24,24,27,807330
1,426818,139,139,4,426186
1,39701,52,52,57,39237
0,265007,261,261,23,264339
1,782,46,46,54,129
1,1132814,318,318,28,1132212
1,30799,73,73,15,30158
1,159847,67,67,14,159101
1,717564,272,272,27,716974
1,1637787,114,114,28,1637185
0,487905,171,171,3,487330
1,356421,430,430,13,355831
0,1932015,107,107,28,1931470
0,2027,39,39,52,1341
0,1743790,336,336,28,1743146
0,515441,209,209,6,514617
1,1118634,320,320,28,1117975
0,347837,17,17,3,347313
0,250738,324,324,3,250097
1,1579,3,3,34,1004
0,570400,76,76,7,569783
0,544317,148,148,22,543658
0,52129,267,267,76,51491
1,19103,380,380,86,18480
0,4829,260,260,73,4128
1,599763,235,235,10,598996
0,430625,12,12,16,430509
0,1148872,410,410,27,1148204
0,339516,227,227,3,338926
1,1413348,212,212,26,1412725
1,1081012,406,406,27,1080440
0,15668,345,345,79,15015
1,6518,305,305,1,5874
1,26110,307,307,14,25487
1,504309,428,428,4,503911
1,610947,367,367,22,610288
0,1995197,219,219,27,1994529
0,216763,323,323,3,216122
1,588625,159,159,4,587969
0,416038,383,383,31,415541
1,463493,101,101,0,462885
