Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,419867,28,0,0,4,419010,1
0,1404526,43,0,0,20,1403861,1
0,25097,61,0,0,34,24648,0
0,1771495,44,0,0,21,1771046,0
0,334491,37,0,0,22,333733,1
0,2126663,22,0,0,22,2125983,1
0,106626,2,0,0,0,106183,0
0,1512529,19,0,0,22,1511897,1
0,1801028,84,0,0,22,1800459,0
0,187539,4,0,0,8,186739,0
0,249755,31,0,0,16,248955,0
0,18478,13,0,0,28,17702,0
0,455384,88,0,0,16,454782,0
0,582312,0,0,0,4,581629,1
0,2189977,80,0,0,21,2189303,1
0,249191,30,0,0,12,247920,0
0,192020,68,0,0,7,191304,0
0,360949,36,0,0,22,360191,1
0,5270,60,0,0,33,4815,1
0,1249825,35,0,0,22,1249373,1
0,541726,15,0,0,13,540743,1
0,260224,51,0,0,11,259535,1
0,1795788,47,0,0,21,1795339,1
0,1266329,78,0,0,20,1265664,0
0,229245,104,0,0,4,228751,0
0,439937,91,0,0,11,439305,0
0,47774,63,0,0,34,46746,0
0,215252,107,0,0,9,214692,0
0,2006097,82,0,0,21,2005645,0
0,241884,25,0,0,10,241294,0
0,404244,65,0,0,24,403621,1
1,187858,11,1,1,19,187097,0
0,1351182,73,0,0,22,1350433,1
0,407069,57,0,0,15,406629,0
0,190450,99,0,0,3,190100,0
0,1500372,20,0,0,22,1500022,0
0,19040,54,0,0,32,18594,0
0,1292754,32,0,0,22,1292116,0
0,873951,10,0,0,14,873346,0
0,491545,93,0,0,11,490745,1
0,447197,92,0,0,11,446745,1
0,1335494,33,0,0,22,1334871,1
1,311877,50,1,1,3,310678,0
0,508560,16,2,0,13,507559,1
0,1480543,79,0,0,20,1479323,1
0,1915099,46,0,0,21,1914353,1
0,2108845,48,0,0,22,2108303,1
0,24241,27,0,0,30,23690,0
0,369901,12,0,0,3,369557,1
0,533902,105,0,0,4,533237,1
0,1327169,34,0,0,22,1326369,0
0,17745,70,0,0,2,16912,1
1,509814,67,3,1,5,509014,0
0,58473,1,0,0,12,57784,0
0,1027295,100,0,0,21,1026840,0
1,374729,76,1,1,23,373830,1
0,258510,77,0,0,3,258202,0
0,981065,39,0,0,22,980400,1
0,3241,97,0,0,27,2789,0
0,2054734,8,0,0,22,2054069,1
0,469905,59,0,0,15,469240,0
0,293595,56,0,0,15,292942,0
0,21345,87,0,0,36,20596,0
0,533360,14,0,0,13,532377,1
0,1188592,74,0,0,22,1187834,1
0,1146722,86,0,0,17,1145835,1
0,30522,85,0,0,35,29761,1
0,1962152,45,0,0,21,1961658,1
0,2046738,9,0,0,22,2046013,1
0,989439,21,0,0,22,989029,1
0,535778,102,2,0,12,534804,1
0,574747,29,0,0,17,573722,0
0,985522,38,0,0,22,984710,1
0,548988,17,0,0,13,548008,1
0,976756,40,0,0,22,976091,1
0,2720,96,0,0,27,1839,0
0,522763,55,0,0,17,521789,1
1,1694721,6,1,1,21,1693825,1
0,434224,90,0,0,11,433772,0
0,25672,62,0,0,34,25139,0
0,835812,95,4,0,17,835600,0
0,1117094,98,0,0,18,1116687,0
0,6198,5,0,0,25,5503,1
0,614408,94,0,0,11,613791,1
0,213832,24,0,0,11,212933,1
0,2014286,49,0,0,22,2013333,1
0,3147,52,0,0,31,2389,1
0,121362,106,0,0,1,120919,0
0,386361,58,0,0,15,385708,0
0,166893,3,0,0,7,166510,1
0,16682,71,0,0,2,16377,1
0,203789,69,0,0,7,203085,0
0,1589372,23,0,0,22,1589025,1
0,1379076,72,0,0,22,1378327,1
0,1474,7,0,0,26,1025,1
0,972438,41,0,0,22,971773,1
0,26420,53,0,0,32,25257,1
0,1129040,101,0,0,21,1128585,1
0,430215,103,0,0,22,429457,1
0,2167272,81,0,0,21,2166841,1
0,4118,26,0,0,29,3549,0
0,45033,89,0,0,37,44497,0
0,576203,42,0,0,6,575301,1
0,930230,64,0,0,21,929781,1
0,1966887,83,0,0,22,1966264,0
0,561672,66,0,0,4,560914,1
0,1125325,75,0,0,22,1124525,1
0,1533448,18,0,0,22,1532690,0
