Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,1,674303,17,14,673725,0
1,8,905931,42,8,905182,0
1,21,570089,27,8,569511,0
1,0,435780,39,9,435106,0
1,29,1661430,19,12,1660327,1
1,25,9043,55,18,8369,0
1,5,605502,68,5,604933,1
1,29,1565614,1,12,1565111,1
1,33,37689,22,24,37021,0
1,7,4852,24,25,4175,1
1,29,509037,87,2,508240,0
1,0,1091842,81,9,1091081,0
1,20,670988,34,13,670362,1
0,3,1346554,52,14,1345826,1
1,21,1064488,67,8,1063814,0
1,26,1153891,11,11,1153361,0
0,24,226568,59,1,225903,0
1,39,1732531,56,12,1731896,0
1,33,2154696,62,13,2154196,0
1,0,179239,37,10,178622,1
1,0,1142124,79,9,1141357,0
1,15,430900,26,6,430274,0
1,0,23414,75,36,22770,1
1,0,1104782,83,9,1104102,0
1,1,1170502,53,14,1169873,0
0,31,487905,31,1,487330,0
1,39,1560119,61,12,1559271,1
1,38,743660,16,14,742947,1
1,13,40393,25,16,39713,0
1,34,947466,43,8,947014,1
1,8,458055,69,8,457426,1
1,8,17347,20,23,16595,0
1,18,16318,35,28,15653,0
1,21,829209,73,8,828511,0
0,12,388745,86,2,388080,1
1,23,28212,64,34,27637,0
1,39,1702393,4,12,1701380,1
1,28,547641,33,3,547144,1
1,37,10697,77,19,10023,0
1,34,738855,28,8,738181,0
1,0,590414,57,0,589821,1
1,4,136301,84,7,135930,0
1,0,1192387,82,9,1191707,0
1,11,17274,13,21,16765,1
0,24,430064,8,1,429414,1
1,27,18257,76,37,17595,1
1,9,7133,45,30,6462,0
1,17,17466,30,26,16792,0
1,12,624606,15,13,623983,0
0,17,1721960,41,12,1721430,0
1,36,7796,50,32,7137,0
1,39,1654501,40,12,1653854,1
1,14,1832,12,21,1149,1
1,12,2105453,23,13,2104848,1
1,2,11162,78,38,10509,0
1,23,20358,63,34,19783,1
1,39,1507852,60,12,1507205,1
1,12,974933,46,13,974307,0
1,39,1690792,3,12,1690151,1
1,22,9429,44,29,8836,0
1,12,840636,5,13,840031,1
1,35,755,54,18,93,0
1,0,478865,38,9,478194,1
1,19,4297,74,35,3704,1
1,12,989314,47,13,988862,0
1,38,381646,9,14,381053,0
1,24,5579,85,39,4953,1
1,0,1172053,80,9,1171373,0
1,21,1154177,66,8,1153497,1
1,16,25270,48,31,24593,0
1,11,468982,18,0,468374,0
0,40,1728460,2,12,1728161,0
1,21,490761,71,8,490084,0
1,0,524975,58,0,524382,1
1,34,587573,72,8,586902,0
1,16,4340,21,23,3579,0
1,6,5600,51,33,4947,1
1,12,2529,29,17,1873,1
1,10,3403,14,22,2810,0
1,4,71817,10,20,71311,0
1,30,1266,0,40,595,0
1,34,475933,70,8,475256,0
1,33,1682099,7,13,1681482,0
1,32,7594,6,15,6935,1
1,23,472195,49,4,471323,1
1,6,4574,32,27,3870,0
1,39,1728056,36,12,1727928,0
1,23,68829,65,34,68515,1
