Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,20,447558,84,13,447142,1
1,3,9446,79,38,7647,0
0,32,5255,73,19,2763,0
1,10,994934,12,12,993237,0
1,1,2113129,5,17,2112008,1
1,16,339503,95,5,338613,1
1,36,571876,59,5,570902,0
1,1,446968,58,17,445976,0
0,38,747945,60,9,745645,0
0,17,415,76,37,74,0
1,42,34900,81,40,34403,0
0,22,1568049,33,17,1567459,1
1,44,796821,75,11,795886,0
1,1,752839,23,17,752246,1
1,26,1037381,92,16,1036476,1
0,18,434997,7,4,434554,1
1,10,787501,69,12,786539,0
0,0,514049,83,10,513210,1
1,26,1786875,49,16,1786159,1
1,35,767190,26,11,766081,0
1,12,155295,90,41,154171,0
0,17,14817,15,25,14209,0
1,37,74492,20,3,73803,0
1,6,1021876,57,16,1021316,0
1,6,1605890,77,16,1605162,0
1,16,310242,36,13,309811,0
1,16,1067748,78,13,1067248,0
1,10,810033,67,12,808633,0
1,29,524283,28,6,523744,0
1,6,1162532,39,16,1161927,0
1,37,796791,68,12,795304,0
1,1,1226536,44,17,1225625,1
0,7,292232,51,4,291777,0
1,16,493953,85,13,493609,0
0,17,579,46,31,1,1
1,26,1575106,50,16,1574483,0
1,1,1285729,43,17,1284860,1
1,35,738027,48,11,736090,0
1,28,624101,24,6,623469,1
0,17,6256,13,23,4343,1
1,31,3678,42,29,1996,1
0,19,415202,8,4,414870,0
1,19,456990,37,5,456034,0
1,16,26464,56,33,24623,1
0,5,43740,65,2,43105,0
0,27,556441,27,6,555500,0
1,16,302448,34,13,301999,0
0,9,409340,94,17,408633,0
0,2,14261,88,20,11517,1
0,33,69017,91,4,68592,1
1,39,1643722,31,17,1642802,1
1,4,84542,19,27,84111,1
0,17,2665,11,22,1541,1
1,15,1145346,89,14,1144930,0
1,16,1078009,0,13,1077569,1
0,17,598,62,34,2,1
0,10,743148,40,13,742618,0
1,39,1445532,21,17,1444765,1
0,41,828817,3,16,828224,1
1,23,1493,80,39,471,1
1,1,1115404,70,17,1114712,1
1,24,2418,10,21,715,1
1,16,405646,53,13,404846,1
0,25,1735532,71,15,1734645,0
0,10,995699,86,13,995106,1
0,22,2026309,9,17,2025506,1
1,4,483,18,27,1,1
0,14,1708125,2,15,1707238,0
1,39,647282,6,17,646296,1
1,44,888037,87,11,886754,0
0,17,18905,64,36,17574,1
0,34,1735953,72,15,1735636,0
1,6,846780,4,16,844948,1
1,13,3924,63,35,2239,1
0,40,287968,35,13,286817,0
1,44,776048,25,11,775092,0
1,35,15756,45,30,14755,1
1,33,232541,29,0,231249,0
1,43,322283,55,14,321357,0
1,30,75990,1,8,74263,1
1,21,156954,97,1,155782,0
1,0,389254,82,10,388238,1
0,17,12112,17,26,11726,0
0,17,3821,14,24,1521,1
1,1,1680779,32,17,1680060,0
0,17,11816,47,32,9516,1
1,39,571767,74,17,570709,1
1,25,1658775,30,17,1658077,1
1,1,1430208,22,17,1429318,0
1,21,1217,96,42,24,0
1,6,145136,61,7,143469,1
1,6,703062,66,16,702091,0
1,1,408301,93,17,407363,0
1,8,1000,41,28,2,0
0,11,457660,38,5,457121,0
1,2,2307,52,18,1621,1
0,16,309976,54,14,309383,0
0,17,11716,16,26,11321,0
