Gene_Type,Genomic_End_Position,Gene_Db_Id,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1097,12,0,51,1,0
0,30308,51,0,2,27168,1
1,56857,121,1,22,54575,1
0,763,9,0,52,5,0
0,703218,18,0,36,701626,0
1,5286,79,1,75,4336,1
1,93861,98,1,32,92599,1
0,716461,47,0,38,713525,0
0,581462,111,0,4,578019,0
0,212280,147,0,10,211864,0
1,38881,132,1,86,36347,0
0,297517,78,0,14,294389,0
1,81368,20,1,22,80808,1
0,720,140,0,92,1,1
1,742903,101,1,23,741965,0
1,30302,0,1,31,29316,1
0,429068,82,0,25,425925,0
1,118859,96,1,9,115842,1
0,9728,40,0,67,6585,0
0,12029,45,0,69,11478,0
0,315827,125,0,15,312663,0
1,4234,75,1,73,3116,1
1,99546,109,1,12,97369,0
1,32123,57,1,10,29739,1
1,929052,123,1,31,925927,0
0,4123,88,0,76,1628,1
0,116617,54,0,13,113450,0
1,8113,63,1,70,5945,0
0,4229,137,0,89,1371,1
0,33235,6,0,9,30782,1
0,1206,15,0,53,1,0
1,767496,94,1,29,766105,0
1,53098,126,1,34,49949,1
1,99066,112,1,1,97825,1
0,318588,152,0,14,315535,0
0,1289,10,0,49,3,0
0,546,142,0,94,1,1
1,383983,4,1,46,383429,1
1,213521,148,1,10,212382,0
1,57661,42,1,41,55166,1
1,74545,150,1,8,72053,1
1,8781,26,1,59,5653,0
0,599,1,0,58,3,0
0,81855,145,0,10,78709,1
1,341238,27,1,4,338959,1
0,227216,76,0,43,225387,0
1,5181,104,1,79,4192,0
1,99079,52,1,2,97820,1
0,35758,5,0,9,35156,1
1,46653,85,1,38,44743,1
0,521345,23,0,1,518232,0
0,54155,56,0,10,50976,1
0,48145,2,0,30,47690,1
0,1771,19,0,55,5,0
0,9252,127,0,85,7177,0
0,1005,17,0,54,1,1
1,573456,46,1,3,572590,0
0,632799,49,0,19,629461,0
1,1017672,48,1,34,1015075,0
0,1291,13,0,56,11,1
0,55385,129,0,0,52233,1
1,6751,105,1,79,5450,0
1,3425,118,1,84,855,1
0,765509,36,0,22,762384,0
0,750258,8,0,38,748432,0
0,153763,102,0,21,151067,1
0,307836,151,0,14,304756,0
0,13944,61,0,44,11467,1
0,43791,69,0,9,40663,1
1,100486,53,1,13,98009,0
0,1126783,131,0,39,1124243,1
0,4790,124,0,63,1644,1
0,304,128,0,64,2,0
0,30678,114,0,9,29548,1
0,642289,107,0,8,639173,0
0,40231,110,0,82,38468,1
0,704,14,0,57,18,1
1,694715,134,1,26,691713,0
0,33620,84,0,38,30504,1
1,5807,130,1,26,3882,1
1,762911,103,1,26,760413,0
0,100844,32,0,12,99663,0
1,506465,70,1,19,504186,1
0,559272,80,0,40,556483,0
0,4270,35,0,42,1799,1
1,824374,62,1,26,822413,0
1,672501,86,1,24,670264,0
0,484,139,0,91,2,1
1,7065,67,1,72,6076,1
0,506906,99,0,14,503742,0
1,96937,120,1,30,96035,1
1,1651,93,1,62,830,1
0,302755,59,0,14,301802,0
0,1330,11,0,50,2,0
1,492209,22,1,1,489726,0
0,704396,16,0,36,703461,0
1,7840,66,1,16,6842,1
0,24175,37,0,47,21059,1
1,1482,106,1,80,1,0
1,3560,30,1,65,861,0
0,40333,119,0,84,37199,1
0,6322,44,0,15,3197,1
1,673825,81,1,26,670661,0
1,201983,146,1,10,197949,0
1,232598,154,1,3,230508,0
0,52289,83,0,38,48939,1
1,789292,95,1,29,788021,0
1,714709,100,1,26,711560,0
1,1815,92,1,78,1,0
0,11460,143,0,95,9091,1
0,772874,149,0,28,769737,0
1,341160,155,1,3,338881,1
0,135805,156,0,5,132644,0
0,326955,31,0,18,323962,0
1,2735,77,1,74,246,1
1,4884,50,1,46,1753,1
0,562767,58,0,6,559651,0
1,676357,28,1,23,675068,0
0,11360,90,0,77,8184,1
0,1011,7,0,48,1,0
0,7732,64,0,71,4595,0
0,696,115,0,83,1,0
1,552643,117,1,20,550361,1
0,225838,91,0,17,222980,0
0,5115,55,0,38,2545,1
0,296392,24,0,15,293633,0
1,36371,141,1,93,34218,1
0,220362,116,0,18,217744,0
1,532553,153,1,14,531252,0
0,34862,87,0,28,34431,1
1,638513,71,1,7,636579,0
1,685611,68,1,17,683131,0
1,40751,41,1,68,38379,1
0,5438,138,0,90,3198,1
0,8449,122,0,45,5315,1
0,37772,135,0,11,34755,1
1,11809,38,1,66,9641,0
1,8362,133,1,87,5834,0
0,96112,113,0,1,92984,1
1,6579,65,1,16,5257,1
1,16287,34,1,60,13156,1
1,371763,3,1,45,371065,1
0,3141,89,0,61,982,1
1,5564,39,1,36,2433,1
0,567659,25,0,33,567123,0
0,634208,29,0,39,633441,0
1,673601,73,1,27,670680,0
1,741862,157,1,23,740972,0
1,11203,43,1,41,8075,1
1,12199,144,1,96,10430,0
1,631461,72,1,7,630235,0
0,2165,136,0,88,1,1
0,68231,97,0,23,65097,1
0,46094,74,0,37,43491,1
1,301337,21,1,5,298548,1
1,796646,60,1,29,794730,0
0,11508,108,0,81,8902,1
0,1015710,33,0,35,1014604,0
