Gene_Type,Genomic_End_Position,Gene_Db_Id,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,373963,28,0,8,372953,1
0,257891,50,0,8,256881,1
0,235050,56,0,9,234100,1
0,213667,38,0,13,212129,0
0,587198,71,0,3,585768,1
0,2607,104,0,23,1612,0
0,1290307,45,0,18,1289624,0
0,318674,67,0,9,317781,1
0,340298,30,0,8,339360,0
0,4257,84,0,33,3034,1
1,714,42,1,22,1,1
1,441837,113,1,2,440959,1
0,426250,89,0,8,425120,0
0,575815,96,0,8,574721,1
0,7796,77,0,30,7146,0
0,705562,23,0,18,704282,0
1,217615,120,1,6,216422,0
0,553985,25,0,3,552546,0
1,381686,70,1,19,380409,1
1,669822,44,1,17,668569,1
1,220225,39,1,13,218687,0
0,9331,13,0,26,7841,0
1,539819,19,1,11,538632,1
0,762518,24,0,18,761364,0
0,633557,4,0,18,632190,0
0,272650,51,0,8,271751,1
1,117411,119,1,0,116032,0
1,283947,40,1,13,282400,0
0,319749,111,0,17,318496,0
0,368482,29,0,8,367493,1
0,502004,92,0,8,500910,1
0,549818,101,0,8,548385,1
0,523271,18,0,11,522144,1
0,626457,21,0,17,625132,0
0,307709,76,0,8,306750,0
1,267266,52,1,8,266289,1
0,747400,64,0,17,746270,1
0,496221,91,0,8,495283,1
0,24337,79,0,31,23213,0
0,29669,80,0,31,28731,0
0,617521,99,0,8,616619,1
0,1080003,106,0,17,1078741,1
0,1505678,22,0,18,1504257,0
1,427442,60,1,12,425919,0
0,431585,90,0,8,430644,0
1,2899,109,1,35,1952,0
1,1905561,49,1,17,1904098,1
1,64367,68,1,11,62844,1
0,263994,8,0,14,262717,0
1,924009,58,1,14,922486,0
0,288343,117,0,9,287549,1
0,514203,114,0,2,514066,0
0,722553,63,0,17,721447,1
1,1706820,5,1,17,1705558,1
0,212824,57,0,9,211883,1
0,444750,88,0,8,443839,1
0,493306,85,0,13,491759,0
0,245389,41,0,13,244757,0
0,437122,87,0,8,436220,0
0,1798125,75,0,18,1796725,0
0,518865,115,0,2,517981,0
0,544003,98,0,8,543026,1
1,286679,59,1,12,285567,0
1,20974,82,1,32,19538,1
0,16755,14,0,21,15559,1
0,456889,102,0,14,455630,1
0,5615,54,0,29,4575,1
1,14110,53,1,29,13145,1
0,1556126,74,0,16,1554660,1
0,622717,37,0,2,621833,0
0,496985,116,0,4,495984,1
0,2612,2,0,20,1824,0
0,1562,20,0,28,393,1
0,284733,112,0,2,283762,0
0,218013,33,0,7,216889,0
0,489099,95,0,8,488107,1
1,400752,61,1,12,399232,0
0,86161,15,0,27,85631,1
0,514924,66,0,2,514307,0
0,14514,81,0,31,13402,1
0,1056372,105,0,17,1055425,1
0,67859,16,0,1,66546,0
0,514925,17,0,11,513729,1
0,315559,118,0,9,315128,1
0,1977944,47,0,17,1976967,0
0,229688,55,0,9,228501,1
0,1855873,27,0,18,1854422,1
1,604409,97,1,8,603339,1
0,1862763,26,0,18,1861267,1
0,541977,108,0,10,540886,1
1,3259,103,1,34,2075,1
0,449733,1,0,13,448939,0
0,579257,43,0,9,578298,1
0,1593162,46,0,16,1591861,0
0,507159,93,0,8,506107,1
0,437723,35,0,9,436782,1
0,1564652,0,0,16,1564452,1
0,625575,100,0,8,624448,1
0,1263503,73,0,16,1262121,0
0,220328,31,0,8,219990,1
0,418436,34,0,9,417618,0
0,28060,83,0,32,27086,1
1,16230,9,1,24,14896,0
0,481887,94,0,8,480445,1
0,19265,78,0,31,18156,1
1,546194,72,1,0,544968,1
0,273888,86,0,9,272725,1
0,48657,12,0,25,47974,1
0,1679690,6,0,17,1678407,0
0,976612,65,0,17,975470,0
0,1497988,69,0,18,1497068,0
0,190441,11,0,15,189542,0
1,463276,62,1,12,461756,0
0,2058209,7,0,18,2056686,1
0,8433,110,0,35,7429,0
0,212508,32,0,8,211570,1
1,347997,36,1,12,346477,0
0,1973004,48,0,17,1972075,1
0,197165,10,0,5,196203,1
0,1698039,3,0,16,1696570,1
0,1127958,107,0,17,1127086,1
