Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,1174010,188,188,2,0,43,1168695
0,7476,1,0,2,0,60,127
1,609988,155,155,1,0,10,605538
1,1168419,160,160,3,1,50,1158055
0,1169344,39,39,1,0,44,1158920
1,18759,149,149,3,1,107,8548
1,52109,57,57,1,0,5,41772
1,18044,36,36,1,0,30,13358
0,424181,138,138,1,0,10,413739
0,225503,222,222,1,0,8,215040
1,940675,88,88,1,0,50,930293
0,330111,107,107,1,0,15,322282
1,458221,51,51,1,0,10,447770
0,328819,65,65,1,0,30,318764
0,18045,173,173,1,0,110,7588
1,83617,100,100,1,0,27,73238
0,743366,12,12,3,1,28,733188
0,723117,129,129,3,1,33,714922
0,796435,41,41,3,1,32,786038
0,296067,108,108,3,1,33,288610
1,5595,7,7,2,0,63,1
0,818767,118,118,1,0,29,810066
0,573981,156,156,1,0,10,563530
1,390898,218,218,1,0,34,380639
1,6832,25,25,2,0,75,2
1,46065,190,190,1,0,38,35644
0,842551,211,211,1,0,35,832124
1,63253,174,174,1,0,111,52823
1,78813,196,196,1,0,52,72588
0,149649,113,113,2,0,23,143326
0,816094,67,67,1,0,33,805796
0,11516,31,31,3,1,78,2172
1,26884,62,62,1,0,16,16478
1,22907,2,1,2,0,51,17262
0,5929,148,148,1,0,70,3
0,193120,183,183,2,0,23,183374
0,9732,191,191,1,0,116,1
1,970184,184,184,1,0,46,959784
0,213628,99,99,1,0,53,203258
0,647211,114,114,3,1,46,636820
1,138304,215,215,1,0,13,127910
1,13701,150,150,1,0,108,3220
0,328850,46,46,1,0,29,318795
0,6482,4,4,2,0,62,3
0,2345195,165,165,1,0,52,2334792
0,24168,110,110,3,1,98,13795
1,459416,63,63,1,0,34,449073
0,3034,90,90,2,0,95,2
1,252973,111,111,1,0,34,245186
1,62951,93,93,1,0,54,52593
1,347060,219,219,2,0,34,339083
1,45907,205,205,2,0,51,38978
1,141214,130,130,1,0,27,130814
0,789447,212,212,3,1,35,779023
0,475972,77,77,2,0,2,470489
1,409474,179,179,1,0,33,399029
1,47512,123,123,1,0,29,39092
1,802151,13,13,1,0,51,791817
0,33876,199,199,1,0,121,23431
1,1717944,170,170,2,0,49,1709332
0,745319,38,38,1,0,32,734937
0,891588,19,19,1,0,37,881293
1,934030,201,201,3,1,49,926063
1,127475,171,171,1,0,55,117093
0,13163,66,66,1,0,87,2601
1,31191,119,119,1,0,35,20812
0,7954,192,192,2,0,117,2
1,229560,213,213,1,0,28,219184
0,571102,14,14,1,0,39,563645
1,69531,217,217,1,0,13,59128
0,5243,69,69,1,0,88,2
0,5956,21,21,1,0,74,733
1,12411,133,133,3,1,102,1858
1,7614,0,2,0,0,61,1030
1,54831,125,125,1,0,52,44338
0,2370774,163,163,1,0,51,2360422
1,40663,197,197,1,0,120,30197
1,24830,101,101,1,0,27,14646
1,79790,207,207,3,1,51,69342
1,64484,127,127,2,0,30,55971
1,127990,147,147,3,1,54,117557
1,32850,186,186,1,0,9,28143
0,207695,53,53,1,0,15,204667
1,36235,216,216,1,0,13,25871
0,11147,32,32,2,0,79,4143
1,1233807,177,177,3,1,46,1224493
0,30892,74,74,1,0,22,20468
1,54812,6,6,1,0,32,50482
0,311779,48,48,1,0,52,306168
1,53674,203,203,1,0,59,43286
1,21015,76,76,1,0,18,14486
0,5481,153,153,2,0,109,1
1,9243,23,23,3,1,66,3028
1,89016,116,116,1,0,42,78604
0,574518,141,141,3,1,12,565420
1,27113,193,193,3,1,118,16665
1,71128,81,81,1,0,45,60752
0,347622,84,84,1,0,51,337195
0,65194,22,22,1,0,0,54806
1,6388,121,121,1,0,100,323
0,243214,167,167,1,0,33,232769
0,62219,37,37,1,0,82,51870
1,19188,33,33,1,0,80,11071
1,22103,169,169,1,0,33,14689
0,239506,159,159,2,0,15,231410
0,217558,3,3,3,1,25,208664
0,1049310,60,60,1,0,48,1038856
0,8611,115,115,1,0,69,3
1,35770,42,42,3,1,83,25298
0,11755,17,17,1,0,73,1460
0,586972,45,45,1,0,8,576509
1,88568,198,198,1,0,120,78117
0,13525,106,106,3,1,97,3143
0,623676,89,89,1,0,12,613279
1,11537,175,175,1,0,112,1098
0,505288,11,11,1,0,4,494840
0,780586,126,126,1,0,36,770171
1,158064,214,214,1,0,13,147781
1,12312,195,195,2,0,52,7990
0,1352921,105,105,1,0,50,1342479
1,353296,96,96,2,0,52,348857
0,5893,35,35,1,0,81,1
0,1147531,122,122,1,0,43,1137248
0,595061,49,49,3,1,25,584655
0,1048694,137,137,1,0,41,1038261
1,214744,9,9,3,1,38,206012
0,3341,189,189,2,0,115,3
0,5467,73,73,2,0,91,2
1,225073,34,34,1,0,27,217409
1,6046,79,79,2,0,93,2
0,610602,140,140,1,0,26,600223
0,548110,151,151,1,0,18,541838
0,47046,59,59,3,1,68,36631
0,2017022,5,5,2,0,49,2011656
0,566844,202,202,3,1,17,556376
1,39653,24,24,1,0,37,33702
1,19647,56,56,1,0,85,9304
0,1020605,200,200,3,1,49,1014285
1,17336,68,68,1,0,12,6891
1,6309,70,70,3,1,89,1
0,6144,64,64,1,0,86,3
0,796416,187,187,1,0,29,789632
0,252780,210,210,1,0,16,242332
0,18102,16,16,1,0,72,7759
0,8750,10,10,3,1,65,352
0,230403,209,209,1,0,10,222871
0,638425,172,172,1,0,18,628055
1,34341,15,15,2,0,32,26002
0,5690,78,78,3,1,92,3
1,6239,135,135,2,0,104,3
1,5231,26,26,1,0,67,1
1,1301475,103,103,1,0,50,1291027
0,536745,47,47,1,0,18,531839
0,1351353,152,152,3,1,46,1340908
1,107347,18,18,1,0,57,100946
1,5029,28,28,2,0,77,2
1,82139,162,162,1,0,3,71676
1,534898,112,112,2,0,33,529028
1,97751,80,80,2,0,23,91272
0,1028641,20,20,1,0,40,1018586
0,64329,97,97,1,0,1,53935
0,19778,83,83,1,0,94,9420
1,364064,58,58,1,0,33,353619
0,501262,102,102,1,0,20,494255
1,1392969,104,104,1,0,50,1382515
0,736142,224,224,3,1,29,726108
0,13390,158,158,1,0,71,2987
0,635740,95,95,1,0,14,625292
1,29124,136,136,1,0,104,18715
0,510863,220,220,1,0,6,500484
0,288082,208,208,1,0,51,277652
1,12200,8,8,1,0,64,1905
1,12299,144,144,3,1,106,2049
0,775910,131,131,1,0,33,765552
0,424985,124,124,1,0,31,418893
1,11317,86,86,3,1,30,5433
1,487135,85,85,1,0,38,478468
0,656937,154,154,1,0,22,646543
0,400877,71,71,2,0,31,396354
0,490459,109,109,1,0,7,480062
1,188433,128,128,1,0,10,178087
1,34480,143,143,1,0,24,24017
1,76316,29,29,2,0,31,71757
1,22220,223,223,1,0,39,11901
0,508446,157,157,1,0,10,497998
1,1684949,55,55,1,0,50,1674489
1,72152,146,146,1,0,28,61794
1,7036,194,194,1,0,119,1
1,40882,91,91,3,1,41,30431
1,14711,134,134,3,1,103,4479
1,5905,54,54,1,0,84,1
1,8139,178,178,3,1,113,1
1,15047,120,120,3,1,99,4680
1,563694,142,142,1,0,26,556752
1,46671,98,98,1,0,96,36289
0,138943,50,50,2,0,23,131411
1,600090,181,181,1,0,33,589645
0,656716,87,87,1,0,21,646334
0,56068,176,176,1,0,112,45617
0,2345983,164,164,1,0,51,2335691
1,19621,52,52,1,0,57,13649
1,25728,92,92,3,1,56,21774
1,60872,206,206,1,0,51,50520
0,698669,82,82,1,0,23,688299
0,545365,221,221,1,0,19,535076
1,7213,72,72,1,0,90,1
1,12287,132,132,3,1,101,1776
0,572820,182,182,1,0,11,566630
0,1211309,161,161,1,0,50,1200861
1,53597,30,30,1,0,58,43140
0,7785,139,139,2,0,105,1726
0,1848415,40,40,1,0,47,1838054
0,902706,94,94,1,0,38,892584
1,52443,43,43,3,1,49,42064
1,34912,168,168,1,0,33,27714
0,685626,117,117,1,0,30,675331
1,11957,27,27,3,1,76,1581
1,31572,75,75,1,0,36,21127
1,12152,204,204,1,0,122,4158
1,102066,44,44,1,0,11,91621
1,364951,61,61,3,1,56,356759
1,6015,145,145,2,0,28,103
1,571446,180,180,3,1,33,561022
0,9497,185,185,3,1,114,3
0,332104,166,166,1,0,33,321641
