Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,1037760,370,370,4,0,22,1037092
0,18293,405,405,3,1,95,17649
0,7200,136,136,4,0,45,6637
0,55025,360,360,4,0,83,54438
0,1464254,88,88,4,0,28,1463646
1,487260,204,204,4,0,23,486679
0,1995197,221,221,4,0,27,1994529
0,9057,389,389,4,0,90,8128
0,4555,133,133,4,0,64,3962
0,683253,98,98,4,0,28,682675
1,807166,154,154,4,0,22,806492
0,112468,402,402,1,1,94,111971
0,4870,342,342,4,0,78,4217
0,2682,268,268,4,0,76,1954
1,163066,8,8,4,0,8,162521
0,1955674,334,334,4,0,28,1955171
1,756041,99,99,4,0,28,755460
1,1368555,312,312,4,0,28,1367977
1,1487064,92,92,4,0,28,1486369
1,36247,72,72,4,0,15,35642
0,1187163,348,348,4,0,22,1186465
0,120884,34,34,2,0,14,120498
1,1921473,108,108,4,0,28,1920904
0,438865,353,353,4,0,17,438233
0,308712,371,371,4,0,16,308044
0,1033564,302,302,4,0,18,1032920
0,1604078,116,116,4,0,28,1603452
0,85370,61,61,4,0,58,84681
0,17407,265,265,4,0,74,16820
0,497483,126,126,4,0,17,496893
1,1707996,28,28,4,0,27,1707370
1,6677,380,380,4,0,86,6162
1,278070,226,226,4,0,3,277438
0,1731530,338,338,4,0,28,1730895
0,477620,209,209,4,0,6,476973
0,565167,383,383,2,0,20,564760
0,10321,127,127,4,0,61,9749
0,1686468,112,112,4,0,28,1685914
0,7629,234,234,4,0,70,6979
0,1645,357,357,4,0,83,1004
1,376974,55,55,4,0,3,376393
0,767988,275,275,4,0,27,767290
1,426818,139,139,4,0,4,426186
1,39701,52,52,4,0,57,39237
0,265007,263,263,4,0,23,264339
1,782,46,46,4,0,54,129
1,1132814,320,320,4,0,28,1132212
1,30799,73,73,4,0,15,30158
1,159847,67,67,4,0,14,159101
0,694973,310,310,4,0,27,694383
1,1637787,114,114,4,0,28,1637185
0,487905,171,171,4,0,3,487330
1,356421,430,430,3,1,13,355831
0,1932015,107,107,4,0,28,1931470
0,2027,39,39,4,0,52,1341
0,1743790,337,337,4,0,28,1743146
0,515441,210,210,4,0,6,514617
1,1118634,322,322,4,0,28,1117975
0,347837,17,17,3,1,3,347313
0,250738,326,326,4,0,3,250097
1,1579,3,3,4,0,34,1004
0,570400,76,76,4,0,7,569783
0,544317,148,148,1,1,22,543658
0,52129,269,269,4,0,76,51491
1,19103,381,381,3,1,86,18480
0,4829,262,262,4,0,73,4128
1,599763,237,237,4,0,10,598996
0,430625,12,12,4,0,16,430509
1,1142859,410,410,4,0,27,1142287
0,339516,229,229,4,0,3,338926
1,1413348,213,213,4,0,26,1412725
1,1066542,406,406,4,0,27,1065931
0,15668,346,346,4,0,79,15015
1,6518,307,307,4,0,1,5874
1,26110,309,309,4,0,14,25487
1,504309,428,428,3,1,4,503911
1,610947,368,368,4,0,22,610288
0,1935320,220,220,4,0,27,1934724
0,216763,325,325,4,0,3,216122
1,588625,159,159,3,1,4,587969
0,416038,384,384,4,0,31,415541
1,463493,101,101,3,1,0,462885
1,14001,395,395,4,0,92,13402
0,276224,138,138,4,0,22,275592
1,602338,323,323,4,0,6,601643
1,1845,390,390,2,0,91,1489
0,314714,123,123,4,0,12,314181
0,1473130,87,87,4,0,28,1472456
1,1100102,408,408,4,0,27,1099440
0,444695,31,31,4,0,3,444042
0,42175,387,387,4,0,88,41594
0,9261,129,129,4,0,62,8539
0,382637,57,57,4,0,3,382086
1,35038,306,306,4,0,1,34388
0,410050,252,252,4,0,16,409331
1,13194,351,351,3,1,81,12661
1,641578,83,83,4,0,11,640880
1,320021,423,423,4,0,4,319437
0,70385,303,303,4,0,15,69732
0,2893,385,385,4,0,87,2228
1,36160,19,19,4,0,14,35462
1,628319,186,186,3,1,13,627354
0,978860,280,280,1,1,27,978390
0,288480,176,176,4,0,17,287506
0,331967,155,155,4,0,16,331098
0,467996,366,366,4,0,22,467418
0,1344856,201,201,4,0,21,1344239
0,340144,414,414,4,0,14,339536
0,218124,168,168,4,0,17,217234
0,17055,48,48,4,0,56,16375
1,1049,289,289,4,0,48,204
1,789660,153,153,4,0,22,789061
1,855201,23,23,4,0,27,854569
1,281,10,10,5,0,36,3
0,16035,344,344,4,0,78,15472
1,301818,283,283,4,0,14,301183
1,6125,11,11,4,0,36,5631
0,578960,77,77,4,0,7,578253
0,1665163,29,29,4,0,27,1664528
1,538452,147,147,4,0,22,537880
0,278450,248,248,4,0,16,277617
0,473006,258,258,4,0,16,472107
0,16573,167,167,4,0,66,15977
0,1236,125,125,4,0,44,691
1,2152710,106,106,4,0,28,2152117
0,750998,203,203,4,0,16,750414
1,497850,299,299,4,0,10,497083
1,653543,84,84,4,0,11,652923
0,729959,96,96,4,0,28,729363
1,350824,415,415,2,0,14,350453
1,584282,134,134,4,0,10,583626
0,425782,143,143,2,0,14,425384
0,1183104,328,328,4,0,26,1182499
