Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
0,301826,244,244,2,0,88,31,299487
1,32772,96,96,1,1,116,4,29866
1,373899,27,27,2,0,27,5,371611
0,736453,77,77,3,0,71,23,733583
1,190552,78,78,2,0,51,21,188093
1,1516533,41,41,2,0,61,32,1514173
0,476728,160,160,2,0,106,15,474101
1,54199,30,30,2,0,46,58,51578
1,988200,208,208,2,0,35,23,985546
1,1062895,235,235,2,0,84,31,1060310
0,246580,85,85,2,0,6,19,243767
0,758419,43,43,2,0,22,22,756089
0,488327,204,204,3,0,23,23,485541
0,322020,238,238,1,1,92,19,319249
0,33755,25,25,2,0,55,44,30969
0,355891,246,246,2,0,116,6,353552
1,993191,42,42,2,0,61,32,990858
1,1150558,194,194,1,1,87,23,1147775
0,1152306,223,223,2,0,115,24,1149583
0,1161129,167,167,2,0,111,32,1158613
1,32977,217,217,1,1,114,85,30248
1,33431,24,24,2,0,97,55,30843
0,184674,4,4,2,0,94,12,182293
1,1757922,190,190,2,0,34,32,1755496
0,553480,175,175,3,0,65,1,550610
0,16153,28,28,2,0,46,56,13502
1,292921,247,247,2,0,119,6,290183
0,256062,180,180,2,0,121,5,253732
0,25495,48,48,2,0,97,61,22811
1,8691,197,197,2,0,30,78,6085
1,180436,214,214,2,0,44,11,177890
1,15222,213,213,2,0,8,82,12538
0,867065,115,115,2,0,71,23,864531
1,1966199,102,102,2,0,40,31,1963551
0,557682,143,143,2,0,106,15,555076
0,1024944,234,234,2,0,84,31,1022305
0,519004,253,253,2,0,74,7,516413
0,1176004,166,166,2,0,104,32,1173581
1,156435,32,32,3,0,84,19,153649
1,447956,178,178,2,0,64,24,445458
0,735391,127,127,2,0,73,31,733043
0,1102343,227,227,2,0,77,24,1099539
0,1314205,88,88,2,0,111,32,1311887
1,1034195,210,210,2,0,5,23,1031508
1,650434,37,37,3,0,38,14,647633
1,1800605,107,107,2,0,73,31,1797939
1,125132,79,79,2,0,47,4,122370
0,17633,20,20,1,1,64,53,14982
0,4209,120,120,2,0,67,69,1423
0,187941,233,233,2,0,37,5,185287
0,1065877,200,200,2,0,110,26,1063010
0,432191,134,134,2,0,18,16,429708
0,536061,258,258,2,0,86,15,533287
1,568671,174,174,2,0,2,32,566338
0,1123469,222,222,1,1,93,24,1120611
0,443238,158,158,2,0,105,15,440629
0,422008,202,202,2,0,33,17,419294
1,86749,153,153,1,1,68,3,84020
1,50888,152,152,2,0,52,20,48174
0,107074,256,256,1,1,72,2,104540
0,622377,39,39,2,0,10,31,620053
0,404953,162,162,2,0,86,15,402317
1,352788,251,251,2,0,110,18,350182
0,185153,22,22,2,0,130,27,182502
0,389747,165,165,1,1,128,15,387120
0,309384,109,109,2,0,121,5,306937
1,585607,80,80,2,0,119,6,583331
0,7162,18,18,2,0,46,51,4697
0,378614,164,164,2,0,86,15,375975
1,23290,219,219,2,0,73,50,20606
0,9867,58,58,2,0,97,63,7462
0,473501,203,203,3,0,122,23,470631
0,1713823,6,6,2,0,85,30,1711409
0,381075,239,239,2,0,18,16,378301
0,14845,45,45,3,0,51,60,11996
0,8092,215,215,2,0,43,83,5759
1,13979,199,199,1,1,0,80,11352
0,1053239,111,111,2,0,3,23,1050549
0,15062,84,84,2,0,46,66,12438
1,1100880,196,196,1,1,39,23,1098211
1,8115,173,173,3,0,45,49,5269
1,379418,171,171,2,0,52,34,376740
1,2047179,186,186,2,0,80,31,2044399
1,665447,72,72,3,0,23,23,662586
0,475012,141,141,2,0,113,7,472298
0,1324430,87,87,2,0,61,32,1322082
0,1156973,237,237,2,0,31,31,1154469
