Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,98,7608,41,41,1,90,6745,5,1
1,115,326018,102,102,1,22,323649,5,0
1,15,476915,37,37,1,3,476025,5,0
0,52,346408,204,204,0,61,346178,4,1
1,140,216862,124,124,1,55,214952,5,0
1,140,80177,230,230,1,13,78453,5,1
1,92,8014,84,84,1,10,5234,5,1
1,63,557,91,91,1,106,3,5,1
1,74,74182,14,14,1,21,73355,5,1
0,86,346850,203,203,0,61,346512,2,1
1,79,921959,64,64,1,35,919047,5,0
1,8,1129891,146,146,1,42,1128836,5,0
1,11,2216,40,40,1,89,1884,5,0
1,77,56787,222,222,1,64,55507,5,1
1,122,612,70,70,1,43,103,5,1
1,135,929,174,174,1,129,3,5,0
1,120,9109,153,153,1,27,6119,5,1
1,120,35665,151,151,1,27,33647,5,1
1,35,223303,156,156,1,24,221369,5,0
1,88,30441,195,195,1,132,27628,5,1
1,76,1839347,130,130,1,53,1836461,5,0
0,26,71748,32,32,0,52,71398,0,1
1,66,122795,35,35,1,8,121053,5,0
1,8,1121147,213,213,1,42,1120731,5,0
1,131,216652,229,229,1,26,216302,5,1
1,73,53404,239,239,1,37,53066,5,1
1,15,20561,119,119,1,40,20007,5,1
1,7,215357,61,61,1,25,214062,5,1
1,105,543960,136,136,1,6,542011,5,0
1,89,23503,234,234,1,5,21764,5,1
1,59,57738,223,223,1,64,56893,5,1
1,87,857583,109,109,1,32,854629,5,0
1,35,615828,186,186,1,24,612868,5,0
1,23,3521,175,175,1,85,564,5,0
1,114,640889,122,122,1,14,638082,5,0
1,12,119855,181,181,1,7,118959,5,1
1,103,351059,63,63,1,58,348930,5,0
1,136,4441,69,69,1,51,1115,5,1
0,47,218,155,155,0,123,3,1,0
1,64,578507,187,187,1,24,577500,5,0
1,102,835,4,4,1,88,1,5,0
1,61,12423,126,126,1,25,10753,5,1
1,140,100170,26,26,1,13,98553,5,1
1,20,76293,27,27,1,59,74227,5,1
1,62,17384,123,123,1,115,15111,5,1
1,15,395,200,200,1,86,3,5,1
0,95,1415811,19,19,0,46,1415230,1,0
1,132,229154,238,238,1,7,227562,5,0
