Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position
1,3818,117,117,70,2061
0,497232,50,50,1,497002
0,1220025,98,98,36,1218841
0,2356,7,7,44,188
1,553680,111,111,24,551527
0,17469,87,87,49,15220
0,551749,32,32,18,551012
1,160581,125,125,12,159610
1,17708,30,30,57,16425
0,802663,58,58,29,801878
1,501852,59,59,33,499696
1,1105132,106,106,32,1103840
1,590889,96,96,15,588715
0,2355697,100,100,38,2354525
1,5081,19,19,11,2874
0,2356776,6,6,38,2355799
0,1431,21,21,51,1
0,1193345,105,105,32,1191366
0,195717,5,5,7,194815
1,395040,110,110,24,392911
0,1058918,108,108,34,1056777
1,114991,85,85,3,114542
1,161676,78,78,12,160684
1,5239,49,49,60,3059
1,2942,34,34,58,882
1,603844,97,97,15,602780
1,18169,8,8,16,16115
0,508321,33,33,2,506186
1,32651,27,27,55,31587
0,646319,103,103,13,643902
1,346367,41,41,24,344166
0,2001346,64,64,37,1998842
0,705460,51,51,24,703286
0,203063,81,81,6,200871
0,5373,104,104,67,3175
1,80858,14,14,38,80019
0,53186,22,22,0,51024
1,18788,26,26,42,16752
1,5374,107,107,68,4073
0,305003,101,101,24,302736
0,194168,89,89,18,192141
1,605835,113,113,32,604711
1,302402,44,44,12,301785
1,628874,56,56,15,628374
1,1560715,16,16,38,1558235
1,141673,126,126,12,140918
1,38921,60,60,11,36609
1,352533,109,109,40,352018
0,879776,20,20,27,877512
1,229342,93,93,27,227192
1,6731,35,35,29,4560
1,628270,37,37,15,627785
0,875271,71,71,32,874933
1,53693,57,57,30,52560
1,1092022,122,122,37,1090076
0,122127,119,119,71,120202
1,2117,25,25,54,3
0,573072,94,94,18,571858
0,10034,9,9,45,9492
1,64228,75,75,22,62066
1,238993,67,67,25,236726
0,479217,79,79,14,477172
0,606833,36,36,38,604902
1,356850,24,24,41,356083
0,6331,18,18,50,3935
1,69895,4,4,22,67685
1,27802,123,123,73,25553
1,4270,23,23,52,3989
0,149082,120,120,71,147823
0,551317,83,83,19,549344
1,85717,39,39,3,84713
0,12912,3,3,43,12295
1,116089,76,76,2,115388
0,24063,90,90,66,21859
0,399746,92,92,19,397836
0,551038,38,38,15,548948
1,258202,88,88,27,255983
1,7513,2,2,26,7115
0,522056,129,129,14,520707
0,560632,53,53,18,560198
1,8796,43,43,4,6766
0,242101,45,45,17,241769
0,742170,80,80,24,739927
0,13846,12,12,46,12761
1,886828,77,77,37,884852
0,656983,70,70,32,654773
1,29812,132,132,28,28472
1,45873,86,86,65,43711
0,2323,66,66,62,1850
0,510087,17,17,32,508918
1,20468,95,95,5,18309
0,47761,116,116,70,45575
1,2179419,99,99,37,2176948
0,143770,130,130,8,141896
0,395811,48,48,21,393328
0,50190,28,28,56,48196
1,107570,31,31,10,105642
1,216636,68,68,25,214564
1,26356,42,42,59,24182
1,521,0,0,53,3
0,2747,84,84,64,2046
0,843337,63,63,23,841178
0,630544,13,13,19,630077
1,61722,124,124,37,61057
0,414917,91,91,19,412986
1,9794,121,121,72,7884
0,630340,40,40,20,629867
0,576256,1,1,18,575726
1,8315,11,11,32,7779
0,640806,112,112,10,638620
0,808511,73,73,19,806334
1,45587,118,118,71,43530
1,7341,15,15,47,5542
1,591642,55,55,15,591283
0,28251,115,115,69,27310
1,15656,47,47,1,13635
0,495949,82,82,19,493973
1,33070,65,65,61,31073
0,12118,52,52,48,9896
1,569,74,74,63,3
0,1428134,62,62,36,1426182
0,2001160,72,72,35,1999253
1,967593,54,54,38,965515
0,1157244,29,29,31,1157023
1,292285,128,128,25,290090
1,131468,102,102,39,129252
0,429,127,127,74,1
0,461012,69,69,10,460530
0,804175,46,46,24,801998
0,1718373,10,10,36,1716442
0,111044,131,131,9,109113
0,853635,114,114,32,852247
1,1375094,61,61,36,1372983
