Strand_Orientation,Orthologous_Gene_Id,Chromosome_Id,Genomic_Start_Position,Gene_Type,Encoded_Protein,Gene_Db_Id,Gene_Id,Genomic_End_Position
1,169,22,1037092,0,4,370,370,1037760
0,157,95,17649,1,3,405,405,18293
0,24,45,6637,0,4,136,136,7200
0,100,83,54438,0,4,360,360,55025
0,96,28,1463646,0,4,88,88,1464254
1,125,23,486679,0,4,204,204,487260
0,150,27,1994529,0,4,221,221,1995197
0,90,90,8128,0,4,389,389,9057
0,131,64,3962,0,4,133,133,4555
0,57,28,682675,0,4,98,98,683253
1,117,22,806492,0,4,154,154,807166
0,37,94,111971,1,1,402,402,112468
0,140,78,4217,0,4,342,342,4870
0,131,76,1954,0,4,268,268,2682
1,143,8,162521,0,4,8,8,163066
0,161,28,1955171,0,4,334,334,1955674
1,96,28,755460,0,4,99,99,756041
1,75,28,1367977,0,4,312,312,1368555
1,28,28,1486369,0,4,92,92,1487064
1,62,15,35642,0,4,72,72,36247
0,169,22,1186465,0,4,348,348,1187163
0,107,14,120498,0,2,34,34,120884
1,57,28,1920904,0,4,108,108,1921473
0,21,17,438233,0,4,353,353,438865
0,26,16,308044,0,4,371,371,308712
0,168,18,1032920,0,4,302,302,1033564
0,75,28,1603452,0,4,116,116,1604078
0,76,58,84681,0,4,61,61,85370
0,42,74,16820,0,4,265,265,17407
0,114,17,496893,0,4,126,126,497483
1,69,27,1707370,0,4,28,28,1707996
1,89,86,6162,0,4,380,380,6677
1,158,3,277438,0,4,226,226,278070
0,57,28,1730895,0,4,338,338,1731530
0,113,6,476973,0,4,209,209,477620
0,80,20,564760,0,2,383,383,565167
0,42,61,9749,0,4,127,127,10321
0,96,28,1685914,0,4,112,112,1686468
0,42,70,6979,0,4,234,234,7629
0,104,83,1004,0,4,357,357,1645
1,151,3,376393,0,4,55,55,376974
0,48,27,767290,0,4,275,275,767988
1,129,4,426186,0,4,139,139,426818
1,42,57,39237,0,4,52,52,39701
0,5,23,264339,0,4,263,263,265007
1,127,54,129,0,4,46,46,782
1,57,28,1132212,0,4,320,320,1132814
1,66,15,30158,0,4,73,73,30799
1,98,14,159101,0,4,67,67,159847
0,69,27,694383,0,4,310,310,694973
1,57,28,1637185,0,4,114,114,1637787
0,151,3,487330,0,4,171,171,487905
1,138,13,355831,1,3,430,430,356421
0,96,28,1931470,0,4,107,107,1932015
0,70,52,1341,0,4,39,39,2027
0,57,28,1743146,0,4,337,337,1743790
