Strand_Orientation,Orthologous_Gene_Id,Chromosome_Id,Genomic_Start_Position,Gene_Type,Encoded_Protein,Gene_Db_Id,Gene_Id,Genomic_End_Position
0,27,44,1158920,0,1,41,41,1169344
1,2,60,1030,0,0,2,0,7614
1,123,10,605538,0,1,156,156,609988
0,131,49,1200861,0,1,161,161,1211309
1,18,45,60752,0,1,81,81,71128
1,74,107,8548,1,3,150,150,18759
1,59,5,41772,0,1,56,56,52109
1,10,30,13358,0,1,38,38,18044
0,63,10,413739,0,1,138,138,424181
0,115,8,215040,0,1,222,222,225503
0,37,49,1015775,1,3,141,141,1026196
0,71,15,322282,0,1,109,109,330111
1,109,10,447770,0,1,51,51,458221
0,67,30,318764,0,1,65,65,328819
0,64,110,7588,0,1,172,172,18045
1,89,27,73238,0,1,101,101,83617
0,92,28,733188,1,3,13,13,743366
0,7,33,714922,1,3,130,130,723117
0,134,32,786038,1,3,42,42,796435
0,73,33,288610,1,3,110,110,296067
1,122,63,2,0,2,9,9,7780
0,120,29,810066,0,1,120,120,818767
0,123,10,563530,0,1,157,157,573981
1,71,34,380639,0,1,218,218,390898
1,28,75,2,1,3,27,27,5380
1,70,38,35644,0,1,189,189,46065
0,6,35,832124,0,1,211,211,842551
1,76,111,52823,0,1,173,173,63253
0,97,51,283691,0,1,190,190,286931
0,27,23,143326,0,2,115,115,149649
0,91,33,805796,0,1,67,67,816094
1,56,78,5925,0,1,33,33,11492
1,52,16,16478,0,1,61,61,26884
1,17,50,38978,0,2,205,205,45907
0,124,70,2987,0,1,159,159,13390
0,96,23,183374,0,2,182,182,193120
0,19,116,1,0,1,191,191,9732
1,135,46,1224493,1,3,176,176,1233807
1,85,53,52593,0,1,94,94,62951
1,83,46,959784,0,1,183,183,970184
1,50,13,127910,0,1,215,215,138304
1,79,108,3220,0,1,151,151,13701
0,15,29,318795,0,1,47,47,328850
1,136,62,1,0,2,7,7,5595
0,128,52,203258,0,1,100,100,213628
0,24,98,13795,1,3,112,112,24168
1,138,34,449073,0,1,62,62,459416
0,86,95,2,0,2,91,91,3034
1,138,34,245186,0,1,113,113,252973
1,121,53,117557,1,3,148,148,127990
1,138,34,339083,0,2,219,219,347060
1,22,50,50520,0,1,206,206,60872
1,40,27,130814,0,1,131,131,141214
0,112,35,779023,1,3,212,212,789447
0,82,2,470489,0,2,77,77,475972
1,25,33,399029,0,1,178,178,409474
1,15,29,39092,0,1,124,124,47512
0,22,50,2335691,0,1,164,164,2345983
0,68,121,23431,0,1,199,199,33876
0,101,48,2011656,0,2,5,5,2017022
0,133,32,734937,0,1,40,40,745319
0,23,37,881293,0,1,20,20,891588
0,20,48,1014285,1,3,200,200,1020605
1,40,55,21774,1,3,93,93,25728
0,49,87,2601,0,1,66,66,13163
1,54,35,20812,0,1,121,121,31191
0,65,117,2,0,2,192,192,7954
1,93,28,219184,0,1,213,213,229560
0,104,39,563645,0,1,15,15,571102
1,50,13,59128,0,1,217,217,69531
0,46,88,2,0,1,69,69,5243
0,113,74,2831,0,2,24,24,9826
1,3,102,1858,1,3,134,134,12411
0,65,61,3,0,2,4,4,6482
1,139,51,72588,0,1,196,196,78813
1,8,51,7990,0,2,195,195,12312
1,124,120,30197,0,1,197,197,40663
1,40,27,14646,0,1,102,102,24830
0,94,50,277652,0,1,208,208,288082
1,97,30,55971,0,2,128,128,64484
1,88,54,117093,0,1,170,170,127475
1,100,9,28143,0,1,185,185,32850
0,110,15,204667,0,1,53,53,207695
1,51,13,25871,0,1,216,216,36235
0,116,79,4143,0,2,34,34,11147
0,135,46,1340908,1,3,153,153,1351353
0,123,22,20468,0,1,74,74,30892
1,105,32,50482,0,1,6,6,54812
1,8,51,348857,0,2,97,97,353296
0,102,59,127,0,2,0,1,7476
1,61,18,14486,0,1,76,76,21015
0,38,109,1,0,2,154,154,5481
1,132,66,1,0,1,28,28,5231
1,1,43,68291,0,1,64,64,78745
0,98,12,565420,1,3,142,142,574518
1,137,118,16665,1,3,193,193,27113
0,135,46,636820,1,3,116,116,647211
1,114,50,791817,0,1,14,14,802151
0,42,0,54806,0,1,23,23,65194
1,127,100,323,0,1,123,123,6388
0,53,33,232769,0,1,167,167,243214
0,132,82,51870,0,1,39,39,62219
1,16,80,11071,0,1,35,35,19188
1,53,33,14689,0,1,169,169,22103
0,67,15,231410,0,2,160,160,239506
0,72,25,208664,1,3,3,3,217558
1,20,48,42064,1,3,44,44,52443
0,13,69,3,0,1,149,149,5929
1,60,83,25298,1,3,43,43,35770
0,133,73,733,0,1,22,22,5956
0,12,8,576509,0,1,46,46,586972
1,55,120,78117,0,1,198,198,88568
0,97,97,3143,1,3,108,108,13525
0,22,12,613279,0,1,90,90,623676
1,84,112,1098,0,1,174,174,11537
0,129,4,494840,0,1,12,12,505288
0,9,36,770171,0,1,127,127,780586
1,99,13,147781,0,1,214,214,158064
1,97,51,44338,0,1,126,126,54831
1,0,49,1382515,0,1,105,105,1392969
0,139,51,2334792,0,1,165,165,2345195
0,14,81,1,0,1,37,37,5893
0,100,43,1168695,0,2,187,187,1174010
0,88,25,584655,1,3,49,49,595061
1,14,42,78604,0,1,118,118,89016
1,39,38,206012,1,3,10,10,214744
