Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,98,7608,41,1,90,6745,1
1,115,326018,102,1,22,323649,0
1,15,476915,37,1,3,476025,0
0,52,346408,204,0,61,346178,1
1,140,216862,124,1,55,214952,0
1,140,80177,230,1,13,78453,1
1,92,8014,84,1,10,5234,1
1,63,557,91,1,106,3,1
1,74,74182,14,1,21,73355,1
0,86,346850,203,0,61,346512,1
1,79,921959,64,1,35,919047,0
1,8,1129891,146,1,42,1128836,0
1,11,2216,40,1,89,1884,0
1,77,56787,222,1,64,55507,1
1,122,612,70,1,43,103,1
1,135,929,174,1,129,3,0
1,120,9109,153,1,27,6119,1
1,120,35665,151,1,27,33647,1
1,35,223303,156,1,24,221369,0
1,88,30441,195,1,132,27628,1
1,76,1839347,130,1,53,1836461,0
0,26,71748,32,0,52,71398,1
1,66,122795,35,1,8,121053,0
1,8,1121147,213,1,42,1120731,0
1,131,216652,229,1,26,216302,1
1,73,53404,239,1,37,53066,1
1,15,20561,119,1,40,20007,1
1,7,215357,61,1,25,214062,1
1,105,543960,136,1,6,542011,0
1,89,23503,234,1,5,21764,1
1,59,57738,223,1,64,56893,1
1,87,857583,109,1,32,854629,0
1,35,615828,186,1,24,612868,0
1,23,3521,175,1,85,564,0
1,114,640889,122,1,14,638082,0
1,12,119855,181,1,7,118959,1
1,103,351059,63,1,58,348930,0
1,136,4441,69,1,51,1115,1
0,47,218,155,0,123,3,0
1,64,578507,187,1,24,577500,0
1,102,835,4,1,88,1,0
1,61,12423,126,1,25,10753,1
1,140,100170,26,1,13,98553,1
1,20,76293,27,1,59,74227,1
1,62,17384,123,1,115,15111,1
1,15,395,200,1,86,3,1
0,95,1415811,19,0,46,1415230,0
1,132,229154,238,1,7,227562,0
1,24,64517,121,1,59,64071,1
1,9,10942,199,1,30,10619,1
1,72,45868,112,1,45,44981,1
1,137,10805,106,1,112,10074,0
1,120,706956,36,1,27,704473,0
0,128,4265,65,0,100,3411,0
1,98,8105,58,1,97,5802,1
1,18,1034156,73,1,38,1031220,0
0,37,157631,184,0,50,157230,0
