Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,3,12909,144,0,113,10807,1
0,124,6110,100,0,101,3849,0
1,40,457048,91,1,9,454787,0
0,137,478833,231,0,6,476677,0
0,93,16869,153,0,116,14662,0
1,51,552888,219,1,15,550654,0
1,12,20192,202,1,29,18165,1
0,124,3770,52,0,89,732,1
1,22,828777,109,1,48,827212,1
1,42,9061,57,1,74,6806,1
0,41,2776,156,0,117,509,0
1,30,211189,118,1,34,209180,1
1,48,7765,30,1,43,5519,1
0,1,3747,24,0,72,1363,1
0,91,692573,71,0,19,690150,0
0,90,27924,6,0,17,26149,1
0,6,763294,175,0,26,761027,0
0,38,1178466,117,0,44,1176085,0
1,36,53359,116,1,40,52601,1
1,25,96434,222,1,5,94266,1
1,24,45480,196,1,122,43330,1
0,67,604953,81,0,20,602554,0
1,2,5633,12,1,62,4134,0
1,112,813661,181,1,38,811541,0
0,50,4215,73,0,19,1969,1
0,88,480713,38,0,4,478230,0
1,68,114439,8,1,3,112868,1
0,62,14957,65,0,76,12933,0
1,29,356577,107,1,53,354673,0
0,21,45278,101,0,18,42840,0
1,56,50723,122,1,106,48507,1
1,69,562476,172,1,10,560179,0
0,31,56175,86,0,5,53914,1
1,86,1621,66,1,95,2,1
0,130,4679,115,0,40,2307,1
0,124,11646,125,0,107,9286,1
0,71,487264,96,0,17,485114,0
0,1,47037,177,0,120,44773,1
0,21,371476,171,0,18,369323,0
0,132,477337,10,0,9,476408,0
0,52,828692,194,0,49,827244,1
1,89,909033,33,1,40,906619,0
0,92,1062,3,0,71,1,0
0,61,15153,208,0,30,12949,1
1,7,81519,11,1,5,79698,1
0,60,65232,218,0,52,62692,1
0,21,710857,50,0,23,709519,0
0,101,76316,29,0,52,74154,1
1,66,799420,225,1,32,796943,0
0,55,3230,129,0,22,921,1
0,124,2056,51,0,88,2,1
0,124,4947,46,0,86,2638,0
1,12,441740,94,1,29,439797,1
0,111,2326647,17,0,54,2325364,0
1,113,777368,224,1,32,775140,0
1,131,51771,234,1,36,49540,1
0,87,59089,41,0,57,56687,1
1,51,113111,167,1,15,111105,1
0,87,79561,119,0,57,77369,1
1,72,1451239,130,1,52,1449053,0
0,117,1009290,45,0,39,1006993,0
1,93,170211,124,1,50,168412,1
0,124,4516,55,0,91,3179,1
0,98,611448,112,0,10,610807,0
0,109,5046,159,0,118,2860,1
1,16,1375691,121,1,46,1373202,0
0,16,4025,165,0,16,1761,1
1,38,224206,201,1,35,222371,1
1,10,689616,83,1,54,687517,0
1,12,372955,230,1,29,370655,1
1,16,1204656,197,1,46,1202680,0
1,66,11060,143,1,32,8994,1
1,118,2096,147,1,114,747,1
0,124,1138,5,0,108,2,0
1,31,8253,103,1,42,6340,1
1,74,1189025,188,1,52,1186812,0
1,126,496899,102,1,1,495853,0
0,100,1474,16,0,31,101,1
0,132,1039862,77,0,38,1037046,0
0,50,20107,70,0,51,17801,1
0,46,14203,59,0,33,11819,1
0,3,391932,7,0,59,389746,1
0,78,3932,162,0,119,1401,0
0,69,915393,64,0,34,914149,0
0,125,244454,158,0,19,243822,0
0,132,394758,20,0,9,393970,0
0,34,574603,169,0,21,572120,0
1,11,4883,42,1,83,2628,1
1,45,519612,204,1,28,517492,1
0,75,2976,164,0,78,781,0
0,133,1159648,145,0,42,1157084,0
0,124,7454,54,0,90,5259,1
1,29,654471,76,1,53,652312,1
0,97,2907,36,0,73,667,0
0,44,4593,1,0,17,2230,1
0,111,1705791,90,0,54,1703299,1
1,9,598394,168,1,21,596190,0
0,53,2152,9,0,61,38,0
0,31,507624,191,0,3,505363,0
1,69,459000,173,1,10,456733,0
1,58,123424,232,1,8,121439,0
1,43,805063,179,1,39,803291,0
0,77,3147,43,0,84,535,1
0,124,7548,56,0,92,5362,0
0,124,11573,110,0,104,9210,0
0,60,81116,4,0,13,80040,1
0,119,707127,49,0,23,704929,0
0,4,351915,200,0,58,350539,1
0,8,6111,23,0,69,4843,1
1,79,299939,227,1,11,297915,1
0,115,115059,160,0,22,112891,1
0,54,1036,14,0,64,2,1
1,112,763015,84,1,38,760970,0
1,20,547726,136,1,7,545198,0
0,117,19404,199,0,123,17227,0
0,121,53099,223,0,39,50910,1
0,129,2191081,89,0,54,2188577,1
1,27,52834,183,1,0,50840,0
1,7,13918,123,1,106,11750,1
1,32,18062,135,1,109,16122,1
1,114,436942,176,1,24,434816,0
1,116,34512,92,1,98,32440,1
0,124,5683,58,0,93,3845,0
1,23,1835456,207,1,49,1833030,0
1,20,731499,32,1,23,729406,0
0,30,482055,113,0,10,479794,0
1,95,89110,209,1,16,86993,1
0,27,92121,141,0,41,90979,1
0,99,7735,185,0,80,5258,1
0,27,2352753,132,0,54,2351474,0
1,102,5117,217,1,82,2943,0
0,81,120751,186,0,3,119534,1
0,17,9642,212,0,125,7252,0
0,124,28514,111,0,105,26043,0
0,59,1699,87,0,8,101,1
1,17,3774,18,1,66,1570,0
1,132,468090,40,1,2,465892,0
0,61,3637,163,0,34,1680,1
1,40,619207,205,1,9,617003,0
0,33,369971,62,0,56,367785,0
1,65,10067,28,1,46,8418,1
1,104,1108,161,1,77,1,0
0,124,3468,72,0,96,1171,0
0,132,1009265,78,0,38,1006986,0
0,85,560608,180,0,16,558551,0
0,132,28523,82,0,38,26538,1
0,41,2650,25,0,35,386,1
0,113,6868,184,0,121,4559,1
0,134,50074,189,0,3,47909,1
0,122,487691,31,0,18,485538,0
1,128,17178,108,1,103,14941,1
0,13,669010,134,0,16,666635,0
0,15,2335,170,0,12,101,1
0,94,798,166,0,79,1,1
1,111,1167843,146,1,42,1165567,0
0,67,140815,228,0,11,140096,1
1,47,18493,47,1,34,16673,1
0,124,5471,139,0,112,3207,1
0,50,5333,21,0,67,3093,1
