Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,301826,242,2,0,31,299487
1,32772,97,1,1,4,29866
1,373899,28,2,0,5,371611
0,736453,78,3,0,23,733583
1,190552,79,2,0,21,188093
1,1516533,42,2,0,32,1514173
0,465591,162,2,0,15,462814
1,54199,31,2,0,58,51578
1,988200,207,2,0,23,985546
1,1062895,234,2,0,31,1060310
0,246580,86,2,0,19,243767
0,758419,44,2,0,22,756089
0,488327,203,3,0,23,485541
0,322020,237,1,1,19,319249
0,33755,26,2,0,44,30969
0,355891,244,2,0,6,353552
1,993191,43,2,0,32,990858
1,1150558,193,1,1,23,1147775
0,1152306,222,2,0,24,1149583
0,1161129,166,2,0,32,1158613
1,32977,216,1,1,85,30248
1,33431,25,2,0,55,30843
0,184674,5,2,0,12,182293
1,1757922,189,2,0,32,1755496
0,553480,174,3,0,1,550610
0,16153,29,2,0,56,13502
1,292921,245,2,0,6,290183
0,256062,179,2,0,5,253732
0,25495,49,2,0,61,22811
1,8691,196,2,0,78,6085
1,180436,213,2,0,11,177890
1,15222,212,2,0,82,12538
0,867065,116,2,0,23,864531
1,1966199,103,2,0,31,1963551
0,546874,143,2,0,15,544250
0,1024944,233,2,0,31,1022305
0,519004,251,2,0,7,516413
0,1176004,165,2,0,32,1173581
1,156435,33,3,0,19,153649
1,447956,177,2,0,24,445458
0,735391,128,2,0,31,733043
0,1102343,226,2,0,24,1099539
0,1314205,89,2,0,32,1311887
1,1034195,209,2,0,23,1031508
1,204433,61,2,0,14,201761
1,1800605,108,2,0,31,1797939
1,125132,80,2,0,4,122370
0,17633,21,1,1,53,14982
0,4209,121,2,0,69,1423
0,187941,232,2,0,5,185287
0,1065877,199,2,0,26,1063010
0,432191,135,2,0,16,429708
0,513629,257,3,0,15,510834
1,568671,173,2,0,32,566338
0,1123469,221,1,1,24,1120611
0,432436,159,1,1,15,429818
0,422008,201,2,0,17,419294
1,86749,153,1,1,3,84020
1,50888,152,2,0,20,48174
0,107074,254,1,1,2,104540
0,622377,40,2,0,31,620053
0,389747,164,1,1,15,387120
1,352788,249,2,0,18,350182
0,185153,23,2,0,27,182502
0,378614,163,2,0,15,375975
0,309384,110,2,0,5,306937
1,585607,81,2,0,6,583331
0,7162,19,2,0,51,4697
1,650434,38,3,0,14,647633
1,23290,218,2,0,50,20606
0,9867,59,2,0,63,7462
0,473501,202,3,0,23,470631
0,1713823,7,2,0,30,1711409
0,700388,14,2,0,15,697620
0,14845,46,3,0,60,11996
0,8092,214,2,0,83,5759
1,13979,198,1,1,80,11352
0,1053239,112,2,0,23,1050549
0,15062,85,2,0,66,12438
1,1100880,195,1,1,23,1098211
1,8115,172,3,0,49,5269
1,379418,170,2,0,34,376740
1,2047179,185,2,0,31,2044399
1,665447,73,3,0,23,662586
0,475012,142,2,0,7,472298
0,1324430,88,2,0,32,1322082
0,1156973,236,2,0,31,1154469
1,9580,197,1,1,79,6749
0,428427,87,3,0,20,425755
1,1096585,235,2,0,31,1093946
0,810651,169,2,0,22,808318
0,12594,151,2,0,76,9967
1,9089,217,2,0,85,6579
0,45075,124,1,1,72,42286
1,1611964,100,1,1,30,1609262
0,1828534,107,2,0,31,1825916
1,483376,96,2,0,24,480707
0,1865809,105,2,0,31,1862957
0,139709,253,2,0,1,138117
0,404584,118,2,0,22,402206
0,1731005,191,3,0,29,1728183
1,2060220,184,2,0,31,2057611
0,255561,17,1,1,23,253126
1,12158,10,2,0,43,9363
0,21771,83,2,0,64,19363
0,506933,18,3,0,23,504105
0,454333,158,2,0,15,451748
0,262330,243,2,0,6,259847
0,568854,259,2,0,15,566233
1,16377,145,2,0,74,13513
1,199898,35,1,1,19,197364
0,1633076,187,1,1,31,1630521
0,602587,41,2,0,31,600077
0,768058,75,2,0,23,765323
1,1129346,168,2,0,32,1126764
0,20976,56,2,0,46,18310
0,5331,150,2,0,75,2932
1,629809,113,3,0,13,627020
0,1825289,188,2,0,32,1822929
0,590672,258,1,1,15,588504
1,6553,120,2,0,68,4166
0,1169591,223,3,0,24,1166769
1,13678,156,2,0,3,10931
0,468388,67,3,0,6,465485
0,476059,149,1,1,5,473501
0,1251196,181,2,0,30,1248512
1,1015945,208,2,0,23,1013150
1,1147282,167,2,0,32,1144757
1,721934,74,2,0,23,719244
0,1582479,186,1,1,31,1579936
1,221070,141,2,0,9,218443
1,218715,54,2,0,17,215884
0,11062,4,2,0,39,8450
1,1570228,99,5,0,30,1568267
0,308185,64,1,1,23,306188
0,546370,45,2,0,8,543824
0,410579,136,2,0,16,407808
0,57145,55,3,0,46,54284
0,849988,205,2,0,23,847319
0,408107,16,1,1,5,405750
1,60414,227,2,0,87,57859
1,1007699,206,2,0,23,1005114
1,7898,9,2,0,42,5274
0,245264,47,2,0,0,242583
0,4732,123,2,0,71,2051
0,21506,57,2,0,62,18858
1,23129,126,3,0,73,20358
0,472189,69,2,0,18,469499
0,1014233,134,1,1,31,1011738
0,34218,58,2,0,62,31414
1,2102129,102,2,0,31,2099463
1,82609,138,3,0,19,79808
0,1317329,98,2,0,30,1314768
1,396615,250,1,1,18,394090
1,565683,140,2,0,6,563344
1,10603,6,3,0,40,7772
1,212927,0,5,0,13,211077
0,276688,210,1,1,24,274223
0,652210,95,2,0,8,649424
1,10893,90,2,0,33,8359
1,4709,30,2,0,57,2067
0,119436,255,2,0,2,116878
1,14331,230,2,0,88,11776
1,1650945,11,2,0,31,1648582
0,7054,122,2,0,70,4541
1,456596,15,2,0,5,453903
1,3590,211,2,0,82,942
0,1816759,190,2,0,32,1814429
1,2010450,109,2,0,32,2008033
1,529696,176,2,0,1,526820
0,280853,62,2,0,23,278046
1,423886,65,2,0,6,421607
1,408724,139,1,1,35,406415
0,1036042,117,2,0,25,1033382
0,25731,8,3,0,41,22858
0,35248,50,2,0,61,32438
1,2099,2,5,0,37,3
0,903444,115,1,1,23,900637
1,460231,148,2,0,13,457457
1,2171498,183,2,0,31,2169063
0,817323,77,2,0,23,814468
1,35322,192,2,0,77,32611
0,585177,204,3,0,23,582301
1,41459,219,3,0,86,38613
0,584285,175,0,0,1,581721
0,404953,161,2,0,15,402317
0,16042,111,3,0,67,13142
1,574686,147,1,1,13,571897
1,596823,94,2,0,8,594229
0,71558,154,1,1,3,69066
0,1115182,220,2,0,24,1112378
0,556640,252,2,0,7,553878
0,22835,146,2,0,74,20457
0,65602,24,2,0,54,62846
0,321121,171,2,0,32,318503
1,3099,84,2,0,65,313
1,2201057,53,2,0,32,2198634
0,1882048,104,1,1,31,1879670
0,2065088,101,1,1,31,2062416
1,8030,144,2,0,74,5538
1,54570,27,3,0,44,51787
1,12466,229,2,0,87,9926
0,1745786,12,2,0,31,1743231
0,1189938,225,2,0,24,1187140
1,580806,93,5,0,8,578836
1,565358,82,2,0,32,563163
1,935144,131,2,0,31,932427
1,7331,91,3,0,48,4482
1,167573,36,3,0,19,164778
1,249052,71,2,0,9,246272
1,344245,13,2,0,0,341906
1,194602,248,3,0,9,191840
0,536061,256,2,0,15,533287
0,1851640,106,2,0,31,1848668
1,450835,66,2,0,6,448496
0,14547,20,2,0,52,12235
0,425184,137,2,0,16,422410
1,237391,70,2,0,9,234584
0,7271,22,2,0,53,4884
0,3982,1,2,0,36,1541
1,21057,155,2,0,3,18763
0,399549,239,2,0,16,396772
0,11601,39,2,0,59,9187
1,175571,92,2,0,28,172800
0,110238,228,3,0,87,107374
0,783613,76,2,0,23,780839
1,8573,215,2,0,84,6039
1,7513,3,2,0,38,4757
1,191757,114,2,0,10,188965
1,205713,246,2,0,9,202903
1,1484951,182,3,0,30,1482129
1,880730,133,2,0,31,877992
1,12861,240,2,0,89,10087
0,763632,129,2,0,31,761305
1,1152001,180,1,1,30,1149578
0,171302,231,4,0,12,169443
1,187696,247,2,0,9,185057
1,2180588,52,2,0,32,2178147
1,17047,37,2,0,45,14579
0,222070,178,2,0,5,219359
0,1181628,224,2,0,24,1179322
1,2776,48,1,1,61,113
1,950785,132,2,0,31,948302
0,8596,125,2,0,72,5819
0,24923,60,2,0,47,22032
0,42017,200,1,1,81,39222
0,1200167,194,2,0,23,1197396
0,696919,72,2,0,23,694046
0,316755,119,1,1,24,314314
0,428401,68,2,0,18,425663
0,381075,238,2,0,16,378301
0,2113696,51,1,1,31,2111357
0,272153,63,2,0,23,269451
1,22052,241,2,0,90,19278
0,198843,127,2,0,5,196225
1,775880,130,2,0,31,773208
0,421319,160,2,0,15,418704
1,180486,34,2,0,19,177754
1,11536,32,2,0,58,9554
0,15093,157,3,0,19,12226
