Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
0,1160395,346,346,3,22,1159709
0,18293,403,403,3,95,17649
0,7200,132,132,4,45,6637
0,55025,358,358,4,83,54438
0,1464254,86,86,4,28,1463646
1,494817,200,200,4,23,494134
0,2016292,328,328,4,27,2015537
0,9057,387,387,4,90,8128
0,4555,130,130,4,64,3962
0,683253,96,96,4,28,682675
0,844685,367,367,3,22,844098
0,112468,400,400,1,94,111971
0,4870,339,339,4,78,4217
0,2682,262,262,4,76,1954
1,163066,7,7,4,8,162521
0,1955674,331,331,4,28,1955171
1,756041,97,97,4,28,755460
1,1368555,308,308,4,28,1367977
1,1487064,90,90,4,28,1486369
1,44362,299,299,3,15,43754
0,265007,256,256,4,23,264339
0,128464,415,415,2,14,128075
1,1921473,106,106,4,28,1920904
0,458814,351,351,4,17,458125
0,316703,370,370,4,16,316059
0,548591,223,223,2,19,548190
0,1604078,114,114,4,28,1603452
0,85370,59,59,4,58,84681
0,17407,259,259,4,74,16820
0,1033564,296,296,4,18,1032920
0,1738968,26,26,3,27,1738420
1,6677,378,378,4,86,6162
1,278070,219,219,4,3,277438
0,1731530,335,335,4,28,1730895
0,477620,203,203,4,6,476973
0,567879,380,380,2,20,567310
0,10321,124,124,4,61,9749
0,1686468,110,110,4,28,1685914
0,7629,227,227,4,70,6979
0,1645,355,355,4,83,1004
1,376974,53,53,4,3,376393
1,807869,23,23,3,27,807330
1,426818,134,134,4,4,426186
1,39701,50,50,4,57,39237
0,307213,257,257,4,23,306524
1,782,44,44,4,54,129
1,1132814,316,316,4,28,1132212
1,36247,70,70,4,15,35642
1,170789,66,66,4,14,170208
1,717564,268,268,4,27,716974
1,1637787,112,112,4,28,1637185
0,487905,167,167,4,3,487330
1,628319,181,181,3,13,627354
0,1932015,105,105,4,28,1931470
0,2027,38,38,4,52,1341
0,1743790,334,334,4,28,1743146
0,515441,204,204,4,6,514617
1,1118634,318,318,4,28,1117975
0,347837,17,17,3,3,347313
0,250738,322,322,4,3,250097
1,1579,2,2,4,34,1004
0,570400,74,74,4,7,569783
1,552848,142,142,4,22,552180
0,52129,263,263,4,76,51491
1,19103,379,379,3,86,18480
0,4829,255,255,4,73,4128
1,603114,236,236,4,10,602248
0,436400,11,11,4,16,435816
0,1148872,409,409,4,27,1148204
0,339516,222,222,4,3,338926
1,1581481,212,212,4,26,1580900
1,1081012,405,405,4,27,1080440
0,15668,343,343,4,79,15015
1,6518,302,302,4,1,5874
1,33001,18,18,4,14,32291
1,504309,427,427,3,4,503911
1,668902,146,146,4,22,668282
0,1995197,214,214,4,27,1994529
0,216763,321,321,4,3,216122
1,588625,154,154,3,4,587969
0,416038,382,382,4,31,415541
1,463493,99,99,3,0,462885
1,14001,393,393,4,92,13402
0,385637,19,19,3,22,384969
1,602338,319,319,4,6,601643
1,1845,388,388,2,91,1489
1,375081,120,120,4,12,374536
0,1473130,85,85,4,28,1472456
1,1134002,407,407,4,27,1133424
0,444695,30,30,4,3,444042
0,42175,385,385,4,88,41594
0,9261,126,126,4,62,8539
0,382637,55,55,4,3,382086
1,35038,301,301,4,1,34388
0,416102,245,245,4,16,415509
1,13194,348,348,3,81,12661
1,653543,82,82,4,11,652923
1,320021,422,422,4,4,319437
0,78452,298,298,4,15,77844
0,2893,383,383,4,87,2228
1,38888,77,77,4,14,38181
1,22995,303,303,2,14,22609
1,1066542,404,404,4,27,1065931
0,438865,350,350,4,17,438233
0,345916,151,151,4,16,345353
0,499409,365,365,3,22,498789
0,262228,36,36,4,22,261515
1,350824,413,413,2,14,350453
0,224418,164,164,4,17,223792
0,17055,46,46,4,56,16375
1,1049,282,282,4,48,204
1,807166,149,149,4,22,806492
1,874302,273,273,3,27,873739
1,281,9,9,5,36,3
0,16035,341,341,4,78,15472
1,311595,411,411,2,14,311224
1,6125,10,10,4,36,5631
0,578960,75,75,4,7,578253
0,1670681,27,27,4,27,1670067
0,544317,144,144,1,22,543658
0,285006,244,244,4,16,284026
0,482096,252,252,4,16,481446
0,16573,162,162,4,66,15977
0,1236,123,123,4,44,691
1,2152710,104,104,4,28,2152117
0,218124,163,163,4,17,217234
1,505974,293,293,4,10,505327
0,314714,121,121,4,12,314181
0,729959,94,94,4,28,729363
1,358436,276,276,2,14,358038
1,594102,230,230,4,10,593512
1,22696,71,71,4,15,22061
0,1261581,323,323,3,26,1260970
0,160801,402,402,4,94,160181
0,10872,102,102,3,60,10210
1,412598,278,278,4,30,411981
1,517192,292,292,4,10,516578
1,53893,305,305,4,11,53279
0,253563,286,286,4,16,252895
0,237931,284,284,4,16,237338
0,266589,174,174,4,17,265723
0,1078119,190,190,4,28,1077559
