Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
1,3818,116,116,0,71,2061
0,497232,51,51,4,1,497002
0,1362603,64,64,0,36,1360342
0,10034,10,10,0,45,9492
1,553680,110,110,0,24,551527
0,720,117,117,0,50,1
0,551749,32,32,4,18,551012
1,160581,125,125,0,12,159610
1,2942,35,35,0,58,882
0,802663,60,60,0,29,801878
0,1058918,107,107,0,34,1056777
1,1105132,105,105,0,32,1103840
1,590889,95,95,0,15,588715
0,2356776,6,6,0,38,2355799
1,5081,18,18,0,11,2874
1,82404,9,9,0,39,80149
0,3053,21,21,0,52,873
1,501852,61,61,0,33,499696
0,195717,5,5,0,7,194815
1,395040,109,109,0,24,392911
1,1166328,30,30,0,35,1164352
1,114991,84,84,0,3,114542
1,161676,77,77,0,12,160684
0,2832,54,54,0,61,619
1,26356,43,43,0,59,24182
1,603844,96,96,0,15,602780
1,18169,8,8,0,16,16115
0,508321,34,34,0,2,506186
1,29015,27,27,0,56,27780
0,646319,102,102,0,13,643902
1,346367,42,42,0,24,344166
1,2179419,99,99,0,37,2176948
0,705460,52,52,0,24,703286
0,203063,80,80,0,6,200871
1,9199,104,104,0,68,7001
0,606833,37,37,0,38,604902
0,53186,22,22,0,0,51024
0,12912,3,3,1,43,12295
1,5374,106,106,0,69,4073
0,305003,101,101,0,24,302736
0,194168,88,88,0,18,192141
1,605835,112,112,0,32,604711
1,302402,45,45,4,12,301785
1,628874,58,58,0,15,628374
0,2355697,100,100,0,38,2354525
1,141673,126,126,0,12,140918
1,38921,62,62,0,11,36609
1,356850,23,23,4,41,356083
0,879776,19,19,0,27,877512
1,229342,92,92,0,27,227192
1,6731,36,36,0,29,4560
1,628270,38,38,0,15,627785
0,875271,72,72,2,32,874933
1,53693,59,59,0,30,52560
0,2001346,66,66,0,37,1998842
0,122127,119,119,0,72,120202
1,32651,26,26,0,55,31587
0,573072,93,93,0,18,571858
0,13846,12,12,0,46,12761
1,64228,75,75,0,22,62066
1,238993,68,68,0,25,236726
0,479217,78,78,0,14,477172
1,967593,56,56,0,38,965515
1,18788,25,25,0,42,16752
0,1431,20,20,0,51,1
1,69895,4,4,0,22,67685
1,27802,123,123,0,74,25553
1,521,0,0,4,53,3
0,149082,120,120,0,72,147823
0,551317,82,82,0,19,549344
1,85717,40,40,0,3,84713
0,2356,7,7,0,44,188
1,116089,76,76,4,2,115388
0,5373,103,103,0,67,3175
0,399746,91,91,0,19,397836
0,551038,39,39,0,15,548948
1,258202,87,87,0,27,255983
1,7513,2,2,0,26,7115
0,522056,129,129,0,14,520707
0,560632,55,55,0,18,560198
1,8796,44,44,0,4,6766
0,242101,46,46,3,17,241769
0,742170,79,79,0,24,739927
1,7341,15,15,0,47,5542
1,1092022,122,122,0,37,1090076
0,656983,71,71,0,32,654773
1,29812,132,132,0,28,28472
0,24063,89,89,0,66,21859
1,569,74,74,4,63,3
0,510087,17,17,0,32,508918
1,20468,94,94,0,5,18309
0,47761,115,115,0,71,45575
1,80858,14,14,0,38,80019
0,143770,130,130,0,8,141896
0,395811,49,49,0,21,393328
1,17708,29,29,0,57,16425
1,107570,31,31,0,10,105642
1,216636,69,69,0,25,214564
1,5239,50,50,0,60,3059
1,2117,24,24,0,54,3
1,45873,85,85,0,65,43711
0,843337,65,65,0,23,841178
0,630544,13,13,0,19,630077
1,564263,33,33,0,37,562332
0,414917,90,90,0,19,412986
1,9794,121,121,0,73,7884
0,630340,41,41,0,20,629867
0,576256,1,1,0,18,575726
1,8315,11,11,0,32,7779
0,640806,111,111,0,10,638620
0,808511,73,73,0,19,806334
1,45587,118,118,0,72,43530
0,12118,53,53,0,48,9896
1,591642,57,57,4,15,591283
0,28251,114,114,0,70,27310
1,15656,48,48,0,1,13635
0,495949,81,81,0,19,493973
0,2323,67,67,0,62,1850
0,17469,86,86,0,49,15220
0,2747,83,83,0,64,2046
1,1525088,98,98,0,36,1523784
0,1220025,97,97,0,36,1218841
1,1560715,16,16,0,38,1558235
0,1157244,28,28,3,31,1157023
1,292285,128,128,0,25,290090
1,352533,108,108,4,40,352018
0,429,127,127,0,75,1
0,461012,70,70,3,10,460530
0,804175,47,47,0,24,801998
1,61722,124,124,0,37,61057
0,111044,131,131,0,9,109113
0,853635,113,113,0,32,852247
0,1428134,63,63,0,36,1426182
