Gene_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,0,23,65081,87,22,62292,0,1
1,0,184,4679,185,132,1893,3,0
1,0,13,308397,303,56,305485,3,0
1,0,69,847503,312,37,845194,3,0
0,0,137,502030,132,0,499289,0,0
1,0,95,79193,80,3,76656,3,1
1,0,140,2449,0,150,11,3,0
0,0,139,7010,291,146,4233,0,1
1,0,128,491613,135,38,488857,3,1
1,0,26,56619,316,12,53854,3,1
1,0,83,3014,97,64,228,3,1
1,0,92,639965,257,21,637563,3,0
1,0,90,570499,251,24,567725,3,0
1,0,157,7457,213,38,4911,3,1
1,0,91,6673,232,137,3815,3,0
0,0,105,716265,36,27,713932,0,0
1,0,82,29749,162,26,26915,3,1
1,0,143,1133115,271,50,1130755,3,1
1,0,135,60671,177,44,58218,3,1
1,0,152,2940,211,134,73,3,1
0,0,19,8383,218,135,7271,0,0
0,0,182,17724,293,57,14986,1,1
1,0,172,13435,273,142,10745,3,0
0,0,161,359419,74,14,357746,0,0
1,0,4,510295,142,24,507728,3,1
1,0,90,628364,102,24,625434,3,0
1,0,27,504140,268,2,500865,3,0
1,0,18,12191,231,13,9909,3,1
1,0,1,848494,163,32,847454,3,0
1,0,166,492362,28,1,490971,3,0
1,0,46,236472,222,3,233641,3,0
0,0,93,782600,205,28,781197,0,0
1,0,108,7188,126,119,4384,3,0
1,0,109,8831,112,117,6234,3,1
1,0,90,654938,252,24,652152,3,0
1,0,106,984,305,149,31,3,0
1,0,105,1094,24,73,159,3,1
0,0,132,24358,274,142,21590,0,0
0,0,89,1225,53,77,1,0,1
0,0,3,2772,318,12,301,0,1
0,0,112,36463,117,15,33455,0,1
1,0,133,28068,65,65,25282,3,1
1,0,67,3158,254,91,408,3,1
1,0,131,2351295,265,56,2348338,3,0
0,0,29,9939,57,100,8926,0,0
1,0,75,10214,241,23,7875,3,1
1,0,14,9052,246,140,7148,3,1
0,0,45,811998,313,37,810235,0,0
1,0,111,4342,85,29,1385,3,1
1,0,86,3790,209,87,806,3,0
1,0,13,1721524,41,56,1718519,3,1
0,0,153,2010044,11,54,2009265,2,0
0,0,142,4119,43,31,967,0,1
1,0,13,1008775,190,56,1006142,3,0
0,0,164,66235,247,38,64469,0,1
1,0,35,556405,239,25,554000,3,1
1,0,168,8756,146,43,5919,3,1
0,0,60,4216,134,45,1460,0,1
1,0,173,430057,187,30,427406,3,0
0,0,154,1137976,138,55,1133828,0,0
0,0,84,1204,128,85,2,0,0
0,0,107,8397,16,9,5578,0,1
0,0,136,779582,204,28,776703,0,0
1,0,145,976,21,72,2,3,1
1,0,21,690828,275,34,688522,3,0
1,0,6,3258,40,75,436,3,0
1,0,179,6116,58,101,4224,3,1
1,0,122,628999,144,11,626735,3,0
1,0,8,688837,90,23,685982,3,0
1,0,115,9121,288,36,6152,3,1
1,0,128,33240,55,38,30436,3,1
0,0,54,490870,47,1,489493,0,0
1,0,169,4777,19,68,2027,3,1
0,0,76,26225,206,63,24447,0,1
1,0,73,783456,83,31,780772,3,0
1,0,160,15107,263,2,12237,3,1
0,0,16,169188,307,42,166855,0,1
1,0,35,683526,258,21,681076,3,0
1,0,11,63873,309,15,60922,3,1
0,0,60,1185502,70,45,1183688,0,0
1,0,13,644271,100,56,641242,3,1
1,0,136,16574,221,136,14088,3,1
0,0,155,3713,284,95,2106,1,0
1,0,120,59561,141,48,57681,3,1
0,0,2,3597,234,138,1834,0,0
1,0,102,5794,137,121,3014,3,0
1,0,91,665511,169,16,663544,3,0
1,0,165,41742,308,42,39727,3,1
1,0,21,829858,121,34,827087,3,0
0,0,24,794113,242,30,793295,1,0
0,0,79,169312,67,53,166550,0,0
1,0,74,471708,199,18,469507,3,0
1,0,77,144749,119,13,141924,3,1
1,0,35,625252,228,25,622190,3,0
1,0,74,582823,22,18,581135,3,0
0,0,62,702008,181,29,700188,0,0
1,0,28,9553,115,83,7784,3,0
1,0,143,648458,160,19,645735,3,0
0,0,153,1917064,174,54,1914173,0,1
1,0,77,122539,191,13,120197,3,1
1,0,106,71114,196,4,69705,3,1
0,0,118,103187,322,9,101616,1,0
1,0,173,411506,59,30,408474,3,0
0,0,117,594892,226,25,591674,0,0
1,0,85,2350211,167,57,2347587,3,0
1,0,134,912033,75,38,909235,3,0
1,0,77,25743,230,13,24748,3,1
1,0,113,1182,94,113,1,3,1
0,0,59,4231,136,49,1391,0,1
0,0,153,14595,66,65,12280,0,1
1,0,47,9360,255,92,6577,3,0
1,0,10,14953,302,51,12005,3,1
1,0,44,88710,161,26,87850,0,1
1,0,173,760085,243,30,757590,3,0
1,0,58,14455,92,111,11690,3,0
1,0,152,106204,280,16,104012,4,1
0,0,2,4524,240,139,2574,0,0
1,0,17,486237,25,45,483109,3,0
0,0,86,19758,186,133,17038,0,0
0,0,98,47207,84,110,45534,0,1
0,0,162,36437,104,115,35517,0,1
1,0,37,5595,69,105,2761,3,1
1,0,134,931453,224,38,928565,3,0
1,0,71,2693,281,94,396,3,0
0,0,105,4036,64,65,1289,0,1
1,0,59,93761,73,63,90201,3,1
1,0,60,11733,76,80,9154,3,0
1,0,135,27235,149,27,24623,3,1
0,0,147,120500,321,9,118605,0,0
1,0,160,26060,260,2,23298,3,1
1,0,114,351197,216,60,348939,3,0
1,0,48,33122,282,39,30594,3,1
1,0,143,1425113,14,50,1422420,3,0
1,0,4,225780,81,24,223900,3,0
0,0,164,56433,248,38,54619,1,1
0,0,25,1739,12,70,3,1,1
0,0,128,201879,300,59,200095,0,0
1,0,85,1320804,152,57,1318300,3,0
0,0,51,650247,103,24,648161,0,0
0,0,159,3779,184,131,1517,0,0
0,0,15,64637,151,63,62859,0,1
1,0,52,4799,272,142,2103,3,0
1,0,106,7313,235,138,4734,3,0
0,0,149,19476,159,126,17815,0,1
1,0,174,7957,143,124,5381,3,0
0,0,183,840765,123,34,837994,0,0
1,0,131,2120212,107,56,2117660,3,0
0,0,178,739713,326,28,736933,0,0
0,0,177,2442,156,33,1297,0,1
1,0,122,29971,145,43,27197,3,1
1,0,176,1032018,50,42,1029001,3,0
1,0,175,16396,294,147,13598,3,0
1,0,81,492103,131,0,489575,3,0
0,0,158,3892,45,52,599,0,1
1,0,135,439193,287,44,435576,3,0
1,0,4,578138,101,24,576360,3,0
1,0,180,3857,105,116,1095,3,1
1,0,123,924785,236,55,922281,3,1
1,0,106,245943,62,4,244298,3,0
1,0,35,577397,7,25,576201,3,0
0,0,65,9141,219,135,8410,0,0
1,0,119,981807,278,50,979324,3,1
1,0,173,14712,220,89,11650,3,0
1,0,148,2360044,13,57,2358530,3,0
1,0,167,11256,253,90,8914,3,1
1,0,130,7825,93,112,5795,3,0
0,0,136,9869,54,56,8244,0,1
1,0,82,128705,207,26,127131,3,1
0,0,161,86361,189,14,83876,0,1
0,0,38,1981,298,97,2,0,0
1,0,138,483389,320,5,481422,3,0
1,0,11,494127,310,15,492577,3,1
0,0,67,21702,60,102,18811,0,0
1,0,24,38827,225,22,35924,3,1
1,0,62,5339,52,99,2904,3,1
0,0,89,748745,35,27,745776,0,0
1,0,88,3210,23,71,616,3,1
1,0,43,265842,217,9,263029,3,0
0,0,50,10587,183,130,8119,0,1
1,0,26,636457,212,12,635763,3,0
0,0,160,30562,279,16,28739,1,1
1,0,123,58311,299,55,56848,3,1
1,0,48,905988,99,39,903148,3,0
1,0,103,710712,201,34,708220,3,0
0,0,135,45706,261,2,43370,0,1
1,0,12,588116,3,8,586977,3,0
0,0,141,4613,118,5,1626,0,1
0,0,104,3158,6,37,342,0,1
1,0,111,690966,180,29,687994,3,0
1,0,170,15683,256,93,12888,3,0
1,0,117,378832,38,61,376718,3,0
1,0,143,39618,86,50,36688,3,1
0,0,53,571445,200,18,567813,0,0
0,0,20,478312,10,10,477440,0,0
1,0,155,2020967,178,54,2018517,3,0
0,0,157,4567,56,78,1604,0,0
1,0,28,24449,114,83,21516,3,0
0,0,164,54516,96,38,53479,0,1
1,0,43,197559,194,9,195199,3,1
0,0,32,955,155,86,2,1,1
1,0,135,1130391,198,44,1127446,3,0
0,0,15,61849,48,63,60071,0,1
1,0,131,1824669,165,56,1821786,3,0
1,0,113,21022,63,103,18272,3,1
1,0,81,517997,133,0,514713,3,0
1,0,131,2028531,267,56,2025571,3,0
1,0,8,4543,139,122,1706,3,1
0,0,5,77950,18,21,74987,0,1
0,0,36,1337382,270,50,1335682,1,0
0,0,56,1973,1,152,3,1,1
1,0,61,9934,89,47,6965,3,1
1,0,40,16389,182,37,14728,3,1
1,0,15,242630,120,20,239769,3,1
0,0,66,31215,301,66,30121,1,1
1,0,61,1175229,147,47,1172704,3,0
1,0,97,6217,319,12,3602,3,1
1,0,121,79885,229,10,77750,3,1
0,0,5,496864,170,6,494066,0,0
1,0,148,1709527,109,57,1707056,3,1
1,0,122,905310,39,43,902803,3,0
1,0,30,5025,157,125,2677,3,1
1,0,106,474181,193,4,471830,3,0
0,0,117,20670,140,123,18052,0,1
0,0,146,1434052,154,50,1432280,0,0
1,0,131,2327020,264,56,2324351,3,0
1,0,107,30617,150,64,28410,3,1
0,0,55,791878,122,34,790079,0,0
1,0,2,10460,79,109,8049,3,1
0,0,7,764760,203,28,762982,0,0
1,0,26,21822,317,12,18838,3,1
1,0,99,411543,244,28,408877,3,0
1,0,44,706189,15,26,704129,3,0
1,0,185,496021,27,1,493463,3,0
1,0,26,145152,315,12,142906,3,1
0,0,171,4421,32,74,3684,0,1
0,0,102,117865,210,2,115973,0,1
1,0,28,19013,46,33,16263,3,1
1,0,21,174847,195,9,172793,3,1
1,0,4,8963,176,129,6399,3,1
0,0,164,6840,285,144,3826,0,0
0,0,150,34372,2,48,33320,0,1
1,0,139,110366,249,62,107442,3,1
1,0,41,7278,98,114,4399,3,0
0,0,177,67475,297,54,65139,0,1
0,0,39,1140600,197,44,1138639,0,0
1,0,33,1174681,78,46,1172813,3,0
1,0,49,1443,20,69,1,3,1
0,0,98,7112,283,143,4374,0,1
1,0,13,1113039,296,56,1110685,3,1
1,0,80,7245,290,145,4687,3,1
1,0,81,12451,175,128,9695,3,1
0,0,68,2274,51,76,1,0,0
1,0,85,2194888,108,57,2192474,3,1
1,0,135,16715,188,44,14439,3,1
0,0,181,750304,208,34,747923,0,0
1,0,43,214887,306,9,212992,3,0
1,0,13,44770,26,48,42977,3,1
1,0,22,56555,323,40,54387,3,1
1,0,78,18751,111,82,16475,3,1
1,0,131,2149200,266,56,2146741,3,0
0,0,64,13820,29,22,12766,0,1
0,0,8,645301,276,10,642806,0,0
1,0,81,19819,124,0,16985,3,1
1,0,156,458839,17,10,457553,3,0
0,0,24,58458,116,15,55432,0,1
0,0,116,447897,286,44,446350,1,0
0,0,105,598524,95,7,596251,1,0
1,0,148,342240,153,57,339421,3,1
