Gene_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,25,38827,226,25,35924,3,1
1,0,185,4679,184,134,1893,3,0
0,0,139,9869,53,58,8244,0,1
1,0,69,825842,310,40,823350,3,0
0,0,140,502030,130,0,499289,0,0
1,0,97,79193,77,3,76656,3,1
1,0,143,2449,0,152,11,3,0
0,0,142,7010,291,148,4233,0,1
0,0,166,66235,248,41,64469,0,1
1,0,27,21822,317,13,18838,3,1
1,0,83,3014,94,66,228,3,1
0,0,5,77950,17,24,74987,0,1
1,0,4,510295,141,27,507728,3,1
1,0,69,847503,311,40,845194,3,0
1,0,92,6673,233,139,3815,3,0
1,0,10,181574,314,30,180063,3,1
1,0,37,625252,229,28,622190,3,0
1,0,121,981807,277,52,979324,3,1
1,0,138,16715,187,46,14439,3,1
1,0,155,2940,213,136,73,3,1
0,0,20,8383,220,137,7271,0,0
0,0,184,17724,293,59,14986,1,1
1,0,174,13435,271,144,10745,3,0
0,0,163,86361,189,15,83876,0,1
1,0,4,225780,78,27,223900,3,0
1,0,4,578138,99,27,576360,3,0
1,0,28,504140,267,2,500865,3,0
1,0,27,636457,214,13,635763,3,0
1,0,1,847195,164,35,845501,3,0
1,0,168,492362,27,1,490971,3,0
1,0,46,236472,224,3,233641,3,0
0,0,139,779582,204,31,776703,0,0
1,0,110,7188,124,121,4384,3,0
1,0,111,8831,110,119,6234,3,1
0,0,51,650247,101,27,648161,0,0
1,0,108,984,304,151,31,3,0
1,0,107,1094,23,75,159,3,1
0,0,134,24358,272,144,21590,0,0
0,0,90,1225,52,79,1,0,1
1,0,124,628999,143,12,626735,3,0
1,0,12,13990,115,16,11384,3,1
1,0,135,28068,64,67,25282,3,1
1,0,67,3158,255,93,408,3,1
1,0,133,2351295,264,58,2348338,3,0
0,0,30,9939,56,102,8926,0,0
0,0,24,65081,83,25,62292,0,1
1,0,15,9052,247,142,7148,3,1
0,2,180,805554,313,40,804478,0,0
0,0,94,782600,205,31,781197,0,0
1,0,86,3790,211,89,806,3,0
1,0,133,1573917,167,58,1571158,3,0
0,0,9,1995400,175,56,1993454,0,0
0,0,25,794113,243,33,793295,1,0
1,0,14,644271,97,58,641242,3,1
0,0,166,56433,249,41,54619,1,1
1,0,91,654938,253,27,652152,3,0
1,0,178,1032018,49,44,1029001,3,0
0,0,40,1140600,197,46,1138639,0,0
1,0,175,411506,58,33,408474,3,0
1,0,125,924785,237,57,922281,3,1
0,0,84,1204,126,87,2,0,0
0,0,109,8397,15,9,5578,0,1
0,0,7,764760,203,31,762982,0,0
1,0,148,976,20,74,2,3,1
1,0,105,587182,273,37,584897,3,1
1,0,6,3258,40,77,436,3,0
1,0,181,6116,57,103,4224,3,1
0,0,13,606712,238,12,603989,0,0
1,0,73,21218,242,26,18921,3,1
0,0,137,2501,82,38,102,1,1
1,0,160,7457,215,41,4911,3,1
0,0,54,490870,45,1,489493,0,0
1,0,171,4777,18,70,2027,3,1
0,0,76,26225,207,65,24447,0,1
1,0,74,22430,44,34,19944,3,1
1,0,162,15107,263,2,12237,3,1
1,0,167,41742,307,44,39727,3,1
0,0,129,663320,259,24,660522,0,0
0,0,25,58458,114,16,55432,0,1
1,0,18,486237,24,47,483109,3,0
1,0,14,353345,138,58,350952,3,0
1,0,139,16574,223,138,14088,3,1
0,0,158,3713,283,97,2106,1,0
1,0,14,44770,25,50,42977,3,1
0,0,2,3597,235,140,1834,0,0
1,0,103,5794,135,123,3014,3,0
0,1,0,655728,169,18,653962,0,0
0,0,134,33262,308,44,31331,0,1
0,0,55,791878,121,37,790079,0,0
1,0,175,760085,244,33,757590,3,0
0,0,127,1852491,174,54,1847980,0,0
1,0,178,130785,104,20,128263,3,0
1,0,77,122539,191,14,120197,3,1
0,0,119,594892,227,28,591674,0,0
0,0,53,571445,199,21,567813,0,0
1,0,113,690966,180,32,687994,3,0
1,0,29,9553,113,85,7784,3,0
1,0,75,582823,21,21,581135,3,0
0,0,179,67475,296,56,65139,0,1
1,0,77,25743,231,14,24748,3,1
1,0,108,71114,196,4,69705,3,1
0,0,120,103187,323,9,101616,1,0
0,0,61,702008,181,32,700188,0,0
1,0,16,585311,228,28,582390,3,0
1,0,85,2350211,168,59,2347587,3,0
1,0,130,491613,133,41,488857,3,1
1,0,19,12191,232,14,9909,3,1
1,0,115,1182,91,115,1,3,1
1,0,122,59561,140,50,57681,3,1
0,0,156,14595,65,67,12280,0,1
1,0,47,9360,256,94,6577,3,0
0,0,149,1434052,155,52,1432280,0,0
1,0,82,29749,162,29,26915,3,1
1,0,175,430057,186,33,427406,3,0
1,0,57,14455,89,113,11690,3,0
0,0,162,30562,278,18,28739,1,1
0,0,2,4524,241,141,2574,0,0
0,0,59,4216,132,47,1460,0,1
0,0,86,19758,185,135,17038,0,0
0,0,99,47207,80,112,45534,0,1
0,0,164,36437,102,117,35517,0,1
1,0,38,5595,68,107,2761,3,1
1,0,136,912033,72,41,909235,3,0
1,0,71,2693,280,96,396,3,0
0,0,107,4036,63,67,1289,0,1
1,0,58,93761,71,65,90201,3,1
1,0,59,11733,73,82,9154,3,0
1,0,44,706189,14,29,704129,3,0
0,0,150,120500,322,9,118605,0,0
1,0,162,26060,260,2,23298,3,1
1,0,116,351197,218,62,348939,3,0
0,0,156,8589,29,42,6541,0,1
0,0,66,1385359,154,52,1383590,0,0
1,0,8,688837,87,26,685982,3,0
0,0,166,54516,93,41,53479,0,1
0,0,26,1739,12,72,3,1,1
0,0,130,201879,299,61,200095,0,0
1,0,85,1320804,151,59,1318300,3,0
1,0,91,628364,100,27,625434,3,0
0,0,161,3779,183,133,1517,0,0
0,0,16,64637,150,65,62859,0,1
1,0,52,4799,270,144,2103,3,0
1,0,108,7313,236,140,4734,3,0
0,0,152,19476,160,128,17815,0,1
1,0,176,7957,142,126,5381,3,0
1,0,22,829858,119,37,827087,3,0
1,0,14,2071578,165,58,2068987,3,0
1,0,100,411543,245,31,408877,3,0
1,0,1,848494,163,35,847454,3,0
1,0,170,8756,145,45,5919,3,1
0,0,17,169188,306,44,166855,0,1
1,0,177,16396,294,149,13598,3,0
1,0,81,492103,129,0,489575,3,0
1,0,11,14953,302,53,12005,3,1
0,0,39,427483,287,46,425420,0,0
1,0,91,570499,252,27,567725,3,0
1,0,182,3857,103,118,1095,3,1
1,0,88,68621,192,57,67503,3,1
1,0,108,245943,61,4,244298,3,0
1,0,37,556405,240,28,554000,3,1
0,0,64,9141,221,137,8410,0,0
1,0,156,873816,172,52,871123,3,0
1,0,175,14712,222,91,11650,3,0
1,0,151,2360044,13,59,2358530,3,0
1,0,169,11256,254,92,8914,3,1
1,0,132,7825,90,114,5795,3,0
0,0,157,1137976,136,57,1133828,0,0
1,0,82,96498,209,29,94816,3,1
1,0,112,83774,188,15,82602,3,1
0,0,39,1981,297,99,2,0,0
1,0,141,483389,320,5,481422,3,0
0,0,179,85945,309,16,83153,0,1
0,0,67,21702,59,104,18811,0,0
0,0,63,22871,4,25,21810,0,1
1,0,61,5339,51,101,2904,3,1
0,0,107,728090,36,30,725151,0,0
1,0,89,3210,22,73,616,3,1
0,0,120,258722,219,9,256827,0,0
0,0,50,10587,182,132,8119,0,1
1,0,27,145152,315,13,142906,3,1
1,0,104,572075,300,17,569139,3,0
0,0,147,2028848,179,56,2027736,2,0
1,0,48,33122,281,42,30594,3,1
1,0,22,690828,274,37,688522,3,0
0,0,138,45706,261,2,43370,0,1
1,0,13,588116,3,8,586977,3,0
0,0,144,4613,117,5,1626,0,1
0,0,183,12865,289,39,9965,0,1
1,0,113,4342,81,32,1385,3,1
1,0,172,15683,257,95,12888,3,0
1,0,119,378832,38,63,376718,3,0
0,0,136,25602,134,51,22921,0,1
0,0,96,563158,321,21,560651,0,0
0,0,68,467624,171,11,464685,0,0
0,0,156,2010044,11,56,2009265,2,0
0,0,160,4567,55,80,1604,0,0
1,0,29,24449,112,85,21516,3,0
1,0,130,33240,54,41,30436,3,1
1,0,43,197559,194,9,195199,3,1
0,0,34,955,156,88,2,1,1
0,0,118,447897,285,46,446350,1,0
0,0,16,61849,46,65,60071,0,1
1,0,14,1721524,41,58,1718519,3,1
1,0,115,21022,62,105,18272,3,1
1,0,81,517997,131,0,514713,3,0
1,0,133,1984663,166,58,1981777,3,0
1,0,8,4543,137,124,1706,3,1
1,0,93,16034,125,24,13233,3,0
1,0,146,1133115,269,52,1130755,3,1
0,0,56,1973,1,154,3,1,1
1,0,35,1174681,75,48,1172813,3,0
0,0,106,3158,6,40,342,0,1
1,0,146,648458,161,22,645735,3,0
0,0,65,31215,301,68,30121,1,1
0,0,153,1171911,147,49,1168945,0,0
0,0,3,2772,318,13,301,0,1
1,0,19,265804,202,10,263906,3,0
0,0,5,496864,170,6,494066,0,0
1,0,151,1709527,107,59,1707056,3,1
1,0,124,29971,144,45,27197,3,1
1,0,31,5025,158,127,2677,3,1
1,0,108,474181,193,4,471830,3,0
0,0,119,20670,139,125,18052,0,1
0,0,83,1430611,98,52,1429409,1,0
1,0,133,2149200,265,58,2146741,3,0
1,0,109,30617,149,66,28410,3,1
0,0,183,750304,210,37,747923,0,0
1,0,2,10460,76,111,8049,3,1
1,0,100,754760,206,31,752910,3,0
1,0,98,6217,319,13,3602,3,1
1,0,6,396132,246,31,393928,3,0
