Gene_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,12909,142,142,111,10807,1
0,6110,100,99,99,3849,0
1,457048,90,89,9,454787,0
0,478833,231,231,6,476677,0
0,16869,151,151,114,14662,0
1,552888,220,220,15,550654,0
0,835809,97,96,28,833647,0
0,3770,50,49,87,732,1
1,1069200,210,210,45,1067095,0
1,9061,55,54,72,6806,1
0,2776,154,154,115,509,0
1,76342,179,179,33,73994,1
1,1167843,144,144,41,1165567,0
0,3747,25,24,70,1363,1
0,692573,69,68,19,690150,0
0,27924,8,7,17,26149,1
0,754574,175,175,26,752403,0
1,1157625,117,117,42,1155433,0
1,12933,113,113,39,10912,1
1,96434,222,222,5,94266,1
1,45480,197,197,120,43330,1
0,604953,80,79,20,602554,0
1,5633,14,13,60,4134,0
1,763015,83,82,37,760970,0
0,4215,71,70,19,1969,1
0,480713,38,37,4,478230,0
1,114439,10,9,3,112868,1
0,14957,64,63,74,12933,0
1,356577,107,106,51,354673,0
0,45278,101,100,18,42840,0
1,50723,121,121,104,48507,1
1,562476,173,173,10,560179,0
0,56175,85,84,5,53914,1
1,1621,65,64,93,2,1
0,1009290,45,44,38,1006993,0
0,11646,124,124,105,9286,1
0,487264,95,94,17,485114,0
0,47037,177,177,118,44773,1
0,371476,172,172,18,369323,0
0,477337,12,11,9,476408,0
0,1835184,67,66,46,1832923,0
1,53359,115,115,39,52601,1
0,1062,4,3,69,1,0
1,441740,93,92,29,439797,1
1,81519,13,12,5,79698,1
0,71686,214,214,49,69566,1
0,707127,48,47,23,704929,0
0,65232,219,219,50,62692,1
1,777368,224,224,31,775140,0
0,3230,128,128,22,921,1
0,2056,49,48,86,2,1
0,4947,46,45,84,2638,0
1,372955,230,230,29,370655,1
0,2326647,18,17,52,2325364,0
1,11060,141,141,31,8994,1
0,4184,235,235,35,1923,1
0,59089,41,40,55,56687,1
1,113111,167,167,15,111105,1
0,79561,118,118,55,77369,1
1,1189025,189,189,50,1186812,0
1,805063,180,180,38,803291,0
1,1835456,206,206,47,1833030,0
0,4516,53,52,89,3179,1
0,611448,111,111,10,610807,0
0,5046,159,159,116,2860,1
1,1204656,198,198,44,1202680,0
0,4025,165,165,16,1761,1
0,2650,26,25,34,386,1
1,689616,82,81,52,687517,0
1,335828,155,155,29,333633,1
1,480279,205,205,44,478171,0
1,7012,7,6,31,5501,1
1,2096,145,145,112,747,1
0,1138,6,5,106,2,0
1,1116077,152,152,40,1113876,0
0,76316,30,29,50,74154,1
1,496899,102,101,1,495853,0
0,15153,207,207,30,12949,1
0,1027491,76,75,37,1024990,0
1,170211,123,123,48,168412,1
1,799420,225,225,31,796943,0
0,391932,9,8,57,389746,1
0,3932,162,162,117,1401,0
0,914046,63,62,33,913312,0
0,244454,158,158,19,243822,0
0,394758,21,20,9,393970,0
0,574603,170,170,21,572120,0
1,4883,42,41,81,2628,1
1,252998,131,131,28,250869,0
0,2976,164,164,76,781,0
1,92964,94,93,41,90784,1
0,7454,52,51,88,5259,1
1,654471,75,74,51,652312,1
0,2907,36,35,71,667,0
0,4593,2,1,17,2230,1
0,1705791,89,88,52,1703299,1
1,598394,169,169,21,596190,0
0,2152,11,10,59,38,0
0,507624,192,192,3,505363,0
1,459000,174,174,10,456733,0
1,123424,232,232,8,121439,0
0,53099,223,223,38,50910,1
0,3147,43,42,82,535,1
0,7548,54,53,90,5362,0
0,11573,110,109,102,9210,0
0,81116,5,4,13,80040,1
0,703891,72,71,23,701787,0
0,351915,201,201,56,350539,1
0,6111,24,23,67,4843,1
1,299939,227,227,11,297915,1
0,115059,160,160,22,112891,1
0,1036,16,15,62,2,1
0,28523,81,80,37,26538,1
1,547726,134,134,7,545198,0
0,19404,200,200,121,17227,0
0,1039862,77,76,37,1037046,0
0,2191081,88,87,52,2188577,1
1,52834,184,184,0,50840,0
1,13918,122,122,104,11750,1
1,18062,133,133,107,16122,1
1,62927,149,149,24,60651,1
1,34512,91,90,96,32440,1
0,5683,56,55,91,3845,0
0,828692,195,195,47,827244,1
0,711734,32,31,23,710958,0
0,482055,112,112,10,479794,0
1,89110,208,208,16,86993,1
0,71096,138,138,40,68619,1
0,7735,186,186,78,5258,1
0,2352753,130,130,52,2351474,0
1,5117,218,218,80,2943,0
0,120751,187,187,3,119534,1
0,9642,212,212,123,7252,0
0,28514,0,110,103,26043,0
0,1699,86,85,8,101,1
1,3774,19,18,64,1570,0
1,468090,40,39,2,465892,0
1,811009,211,211,32,808763,0
1,619207,204,204,9,617003,0
0,369971,60,59,54,367785,0
0,52112,104,103,43,49749,1
1,1108,161,161,75,1,0
0,3468,70,69,94,1171,0
1,813661,182,182,37,811541,0
0,560608,181,181,16,558551,0
1,961848,153,153,36,959689,0
0,915393,62,61,33,914149,0
0,6868,185,185,119,4559,1
0,50074,190,190,3,47909,1
0,487691,31,30,18,485538,0
1,17178,108,107,101,14941,1
0,669010,132,132,16,666635,0
0,2335,171,171,12,101,1
0,798,166,166,77,1,1
0,1159648,143,143,41,1157084,0
0,140815,228,228,11,140096,1
0,3637,163,163,33,1680,1
0,5471,137,137,110,3207,1
0,5333,22,21,65,3093,1
1,8253,103,102,41,6340,1
0,477141,199,199,7,476586,0
0,5583,99,98,98,3223,0
1,20192,203,203,29,18165,1
1,636865,79,78,20,634829,0
0,180595,119,119,58,178343,0
0,827,15,14,61,3,0
1,122003,229,229,11,119982,1
0,16433,194,194,79,14709,1
1,35613,196,196,120,33460,1
1,16106,73,72,95,14127,0
0,194620,125,125,53,192110,0
0,85349,66,65,4,84366,1
0,303473,217,217,12,301437,1
0,49973,27,26,23,48072,1
0,7225,106,105,100,4853,0
0,3201,59,58,73,2560,1
0,17152,136,136,109,14774,1
0,43304,157,157,55,40902,1
1,19107,105,104,43,16912,1
0,316113,226,226,11,313945,1
0,3704,23,22,66,1446,1
0,4679,114,114,39,2307,1
1,60946,146,146,52,58898,1
1,1287,20,19,68,1,0
0,3133,51,50,88,824,1
0,23314,236,236,2,21104,0
0,763294,176,176,26,761027,0
1,411395,37,36,13,410220,0
1,51771,234,234,35,49540,1
1,469090,34,33,1,466913,0
0,909502,74,73,34,907241,0
0,68193,147,147,25,66007,1
0,315631,216,216,12,313523,1
1,10067,29,28,44,8418,1
1,609383,78,77,20,607077,0
0,377705,98,97,57,375522,0
0,400277,28,27,10,398004,0
0,702444,213,213,22,701878,0
1,369509,61,60,13,367296,1
0,5540,44,43,83,3963,1
0,526037,39,38,3,525222,0
0,57522,126,126,22,55348,1
1,1375691,120,120,44,1373202,0
