Gene_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,493953,88,88,12,493609,0
1,9446,82,82,37,7647,0
0,5255,74,74,18,2763,0
0,287968,35,35,12,286817,0
1,2113129,4,4,16,2112008,1
1,456990,38,38,3,456034,0
1,524283,28,28,4,523744,0
1,446968,56,56,16,445976,0
1,389254,85,85,8,388238,1
0,415,78,78,36,74,0
1,34900,84,84,39,34403,0
0,1568049,33,33,16,1567459,1
1,806760,71,71,10,805210,0
1,752839,23,23,16,752246,1
1,1050401,93,93,15,1050087,1
1,435956,9,9,2,435030,1
1,796791,68,68,11,795304,0
1,57693,63,63,9,56791,1
1,1786875,47,47,15,1786159,1
1,776048,25,25,10,775092,0
1,155295,91,91,40,154171,0
0,14817,16,16,24,14209,0
0,69017,92,92,2,68592,1
1,1037381,94,94,15,1036476,1
1,1751697,6,6,15,1751281,0
1,318778,36,36,12,318386,0
1,1078009,0,0,12,1077569,1
1,994934,13,13,11,993237,0
0,556441,27,27,4,555500,0
1,1575106,48,48,15,1574483,0
1,810033,67,67,11,808633,0
1,1226536,43,43,16,1225625,1
0,415202,8,8,2,414870,0
1,520133,89,89,12,519183,1
0,579,45,45,30,1,1
1,1605890,80,80,15,1605162,0
1,1285729,42,42,16,1284860,1
1,767190,26,26,10,766081,0
1,145136,59,59,5,143469,1
0,6256,14,14,22,4343,1
1,3678,41,41,28,1996,1
0,434997,7,7,2,434554,1
0,457660,39,39,3,457121,0
1,26464,54,54,32,24623,1
1,60707,64,64,1,60483,0
0,623355,24,24,4,622414,1
1,310242,37,37,12,309811,0
0,409340,96,96,16,408633,0
0,14261,90,90,19,11517,1
0,292232,49,49,2,291777,0
1,1643722,31,31,16,1642802,1
1,84542,20,20,26,84111,1
0,2665,12,12,21,1541,1
1,1180888,79,79,14,1179752,1
0,309976,52,52,13,309383,0
0,598,60,60,33,2,1
0,876723,51,51,12,875551,0
1,1445532,21,21,16,1444765,1
1,829655,3,3,15,828978,1
1,1493,83,83,38,471,1
1,1115404,70,70,16,1114712,1
1,2418,11,11,20,715,1
1,447558,87,87,12,447142,1
0,1735953,73,73,14,1735636,0
1,1067748,81,81,12,1067248,0
0,2026309,10,10,16,2025506,1
1,483,19,19,26,1,1
0,1735532,72,72,14,1734645,0
1,647282,5,5,16,646296,1
1,787501,69,69,11,786539,0
0,18905,62,62,35,17574,1
1,703062,66,66,15,702091,0
1,1021876,55,55,15,1021316,0
1,3924,61,61,34,2239,1
1,302448,34,34,12,301999,0
1,796821,76,76,10,795886,0
1,15756,44,44,29,14755,1
1,232541,29,29,0,231249,0
0,459577,77,77,13,458618,0
0,747945,58,58,7,745645,0
0,43740,65,65,1,43105,0
1,479784,86,86,8,478387,1
0,12112,18,18,25,11726,0
0,3821,15,15,23,1521,1
1,1680779,32,32,16,1680060,0
0,11816,46,46,31,9516,1
1,571767,75,75,16,570709,1
1,1658775,30,30,16,1658077,1
1,1430208,22,22,16,1429318,0
1,1217,97,97,41,24,0
1,75990,1,1,6,74263,1
0,828817,2,2,15,828224,1
1,408301,95,95,16,407363,0
1,1000,40,40,27,2,0
1,571876,57,57,3,570902,0
1,2307,50,50,17,1621,1
1,322283,53,53,13,321357,0
0,11716,17,17,25,11321,0
