Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,72,313057,144,15,312338,0
1,69,76658,39,45,76494,0
0,83,36547,222,37,35690,0
0,35,2151652,65,20,2150759,1
0,14,749937,92,14,749176,1
0,52,1088191,237,19,1087412,1
1,4,432941,203,14,432381,1
1,20,497744,120,15,496932,1
0,87,33929,165,2,32910,1
0,73,1227756,105,20,1227118,1
1,87,652441,51,8,651695,1
0,41,402463,84,5,401243,0
0,27,18040,107,58,16886,0
0,63,394684,23,14,394031,1
0,55,1098996,238,19,1097833,1
0,55,663709,103,19,662936,1
0,75,738,2,23,1,0
0,0,12258,152,69,11053,1
0,60,2162466,64,20,2161639,0
1,3,937169,155,19,936387,1
1,13,269718,146,20,269074,1
0,8,946792,5,14,945539,1
0,2,15525,109,32,14710,1
1,84,563168,88,14,561921,1
1,43,477748,119,15,476525,1
0,60,731234,55,20,730422,0
0,27,1832,59,47,591,0
0,24,217780,244,5,216641,0
0,19,1034038,239,19,1032938,1
1,84,779639,93,14,778437,0
1,37,10709,218,78,9531,0
0,39,23056,191,74,22262,0
1,4,667923,91,14,666610,1
1,6,497406,34,4,496306,0
0,38,365512,36,4,364310,1
0,27,9985,148,66,9303,0
1,94,13702,26,41,12743,0
0,8,1057942,131,14,1056725,0
0,57,589228,206,14,588062,0
0,0,10217,29,42,9084,1
1,25,182780,42,12,181743,1
0,50,196658,242,5,195561,0
0,63,387281,11,14,386064,0
1,3,1887968,127,19,1886823,0
0,27,1860,159,70,1114,1
0,8,581117,205,14,580287,0
0,72,386514,171,15,385279,0
0,57,599280,204,14,598465,1
1,55,745129,158,9,744176,0
0,60,1422032,54,20,1421220,0
1,12,1921338,125,19,1920505,1
0,27,28969,25,40,28568,0
0,72,1173402,230,15,1172566,0
0,81,210588,243,5,209491,0
1,79,17599,76,51,16553,0
0,63,1049347,132,14,1048619,0
0,28,358168,101,19,357524,0
1,80,1247221,176,18,1246121,0
0,8,878597,140,14,877761,0
0,27,18090,95,53,17131,0
0,79,1778534,129,19,1777443,0
0,72,1193619,231,15,1192936,0
1,100,5205,96,54,4201,1
0,54,2202990,63,20,2202343,1
0,95,153559,234,80,152606,0
0,91,4472,216,76,3321,0
0,54,975187,116,20,974237,1
0,54,1745136,190,20,1744339,0
0,62,19523,47,29,18321,1
0,94,38006,197,75,37197,0
0,68,1147481,173,18,1146423,1
0,32,226729,43,12,226322,1
0,27,10011,38,44,9199,1
0,54,983808,114,20,982858,1
0,96,914563,154,19,913814,0
0,72,400728,172,15,399566,0
0,73,979496,115,20,978543,1
1,43,493669,121,15,492404,1
1,93,3831,166,73,3070,1
1,67,3587,160,71,2544,0
0,27,19594,30,43,18863,1
0,73,1447013,53,20,1446237,1
0,83,31870,221,37,31118,0
0,88,531335,169,1,530982,1
0,72,462427,170,15,461594,0
0,35,1905082,66,20,1904309,1
0,54,1474427,52,20,1473666,0
0,58,1098330,232,15,1097515,0
1,47,41345,77,31,40839,0
1,10,2102,111,59,1101,1
0,49,1062126,196,16,1060936,0
0,8,705599,90,14,704769,0
0,5,77581,7,8,76523,1
0,8,837722,210,14,837087,0
0,44,1677,74,49,712,1
0,72,272963,214,15,272211,0
1,16,11639,198,75,10170,0
0,28,2187940,182,19,2187290,1
0,99,1471918,179,18,1470884,0
0,27,2879,133,62,2091,1
0,85,1675,215,35,854,1
1,4,551759,86,14,550737,1
0,22,9906,4,24,8728,1
0,8,863354,139,14,862533,0
1,2,2556,167,33,1318,0
1,12,2049687,185,19,2048413,1
0,38,384191,37,4,383100,0
0,53,323886,157,11,323095,1
0,89,571633,48,7,570836,0
1,13,663114,17,20,662260,0
0,23,826530,13,19,825718,1
0,0,31139,60,48,29922,0
0,17,1229889,175,18,1228786,0
0,80,1218003,106,20,1217665,0
1,4,290434,79,14,289571,0
0,5,1022329,213,14,1021526,1
1,1,27009,45,29,25858,1
0,97,987733,113,20,987176,1
0,33,11743,224,37,10985,1
1,25,295086,99,12,293887,1
0,63,941707,6,14,940901,1
0,59,12102,220,36,11231,0
0,48,1588977,122,18,1588012,0
0,61,644758,118,6,643769,0
0,90,17814,235,80,16873,1
0,96,750678,153,19,750031,1
1,44,1790,8,25,1116,1
1,64,7239,180,0,5971,1
1,40,41030,150,68,39978,0
0,0,19059,164,72,18244,0
1,4,1152958,193,14,1151783,1
0,73,1694274,67,20,1693627,0
1,34,2521,108,58,1283,1
0,72,247509,143,15,246700,0
0,97,684782,56,20,683826,0
0,8,1070767,194,14,1069991,0
1,25,137805,156,12,136807,0
0,8,461022,201,14,460051,1
0,46,1577124,187,19,1576114,0
0,27,614,50,46,222,1
0,102,5008,9,26,4142,0
0,0,39296,61,48,38151,0
0,5,375903,35,4,374896,1
0,91,12268,236,81,10958,0
0,80,2029082,21,20,2027874,1
0,27,13009,151,68,11804,0
0,89,550504,49,7,549704,0
0,66,7162,223,37,6368,1
1,34,556235,168,1,555144,0
0,72,1148502,228,15,1147669,0
1,76,381597,15,10,380962,0
0,56,36628,46,29,35402,1
0,48,2155792,183,19,2155145,0
0,18,9178,73,30,8375,1
1,74,29968,162,72,28721,0
0,99,1648331,123,18,1647294,0
0,63,492438,202,14,491209,0
1,53,23852,33,28,23046,0
0,99,1522877,178,18,1521903,1
0,47,178084,110,17,176870,1
0,84,15379,219,78,14528,0
0,82,77977,41,3,77144,0
0,5,617253,207,14,616495,0
0,27,3650,147,65,2478,1
0,8,537352,87,14,536177,1
1,60,35179,44,13,34406,1
0,27,81801,40,45,80905,1
0,96,1912694,126,19,1911738,1
1,25,287088,98,12,285889,1
0,58,1165493,229,15,1164663,0
0,27,37248,163,72,35989,1
0,98,37518,31,28,36670,0
0,55,1783506,128,19,1782673,1
0,24,432927,247,5,431740,0
0,27,13082,112,60,12327,1
0,92,320234,145,15,319014,0
1,4,827468,209,14,826311,1
1,11,4723,24,39,4340,1
0,77,3769,1,22,3023,1
0,52,335,10,26,3,0
0,32,227094,20,12,226831,1
0,0,14090,62,48,12945,0
0,13,1026,225,79,841,1
0,0,1863,102,57,1015,0
0,60,1989097,189,20,1988282,1
1,7,445921,19,4,445157,0
0,5,247162,12,14,246347,0
0,5,1018268,212,14,1017216,1
0,27,23025,134,63,22318,0
0,70,1338,195,34,835,1
1,101,26635,161,72,25832,0
0,60,2097143,188,20,2096334,1
0,28,2142542,184,19,2141583,0
0,30,392050,85,12,391007,0
1,53,55904,32,28,55386,1
0,54,1679298,70,20,1678525,0
0,0,10624,94,52,9845,0
0,45,255296,141,15,254511,0
0,8,305564,83,14,304740,0
0,26,486743,57,1,485586,0
0,5,277578,81,14,276769,0
0,63,822069,208,14,821287,0
1,38,177073,104,21,175745,0
0,51,265814,200,11,265029,1
0,27,18784,97,55,18002,0
0,8,992655,211,14,991897,1
0,8,297062,78,14,295851,0
1,36,13592,100,56,12324,1
0,0,26139,27,42,25351,1
0,5,422034,18,4,420934,0
0,63,907521,138,14,906301,0
0,44,12388,135,64,11468,0
0,96,2202884,181,19,2202237,1
0,31,65754,233,80,64810,1
0,99,1487286,177,18,1486264,1
0,9,17173,217,77,16040,1
0,0,61556,28,42,60249,0
0,8,313431,82,14,312547,0
0,8,285745,80,14,284939,0
0,73,970864,117,20,969914,1
0,73,1631767,69,20,1631120,0
1,42,6002,241,82,5043,0
0,35,1564778,71,20,1564014,1
0,80,643595,16,20,642765,1
0,8,407549,136,14,406749,1
0,5,251858,22,14,251211,0
1,86,15410,226,38,14340,1
0,27,23810,58,47,22572,1
0,76,231201,246,5,230431,0
0,55,2089274,124,19,2088630,1
0,27,13418,149,67,12669,0
0,54,1687805,68,20,1687044,0
1,16,25842,199,75,24370,0
1,29,9998,75,50,9753,0
0,52,1153229,240,19,1151997,0
0,99,1221966,174,18,1220947,0
0,15,1604402,186,19,1603254,0
0,5,1075329,3,14,1075195,1
1,65,884301,137,14,883339,1
1,71,13960,14,27,13361,1
0,92,1106541,227,15,1105297,0
1,21,655,0,83,2,1
1,33,223492,245,5,222386,0
1,13,1592913,72,20,1591840,1
0,8,658646,89,14,657867,0
0,72,266241,142,15,265438,0
1,78,11872,130,61,11348,0
0,14,1207750,192,14,1206605,0
