Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,25,38827,224,25,35924,1
1,185,4679,182,135,1893,0
0,140,9869,53,58,8244,1
1,69,825842,310,40,823350,0
0,141,502030,128,0,499289,0
1,97,79193,76,3,76656,1
1,144,2449,0,153,11,0
0,143,7010,291,149,4233,1
0,167,66235,246,41,64469,1
1,27,21822,317,13,18838,1
0,76,104384,70,65,101526,1
0,5,77950,17,24,74987,1
1,4,510295,140,27,507728,1
1,69,847503,311,40,845194,0
1,92,6673,231,140,3815,0
1,10,181574,314,30,180063,1
1,37,625252,227,28,622190,0
1,121,981807,277,52,979324,1
1,139,16715,185,46,14439,1
1,156,2940,211,137,73,1
0,20,8383,218,138,7271,0
1,134,2351295,263,58,2348338,0
1,175,13435,271,145,10745,0
0,164,86361,187,15,83876,1
1,4,225780,77,27,223900,0
1,4,578138,98,27,576360,0
1,28,504140,267,2,500865,0
1,27,636457,212,13,635763,0
1,1,847195,162,35,845501,0
1,169,492362,27,1,490971,0
1,46,236472,222,3,233641,0
0,140,779582,202,31,776703,0
1,109,7188,123,122,4384,0
1,110,8831,109,120,6234,1
0,51,650247,100,27,648161,0
1,107,984,304,152,31,0
1,149,976,20,74,2,1
0,135,24358,272,145,21590,0
0,68,2274,50,78,1,0
1,124,628999,142,12,626735,0
1,12,13990,114,16,11384,1
0,157,14595,65,67,12280,1
1,170,11256,252,94,8914,1
1,134,2327020,262,58,2324351,0
1,61,5339,51,103,2904,1
0,24,65081,82,25,62292,1
1,15,9052,245,143,7148,1
0,181,805554,313,40,804478,0
0,94,782600,203,31,781197,0
0,34,955,154,90,2,1
1,134,1573917,165,58,1571158,0
0,9,1995400,173,56,1993454,0
0,25,794113,241,33,793295,0
1,14,644271,96,58,641242,1
0,167,56433,247,41,54619,1
1,91,654938,251,27,652152,0
1,179,1032018,49,44,1029001,0
0,40,1140600,195,46,1138639,0
1,176,411506,57,33,408474,0
1,125,924785,235,57,922281,1
0,26,4734,122,87,2191,0
0,108,8397,15,9,5578,1
0,7,764760,201,31,762982,0
1,89,3210,22,73,616,1
1,104,587182,273,37,584897,1
0,174,4421,31,76,3684,1
0,30,9939,56,104,8926,0
0,13,606712,236,12,603989,0
1,72,21218,240,26,18921,1
0,138,2501,81,38,102,1
1,161,7457,213,41,4911,1
0,54,490870,45,1,489493,0
1,38,4073,5,69,1218,0
1,143,110366,248,64,107442,1
1,74,22430,44,34,19944,1
1,163,15107,261,2,12237,1
1,168,41742,307,44,39727,1
0,129,663320,257,24,660522,0
0,25,58458,113,16,55432,1
1,18,486237,24,47,483109,0
1,14,353345,137,58,350952,0
1,140,16574,221,139,14088,1
1,71,2693,280,98,396,0
1,14,44770,25,50,42977,1
0,2,3597,233,141,1834,0
1,102,5794,134,124,3014,0
0,0,655728,167,18,653962,0
0,135,33262,308,44,31331,1
0,55,791878,120,37,790079,0
1,176,760085,242,33,757590,0
0,127,1852491,172,54,1847980,0
1,179,130785,103,20,128263,0
1,77,122539,189,14,120197,1
0,119,594892,225,28,591674,0
0,53,571445,197,21,567813,0
1,113,690966,178,32,687994,0
1,78,18751,108,84,16475,1
1,75,582823,21,21,581135,0
0,180,67475,296,56,65139,1
1,77,25743,229,14,24748,1
1,107,71114,194,4,69705,1
0,120,103187,323,9,101616,0
0,61,702008,179,32,700188,0
1,16,585311,226,28,582390,0
1,152,2325261,42,59,2323705,0
1,131,491613,132,41,488857,1
1,19,12191,230,14,9909,1
1,115,1182,90,116,1,1
1,122,59561,139,50,57681,1
0,106,4036,63,67,1289,1
1,67,3158,253,95,408,1
0,150,1434052,153,52,1432280,0
1,82,29749,160,29,26915,1
1,176,430057,184,33,427406,0
1,57,14455,88,114,11690,0
0,163,30562,278,18,28739,1
0,2,4524,239,142,2574,0
0,59,4216,131,47,1460,1
0,86,19758,183,136,17038,0
0,99,47207,79,113,45534,1
0,165,36437,101,118,35517,1
1,128,2892,67,108,97,0
1,137,912033,71,41,909235,0
1,173,15683,255,97,12888,0
1,108,30617,148,66,28410,1
0,42,75311,149,65,73533,1
1,132,14564,60,81,12819,1
1,44,706189,14,29,704129,0
0,151,120500,322,9,118605,0
1,163,26060,258,2,23298,1
0,131,201879,299,61,200095,0
0,157,8589,29,42,6541,1
0,66,1385359,152,52,1383590,0
1,8,688837,86,26,685982,0
0,167,54516,92,41,53479,1
1,49,1443,19,71,1,1
1,109,201254,157,60,198909,0
1,85,670094,37,59,667467,0
1,91,628364,99,27,625434,0
