Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1169344,41,41,1,44,1158920,0
0,7614,2,0,0,60,1030,1
0,609988,159,159,1,10,605538,1
0,1211309,163,163,1,49,1200861,0
0,71128,81,81,1,45,60752,1
1,18759,153,153,3,107,8548,1
0,52109,55,55,1,5,41772,1
0,64484,128,128,2,30,55971,1
0,424181,139,139,1,10,413739,0
0,225503,223,223,1,8,215040,0
1,1026196,142,142,3,49,1015775,0
0,26884,60,60,1,16,16478,1
0,458221,50,50,1,10,447770,1
0,685626,120,120,1,30,675331,0
0,18045,173,173,1,110,7588,0
0,108909,131,131,1,27,98518,1
0,47512,125,125,1,29,39092,1
0,775910,132,132,1,33,765552,0
0,22103,171,171,1,33,14689,1
0,332104,168,168,1,33,321641,0
0,7780,8,8,2,63,2,1
1,11317,86,86,3,30,5433,1
0,573981,160,160,1,10,563530,0
0,459416,61,61,1,34,449073,1
1,5380,25,25,3,75,2,1
1,214744,9,9,3,38,206012,1
0,31572,75,75,1,36,21127,1
0,63253,174,174,1,111,52823,1
0,286931,192,192,1,51,283691,0
1,162112,184,184,3,23,156224,0
0,14171,179,179,2,34,4392,1
0,11492,32,32,1,78,5925,1
0,252780,212,212,1,16,242332,0
0,45907,207,207,2,50,38978,1
0,13390,162,162,1,70,2987,0
0,698669,82,82,1,23,688299,0
0,9732,193,193,1,116,1,0
1,1233807,177,177,3,46,1224493,1
0,62951,94,94,1,53,52593,1
0,970184,185,185,1,46,959784,1
0,138304,216,216,1,13,127910,1
0,13701,154,154,1,108,3220,1
0,689245,14,14,1,29,678794,0
0,5595,6,6,2,62,1,1
0,213628,100,100,1,52,203258,0
1,24168,113,113,3,98,13795,0
0,31191,122,122,1,35,20812,1
0,3034,91,91,2,95,2,0
0,347060,220,220,2,34,339083,1
1,127990,151,151,3,53,117557,1
0,390898,219,219,1,34,380639,1
0,60872,208,208,1,50,50520,1
0,225073,35,35,1,27,217409,1
0,842551,213,213,1,35,832124,0
0,475972,77,77,2,2,470489,0
0,534898,114,114,2,33,529028,1
0,59093,69,69,1,29,53591,1
0,2345983,166,166,1,50,2335691,0
0,33876,201,201,1,121,23431,0
0,2017022,4,4,2,48,2011656,0
1,796435,42,42,3,32,786038,0
0,908777,38,38,1,37,898398,0
1,1020605,202,202,3,48,1014285,0
1,25728,93,93,3,55,21774,1
0,13163,65,65,1,87,2601,0
1,789447,214,214,3,35,779023,0
0,7954,194,194,2,117,2,0
1,743366,12,12,3,28,733188,0
0,1028641,19,19,1,40,1018586,0
0,69531,218,218,1,13,59128,1
0,5243,68,68,1,88,2,0
0,9826,22,22,2,74,2831,0
1,12411,134,134,3,102,1858,1
0,6482,3,3,2,61,3,0
0,78813,198,198,1,51,72588,1
0,12312,197,197,2,51,7990,1
0,40663,199,199,1,120,30197,1
0,51361,101,101,1,27,40991,1
0,288082,210,210,1,50,277652,0
0,328819,64,64,1,30,318764,0
0,127475,172,172,1,54,117093,1
0,32850,187,187,1,9,28143,1
0,207695,52,52,1,15,204667,0
0,36235,217,217,1,13,25871,1
0,11147,33,33,2,79,4143,0
1,1351353,156,156,3,46,1340908,0
0,656937,158,158,1,22,646543,0
0,745319,40,40,1,32,734937,0
0,353296,97,97,2,51,348857,1
0,7476,0,1,2,59,127,0
0,63323,188,188,1,18,53163,1
0,5481,157,157,2,109,1,0
0,5231,27,27,1,66,1,1
0,78745,63,63,1,43,68291,1
1,574518,143,143,3,12,565420,0
1,27113,195,195,3,118,16665,1
1,647211,117,117,3,46,636820,0
0,802151,13,13,1,50,791817,1
0,65194,21,21,1,0,54806,0
0,6388,124,124,1,100,323,1
1,296067,110,110,3,33,288610,0
0,62219,39,39,1,82,51870,0
0,19188,34,34,1,80,11071,1
0,34912,170,170,1,33,27714,1
0,330111,109,109,1,15,322282,0
1,595061,48,48,3,25,584655,0
1,52443,44,44,3,48,42064,1
0,5929,152,152,1,69,3,0
1,35770,43,43,3,83,25298,1
0,5956,20,20,1,73,733,0
0,586972,47,47,1,8,576509,0
0,88568,200,200,1,120,78117,1
1,13525,108,108,3,97,3143,0
0,623676,90,90,1,12,613279,0
0,11537,175,175,1,112,1098,1
0,505288,11,11,1,4,494840,0
0,39653,24,24,1,37,33702,1
0,158064,215,215,1,13,147781,1
0,54831,126,126,1,51,44338,1
0,1392969,105,105,1,49,1382515,1
0,2345195,167,167,1,51,2334792,0
0,5893,36,36,1,81,1,0
0,1174010,190,190,2,43,1168695,0
0,563694,144,144,1,26,556752,1
0,89016,119,119,1,42,78604,1
0,487135,85,85,1,38,478468,1
0,3341,191,191,2,115,3,0
0,5467,73,73,2,91,2,0
0,6015,149,149,2,28,103,1
0,6046,79,79,2,93,2,1
0,24830,102,102,1,27,14646,1
0,599807,111,111,1,18,589443,0
0,8611,118,118,1,68,3,0
0,940675,89,89,1,49,930293,1
0,21015,76,76,1,18,14486,1
0,94486,148,148,1,37,84056,1
0,19647,54,54,1,85,9304,1
0,1142692,88,88,2,48,1136952,1
0,17336,67,67,1,12,6891,1
1,6309,70,70,3,89,1,1
0,6144,62,62,1,86,3,0
0,818767,121,121,1,29,810066,0
1,566844,204,204,3,17,556376,0
1,6275,17,17,3,72,3,0
1,9243,23,23,3,65,3028,1
0,230403,211,211,1,10,222871,0
0,545365,222,222,1,19,535076,0
0,54812,5,5,1,32,50482,1
1,5690,78,78,3,92,3,0
0,6239,136,136,2,104,3,1
1,47046,57,57,3,67,36631,0
0,1352921,107,107,1,49,1342479,0
0,548110,155,155,1,18,541838,0
1,1415129,7,7,3,46,1406220,0
0,53597,31,31,1,57,43140,1
0,6877,30,30,1,77,2,0
0,82139,164,164,1,3,71676,1
1,571446,181,181,3,33,561022,1
0,138943,49,49,2,23,131411,0
1,40882,92,92,3,41,30431,1
0,64329,98,98,1,1,53935,0
0,19778,83,83,1,94,9420,0
0,409474,180,180,1,33,399029,1
0,656716,87,87,1,21,646334,0
0,1441553,106,106,1,49,1431102,0
0,796416,189,189,1,29,789632,0
0,18102,16,16,1,71,7759,0
0,635740,96,96,1,14,625292,0
0,29124,137,137,1,104,18715,1
0,510863,221,221,1,6,500484,0
0,347622,84,84,1,50,337195,0
1,8750,10,10,3,64,352,0
1,12299,147,147,3,106,2049,1
0,816094,66,66,1,33,805796,0
0,746001,146,146,1,31,735628,0
0,18044,37,37,1,30,13358,1
0,902706,95,95,1,38,892584,0
0,97751,80,80,2,23,91272,1
0,406298,26,26,1,31,400980,0
0,490459,112,112,1,7,480062,0
0,188433,129,129,1,10,178087,1
0,191125,46,46,1,24,180626,0
0,400877,71,71,2,31,396354,0
0,571102,15,15,1,39,563645,0
0,508446,161,161,1,10,497998,0
0,22907,1,2,2,50,17262,1
1,192236,130,130,3,28,185259,1
0,7036,196,196,1,119,1,1
0,1048694,138,138,1,41,1038261,0
1,14711,135,135,3,103,4479,1
0,5905,53,53,1,84,1,1
1,8139,178,178,3,113,1,1
1,15047,123,123,3,99,4680,1
0,610602,141,141,1,26,600223,0
0,46671,99,99,1,96,36289,1
0,149649,116,116,2,23,143326,0
0,682115,115,115,1,33,675892,0
