Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
1,29,3818,116,116,1,71,2061,0
0,69,497232,49,49,0,1,497002,4
0,39,1220025,97,97,1,36,1218841,0
0,4,10034,10,10,1,45,9492,0
1,51,553680,110,110,1,24,551527,0
0,16,720,117,117,1,50,1,0
0,65,551749,31,31,0,18,551012,4
1,66,160581,125,125,1,12,159610,0
1,55,2942,33,33,1,58,882,0
0,3,802663,58,58,1,29,801878,0
1,54,501852,59,59,1,33,499696,0
1,37,1105132,105,105,1,32,1103840,0
1,46,590889,95,95,1,15,588715,0
0,61,2356776,6,6,1,38,2355799,0
1,38,5081,18,18,1,11,2874,0
1,26,82404,9,9,1,39,80149,0
0,45,3053,21,21,1,52,873,0
0,17,1193345,104,104,1,32,1191366,0
0,44,195717,5,5,1,7,194815,0
1,63,395040,109,109,1,24,392911,0
0,71,1058918,107,107,1,34,1056777,0
1,10,114991,84,84,1,3,114542,0
1,17,161676,77,77,1,12,160684,0
0,36,2832,52,52,1,61,619,0
1,31,26356,41,41,1,59,24182,0
1,18,603844,96,96,1,15,602780,0
1,2,18169,8,8,1,16,16115,0
0,60,508321,32,32,1,2,506186,0
1,9,29015,27,27,1,56,27780,0
0,1,646319,101,101,1,13,643902,0
1,63,346367,40,40,1,24,344166,0
0,64,2001346,64,64,1,37,1998842,0
0,51,705460,50,50,1,24,703286,0
0,38,203063,80,80,1,6,200871,0
1,20,9199,103,103,1,68,7001,0
0,13,606833,35,35,1,38,604902,0
0,70,53186,22,22,1,0,51024,0
0,48,12912,3,3,0,43,12295,1
1,3,5374,106,106,1,69,4073,0
0,51,305003,100,100,1,24,302736,0
0,57,194168,88,88,1,18,192141,0
1,17,605835,112,112,1,32,604711,0
1,47,302402,43,43,0,12,301785,4
1,46,628874,56,56,1,15,628374,0
0,13,2355697,99,99,1,38,2354525,0
1,17,141673,126,126,1,12,140918,0
1,68,38921,60,60,1,11,36609,0
1,54,356850,23,23,0,41,356083,4
0,30,879776,19,19,1,27,877512,0
1,41,229342,92,92,1,27,227192,0
1,3,6731,34,34,1,29,4560,0
1,46,628270,36,36,1,15,627785,0
0,25,875271,70,70,0,32,874933,2
1,5,53693,57,57,1,30,52560,0
1,64,1092022,122,122,1,37,1090076,0
0,41,122127,119,119,1,72,120202,0
1,69,32651,26,26,1,55,31587,0
0,57,573072,93,93,1,18,571858,0
0,2,13846,13,13,1,46,12761,0
1,19,64228,74,74,1,22,62066,0
1,50,238993,66,66,1,25,236726,0
0,39,479217,78,78,1,14,477172,0
1,61,967593,54,54,1,38,965515,0
1,29,18788,25,25,1,42,16752,0
0,37,1431,20,20,1,51,1,0
1,15,69895,4,4,1,22,67685,0
1,11,27802,123,123,1,74,25553,0
1,55,521,0,0,0,53,3,4
0,41,149082,120,120,1,72,147823,0
0,57,551317,82,82,1,19,549344,0
1,10,85717,38,38,1,3,84713,0
0,35,2356,7,7,1,44,188,0
1,14,116089,75,75,0,2,115388,4
0,20,5373,102,102,1,67,3175,0
0,57,399746,91,91,1,19,397836,0
0,18,551038,37,37,1,15,548948,0
1,41,258202,87,87,1,27,255983,0
1,56,7513,2,2,1,26,7115,0
0,39,522056,129,129,1,14,520707,0
0,58,560632,53,53,1,18,560198,0
1,48,8796,42,42,1,4,6766,0
0,18,242101,44,44,0,17,241769,3
0,63,742170,79,79,1,24,739927,0
1,22,7341,15,15,1,47,5542,0
1,64,886828,76,76,1,37,884852,0
0,37,656983,69,69,1,32,654773,0
1,67,29812,132,132,1,28,28472,0
0,6,24063,89,89,1,66,21859,0
1,27,569,73,73,0,63,3,4
0,17,510087,17,17,1,32,508918,0
1,24,20468,94,94,1,5,18309,0
0,29,47761,115,115,1,71,45575,0
1,64,2179419,98,98,1,37,2176948,0
0,42,143770,130,130,1,8,141896,0
0,28,395811,47,47,1,21,393328,0
1,6,17708,29,29,1,57,16425,0
1,34,107570,30,30,1,10,105642,0
1,7,216636,67,67,1,25,214564,0
1,23,5239,48,48,1,60,3059,0
1,52,2117,24,24,1,54,3,0
1,2,45873,85,85,1,65,43711,0
0,33,843337,63,63,1,23,841178,0
0,12,630544,14,14,1,19,630077,0
1,64,61722,124,124,1,37,61057,0
0,12,414917,90,90,1,19,412986,0
1,22,9794,121,121,1,73,7884,0
0,43,630340,39,39,1,20,629867,0
0,58,576256,1,1,1,18,575726,0
1,17,8315,12,12,1,32,7779,0
0,34,640806,111,111,1,10,638620,0
0,12,808511,72,72,1,19,806334,0
1,13,45587,118,118,1,72,43530,0
0,8,12118,51,51,1,48,9896,0
1,21,591642,55,55,0,15,591283,4
0,40,28251,114,114,1,70,27310,0
1,59,15656,46,46,1,1,13635,0
0,12,495949,81,81,1,19,493973,0
0,27,2323,65,65,1,62,1850,0
0,16,17469,86,86,1,49,15220,0
0,23,2747,83,83,1,64,2046,0
0,39,1428134,62,62,1,36,1426182,0
0,53,2001160,71,71,1,35,1999253,0
1,61,1560715,16,16,1,38,1558235,0
0,32,1157244,28,28,0,31,1157023,3
1,7,292285,128,128,1,25,290090,0
1,0,352533,108,108,0,40,352018,4
0,62,429,127,127,1,75,1,0
0,41,461012,68,68,0,10,460530,3
0,51,804175,45,45,1,24,801998,0
0,48,1718373,11,11,1,36,1716442,0
0,56,111044,131,131,1,9,109113,0
0,17,853635,113,113,1,32,852247,0
1,49,1375094,61,61,1,36,1372983,0
