Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
1,3,12909,144,144,0,113,10807,1
0,126,6110,101,100,0,101,3849,1
0,133,477337,10,9,0,9,476408,3
0,41,477141,199,199,0,7,476586,2
0,94,16869,154,154,0,116,14662,1
1,16,4025,165,165,0,16,1761,1
1,14,20192,203,203,1,29,18165,0
1,126,3770,49,48,0,89,732,2
1,22,828777,110,109,1,48,827212,0
1,42,9061,54,53,1,74,6806,0
0,41,2776,157,157,0,117,509,1
1,30,211189,118,118,1,34,209180,0
1,48,7765,27,26,1,43,5519,0
1,1,3747,23,22,0,72,1363,1
0,55,555948,171,171,0,20,553549,1
0,71,487264,95,94,0,17,485114,1
0,7,763294,176,176,0,26,761027,1
0,38,1178466,117,117,0,44,1176085,1
1,36,53359,116,116,1,40,52601,0
0,73,471716,220,220,0,5,470270,2
1,24,45480,197,197,1,122,43330,0
0,41,609383,77,76,1,20,607077,0
0,2,5633,11,10,1,62,4134,0
0,114,813661,182,182,1,38,811541,0
0,58,243718,97,96,0,19,243449,3
1,31,56175,83,82,0,5,53914,1
1,82,120751,187,187,0,3,119534,3
0,64,14957,62,61,0,76,12933,1
0,29,356577,108,107,1,53,354673,0
0,21,371476,172,172,0,18,369323,1
1,56,50723,122,122,1,106,48507,0
0,99,611448,112,112,0,10,610807,2
1,62,67467,84,83,0,5,65254,1
1,87,1621,63,62,1,95,2,0
1,131,4679,115,115,0,40,2307,1
1,126,11646,125,125,0,107,9286,1
0,21,45278,102,101,0,18,42840,1
1,1,47037,178,178,0,120,44773,1
0,124,487691,28,27,0,18,485538,1
0,40,619207,206,206,1,9,617003,0
1,52,828692,195,195,0,49,827244,1
0,90,909033,30,29,1,40,906619,0
0,93,1062,4,3,0,71,1,3
1,63,15153,209,209,0,30,12949,1
1,25,96434,222,222,1,5,94266,0
1,61,65232,218,218,0,52,62692,1
0,21,710857,47,46,0,23,709519,2
1,102,76316,26,25,0,52,74154,1
0,67,799420,225,225,1,32,796943,0
1,126,7491,128,128,0,22,5182,1
1,126,2056,48,47,0,88,2,3
0,126,4947,43,42,0,86,2638,1
1,14,441740,92,91,1,29,439797,0
0,113,2326647,16,15,0,54,2325364,3
0,115,777368,224,224,1,32,775140,0
1,132,51771,234,234,1,36,49540,0
1,88,59089,38,37,0,57,56687,1
0,51,552888,219,219,1,15,550654,0
1,88,79561,119,119,0,57,77369,1
0,72,1451239,130,130,1,52,1449053,0
0,119,1009290,42,41,0,39,1006993,1
1,94,170211,124,124,1,50,168412,0
1,126,4516,52,51,0,91,3179,3
1,96,122003,229,229,1,11,119982,0
1,111,5046,159,159,0,118,2860,1
0,16,1375691,121,121,1,46,1373202,0
1,86,27070,142,142,0,16,24536,1
1,38,224206,202,202,1,35,222371,0
0,12,689616,80,79,1,54,687517,0
1,14,372955,230,230,1,29,370655,0
0,16,1204656,198,198,1,46,1202680,0
1,67,11060,143,143,1,32,8994,0
1,120,2096,147,147,1,114,747,0
0,126,1138,6,5,0,108,2,3
1,31,8253,104,103,1,42,6340,0
0,74,1189025,189,189,1,52,1186812,0
0,127,496899,103,102,1,1,495853,0
1,101,1474,15,14,0,31,101,3
0,133,1039862,75,74,0,38,1037046,1
1,50,20107,67,66,0,51,17801,1
1,46,14203,56,55,0,33,11819,1
1,3,391932,8,7,0,59,389746,1
0,79,3932,162,162,0,119,1401,1
0,69,915393,61,60,0,34,914149,2
0,92,682195,68,67,0,19,679628,1
0,40,457048,89,88,1,9,454787,0
0,34,580782,169,169,0,21,579763,3
1,13,4883,39,38,1,83,2628,0
1,45,519612,205,205,1,28,517492,0
0,75,2976,164,164,0,78,781,1
0,134,1159648,145,145,0,42,1157084,1
1,126,7454,51,50,0,90,5259,1
1,29,654471,74,73,1,53,652312,0
0,98,2907,33,32,0,73,667,1
1,91,27924,7,6,0,17,26149,3
1,113,1705791,88,87,0,54,1703299,1
1,55,3230,129,129,0,22,921,1
0,53,2152,9,8,0,61,38,1
0,41,526037,36,35,0,3,525222,3
0,30,482055,113,113,0,10,479794,1
0,133,394758,19,18,0,9,393970,2
0,43,805063,180,180,1,39,803291,0
1,77,3147,40,39,0,84,535,1
0,126,7548,53,52,0,92,5362,1
0,126,11573,111,110,0,104,9210,1
1,28,369509,60,59,1,13,367296,0
0,121,707127,46,45,0,23,704929,1
1,5,351915,201,201,0,58,350539,2
1,9,6111,22,21,0,69,4843,2
1,78,307939,226,226,0,11,306221,3
1,60,464804,166,166,1,22,462621,0
1,54,1036,13,12,0,64,2,3
0,114,763015,81,80,1,38,760970,0
1,60,1699,85,84,0,8,101,3
0,119,19404,200,200,0,123,17227,1
1,123,53099,223,223,0,39,50910,1
1,130,2191081,87,86,0,54,2188577,1
0,27,52834,184,184,1,0,50840,0
1,8,13918,123,123,1,106,11750,0
1,32,18062,135,135,1,109,16122,0
0,116,436942,177,177,1,24,434816,0
1,118,34512,90,89,1,98,32440,0
0,126,5683,55,54,0,93,3845,3
0,23,1835456,208,208,1,49,1833030,0
0,20,731499,29,28,1,23,729406,0
0,69,562476,173,173,1,10,560179,0
0,86,560608,181,181,0,16,558551,1
1,27,92121,141,141,0,41,90979,1
1,100,7735,186,186,0,80,5258,1
0,27,2352753,132,132,0,54,2351474,2
0,103,5117,217,217,1,82,2943,0
0,31,507624,192,192,0,3,505363,1
0,17,9642,214,214,0,125,7252,1
0,126,28514,0,111,0,105,26043,1
0,59,123424,232,232,1,8,121439,0
0,17,3774,17,16,1,66,1570,0
0,133,468090,37,36,1,2,465892,0
1,63,3637,163,163,0,34,1680,2
1,11,22349,98,97,1,10,20226,0
0,33,369971,59,58,0,56,367785,1
1,66,10067,25,24,1,46,8418,0
0,106,1108,161,161,1,77,1,0
0,126,3468,69,68,0,96,1171,1
0,133,1009265,76,75,0,38,1006986,1
0,96,609450,134,134,1,16,607396,0
1,133,28523,79,78,0,38,26538,1
1,41,2650,24,23,0,35,386,1
1,115,6868,185,185,0,121,4559,1
1,109,59968,190,190,1,3,57773,0
0,65,669243,188,188,1,18,667156,0
1,129,17178,109,108,1,103,14941,0
1,44,4593,2,1,0,17,2230,1
1,108,161779,94,93,0,12,159506,1
1,95,798,167,167,0,79,1,3
0,113,1167843,146,146,1,42,1165567,0
1,80,299939,227,227,1,11,297915,0
1,47,18493,44,43,1,34,16673,0
1,126,5471,139,139,0,112,3207,1
1,50,5333,20,19,0,67,3093,1
1,57,59387,93,92,0,42,57738,3
0,9,503101,136,136,1,7,500945,0
0,126,5583,100,99,0,100,3223,1
1,10,40877,204,204,1,29,40377,0
0,4,175988,212,212,1,21,173664,0
0,81,180595,120,120,0,60,178343,1
0,119,827,12,11,0,63,3,2
1,68,140815,228,228,0,11,140096,2
1,106,16433,194,194,0,81,14709,2
1,24,35613,196,196,1,122,33460,0
0,134,16106,72,71,1,97,14127,0
0,39,194620,126,126,0,55,192110,1
0,89,480713,35,34,0,4,478230,1
1,108,311650,215,215,0,12,309482,1
0,21,703891,71,70,0,23,701787,2
0,126,7225,107,106,0,102,4853,1
1,37,3201,58,57,0,75,2560,2
1,126,17152,138,138,0,111,14774,1
1,97,43304,158,158,0,57,40902,1
1,35,52112,105,104,0,45,49749,1
1,15,2335,170,170,0,12,101,3
1,135,3704,21,20,0,68,1446,1
1,36,12933,114,114,1,40,10912,0
1,106,60946,148,148,1,54,58898,0
0,6,1287,18,17,1,70,1,0
1,126,3133,50,49,0,90,824,1
0,84,23314,236,236,0,2,21104,1
1,133,18709,32,31,0,27,16532,1
0,0,399311,91,90,1,14,397290,0
1,125,66424,233,233,0,36,64094,1
0,127,469090,31,30,1,1,466913,0
1,125,4184,235,235,0,36,1923,1
0,0,754574,175,175,0,26,752403,1
0,45,646569,183,183,0,12,644707,2
0,66,480279,207,207,1,46,478171,0
0,49,636865,78,77,1,20,634829,0
0,122,377705,99,98,0,59,375522,1
0,69,459000,174,174,1,10,456733,0
0,105,703107,150,150,0,22,702547,2
0,83,411395,34,33,1,13,410220,0
1,104,5540,41,40,0,85,3963,2
1,42,85349,64,63,0,4,84366,2
1,117,115059,160,160,0,22,112891,1
1,13,28472,221,221,1,47,26358,0
1,20,3258,211,211,1,124,754,0
0,18,961848,156,156,1,37,959689,0
1,67,16197,179,179,1,120,13717,0
1,126,1669,45,44,0,87,2,3
1,51,113111,168,168,1,15,111105,0
1,61,81116,5,4,0,13,80040,2
