Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1037760,369,369,4,0,22,1037092,1
1,0,18293,404,404,3,1,95,17649,0
0,0,7200,136,136,4,0,45,6637,0
0,0,55025,359,359,4,0,83,54438,0
0,0,1464254,88,88,4,0,28,1463646,0
0,0,487260,204,204,4,0,23,486679,1
0,0,2016292,330,330,4,0,27,2015537,0
0,0,9057,388,388,4,0,90,8128,0
0,0,4555,133,133,4,0,64,3962,0
0,0,683253,98,98,4,0,28,682675,0
0,0,807166,154,154,4,0,22,806492,1
1,0,112468,401,401,1,1,94,111971,0
0,0,4870,341,341,4,0,78,4217,0
0,0,2682,266,266,4,0,76,1954,0
0,0,163066,8,8,4,0,8,162521,1
0,0,1955674,333,333,4,0,28,1955171,0
0,0,756041,99,99,4,0,28,755460,1
0,0,1368555,310,310,4,0,28,1367977,1
0,0,1487064,92,92,4,0,28,1486369,1
0,0,36247,72,72,4,0,15,35642,1
0,0,1187163,347,347,4,0,22,1186465,0
0,0,120884,34,34,2,0,14,120498,0
0,0,1921473,108,108,4,0,28,1920904,1
0,0,438865,352,352,4,0,17,438233,0
0,0,308712,370,370,4,0,16,308044,0
0,0,1033564,300,300,4,0,18,1032920,0
0,0,1604078,116,116,4,0,28,1603452,0
0,0,85370,61,61,4,0,58,84681,0
0,0,17407,263,263,4,0,74,16820,0
0,0,497483,126,126,4,0,17,496893,0
1,0,1738968,27,27,3,1,27,1738420,0
0,0,6677,379,379,4,0,86,6162,1
0,0,278070,224,224,4,0,3,277438,1
0,0,1731530,337,337,4,0,28,1730895,0
0,0,477620,209,209,4,0,6,476973,0
0,0,565167,382,382,2,0,20,564760,0
0,0,10321,127,127,4,0,61,9749,0
0,0,1686468,112,112,4,0,28,1685914,0
0,0,7629,232,232,4,0,70,6979,0
0,0,1645,356,356,4,0,83,1004,0
0,0,376974,55,55,4,0,3,376393,1
1,0,807869,24,24,3,1,27,807330,1
0,0,426818,139,139,4,0,4,426186,1
0,0,39701,52,52,4,0,57,39237,1
0,0,265007,261,261,4,0,23,264339,0
0,0,782,46,46,4,0,54,129,1
0,0,1132814,318,318,4,0,28,1132212,1
0,0,30799,73,73,4,0,15,30158,1
0,0,159847,67,67,4,0,14,159101,1
